Day,Y_sched,Y_actual
1.0,5.0,11.0
2.0,4.886244297027588,15.0
3.0,4.785889625549316,13.0
4.0,4.713050842285156,15.0
5.0,4.6882853507995605,20.0
6.0,4.735796928405762,25.0
7.0,4.881439685821533,23.0
8.0,5.151341915130615,28.0
9.0,5.570982456207275,25.0
10.0,6.164622783660889,23.0
11.0,6.954987049102783,28.0
12.0,7.963131427764893,31.0
13.0,9.20843505859375,32.0
14.0,10.708697319030762,31.0
15.0,12.480270385742188,31.0
16.0,14.538246154785156,30.0
17.0,16.896671295166016,29.0
18.0,19.5687313079834,30.0
19.0,22.56696319580078,31.0
20.0,25.903512954711914,35.0
21.0,29.590238571166992,37.0
22.0,33.638954162597656,42.0
23.0,38.061580657958984,41.0
24.0,42.87030792236328,44.0
25.0,48.07774353027344,44.0
26.0,53.697021484375,37.0
27.0,59.741966247558594,38.0
