ID,Age,Household Size,Occupations
1,5,1,
2,27,2,Unemployed
3,45,2,FOOD
4,75,2,
5,4,3,
6,55,5,WASTEMANAGEMENT
7,57,2,FOOD
8,59,4,Unemployed
9,61,2,FOOD
10,90,2,
11,4,4,
12,21,2,Unemployed
13,76,2,
14,65,2,Unemployed
15,60,2,FOOD
16,59,3,HEALTHCARE
17,59,2,FOOD
18,39,1,Unemployed
19,75,3,
20,94,1,
21,98,2,
22,57,6,Unemployed
23,27,4,Unemployed
24,24,4,Unemployed
25,63,3,Unemployed
26,47,2,FOOD
27,50,4,Unemployed
28,72,4,
29,4,5,
30,24,2,Unemployed
31,34,3,Unemployed
32,30,4,FOOD
33,29,1,HEALTHCARE
34,19,1,Unemployed
35,74,5,
36,68,5,
37,61,2,Unemployed
38,36,4,Unemployed
39,61,2,Unemployed
40,21,4,FOOD
41,73,1,
42,25,4,Unemployed
43,12,4,
44,39,1,Unemployed
45,67,5,
46,62,2,Unemployed
47,72,2,
48,58,2,Unemployed
49,69,3,
50,61,2,Unemployed
51,64,2,Unemployed
52,61,4,Unemployed
53,85,2,
54,27,1,Unemployed
55,52,2,HEALTHCARE
56,75,2,
57,43,5,Unemployed
58,38,4,Unemployed
59,95,1,
60,48,2,FOOD
61,43,3,Unemployed
62,96,3,
63,49,6,Unemployed
64,66,2,
65,63,2,Unemployed
66,66,2,
67,67,4,
68,52,5,Unemployed
69,35,4,Unemployed
70,58,1,Unemployed
71,77,6,
72,31,1,Unemployed
73,59,1,Unemployed
74,31,2,FOOD
75,46,1,FOOD
76,75,2,
77,74,4,
78,56,2,Unemployed
79,63,2,FOOD
80,33,5,Unemployed
81,55,1,Unemployed
82,57,2,FOOD
83,79,6,
84,1,3,
85,53,6,Unemployed
86,98,4,
87,17,2,
88,38,3,FOOD
89,53,4,FOOD
90,1,2,
91,35,2,Unemployed
92,2,2,
93,73,2,
94,10,4,
95,77,5,
96,42,5,Unemployed
97,77,3,
98,22,2,Unemployed
99,23,2,Unemployed
100,67,4,
101,45,3,Unemployed
102,76,2,
103,39,2,FOOD
104,55,6,FOOD
105,47,2,Unemployed
106,53,4,Unemployed
107,22,2,Unemployed
108,12,6,
109,39,2,Unemployed
110,40,4,Unemployed
111,31,4,Unemployed
112,79,4,
113,55,3,FOOD
114,62,2,Unemployed
115,33,6,Unemployed
116,33,2,Unemployed
117,32,5,FOOD
118,2,2,
119,51,2,Unemployed
120,78,4,
121,35,2,Unemployed
122,13,3,
123,61,2,FOOD
124,64,1,Unemployed
125,68,5,
126,24,4,FOOD
127,69,2,
128,57,6,FOOD
129,5,2,
130,67,6,
131,50,2,Unemployed
132,70,2,
133,69,3,
134,68,1,
135,68,4,
136,39,3,Unemployed
137,7,6,
138,31,5,Unemployed
139,32,6,Unemployed
140,20,2,HEALTHCARE
141,60,2,Unemployed
142,8,4,
143,72,2,
144,11,4,
145,95,3,
146,28,4,Unemployed
147,73,2,
148,54,2,FOOD
149,65,1,FOOD
150,26,1,Unemployed
151,70,4,
152,58,3,Unemployed
153,33,2,Unemployed
154,54,4,FOOD
155,88,2,
156,3,5,
157,20,1,Unemployed
158,31,2,Unemployed
159,74,1,
160,23,2,Unemployed
161,13,3,
162,37,1,FOOD
163,11,5,
164,29,1,Unemployed
165,72,6,
166,14,2,
167,35,1,FOOD
168,64,2,Unemployed
169,61,2,FOOD
170,31,2,Unemployed
171,45,5,Unemployed
172,31,6,Unemployed
173,66,2,
174,42,4,FOOD
175,45,2,Unemployed
176,46,5,HEALTHCARE
177,6,4,
178,3,5,
179,11,5,
180,28,2,Unemployed
181,55,3,Unemployed
182,78,2,
183,67,2,
184,20,3,FOOD
185,59,2,INFORMATION
186,57,2,Unemployed
187,9,4,
188,6,3,
189,67,5,
190,5,5,
191,27,2,FOOD
192,15,2,
193,60,2,FOOD
194,79,2,
195,64,4,Unemployed
196,37,5,Unemployed
197,91,3,
198,17,2,
199,76,4,
200,50,2,Unemployed
201,72,2,
202,89,2,
203,39,4,HEALTHCARE
204,74,2,
205,56,2,Unemployed
206,70,2,
207,42,4,Unemployed
208,43,2,Unemployed
209,45,4,Unemployed
210,12,2,
211,84,2,
212,77,2,
213,53,6,FOOD
214,1,2,
215,77,4,
216,53,4,Unemployed
217,69,4,
218,58,1,Unemployed
219,62,2,Unemployed
220,31,3,Unemployed
221,53,4,FOOD
222,76,2,
223,48,6,Unemployed
224,19,6,Unemployed
225,22,3,Unemployed
226,79,2,
227,59,6,Unemployed
228,44,4,Unemployed
229,38,2,FOOD
230,47,2,HEALTHCARE
231,65,1,Unemployed
232,67,1,
233,51,2,Unemployed
234,72,5,
235,14,1,
236,40,2,Unemployed
237,71,3,
238,2,2,
239,75,5,
240,13,6,
241,11,2,
242,60,1,Unemployed
243,39,6,Unemployed
244,64,2,Unemployed
245,7,3,
246,66,2,
247,79,6,
248,58,6,Unemployed
249,54,2,Unemployed
250,78,4,
251,62,2,Unemployed
252,49,4,INFORMATION
253,76,4,
254,58,6,Unemployed
