"GEO_ID","NAME","K202402_001E","K202402_001EA","K202402_001M","K202402_001MA","K202402_002E","K202402_002EA","K202402_002M","K202402_002MA","K202402_003E","K202402_003EA","K202402_003M","K202402_003MA","K202402_004E","K202402_004EA","K202402_004M","K202402_004MA","K202402_005E","K202402_005M","K202402_005MA","K202402_005EA","K202402_006E","K202402_006EA","K202402_006M","K202402_006MA","K202402_007E","K202402_007EA","K202402_007M","K202402_007MA","K202402_008E","K202402_008EA","K202402_008M","K202402_008MA","K202402_009E","K202402_009EA","K202402_009M","K202402_009MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Employee of private company workers","Annotation of Estimate!!Total:!!Employee of private company workers","Margin of Error!!Total:!!Employee of private company workers","Annotation of Margin of Error!!Total:!!Employee of private company workers","Estimate!!Total:!!Self-employed in own incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own incorporated business workers","Margin of Error!!Total:!!Self-employed in own incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own incorporated business workers","Estimate!!Total:!!Private not-for-profit wage and salary workers","Annotation of Estimate!!Total:!!Private not-for-profit wage and salary workers","Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Annotation of Margin of Error!!Total:!!Private not-for-profit wage and salary workers","Estimate!!Total:!!Local government workers","Margin of Error!!Total:!!Local government workers","Annotation of Margin of Error!!Total:!!Local government workers","Annotation of Estimate!!Total:!!Local government workers","Estimate!!Total:!!State government workers","Annotation of Estimate!!Total:!!State government workers","Margin of Error!!Total:!!State government workers","Annotation of Margin of Error!!Total:!!State government workers","Estimate!!Total:!!Federal government workers","Annotation of Estimate!!Total:!!Federal government workers","Margin of Error!!Total:!!Federal government workers","Annotation of Margin of Error!!Total:!!Federal government workers","Estimate!!Total:!!Self-employed in own not incorporated business workers","Annotation of Estimate!!Total:!!Self-employed in own not incorporated business workers","Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Annotation of Margin of Error!!Total:!!Self-employed in own not incorporated business workers","Estimate!!Total:!!Unpaid family workers","Annotation of Estimate!!Total:!!Unpaid family workers","Margin of Error!!Total:!!Unpaid family workers","Annotation of Margin of Error!!Total:!!Unpaid family workers",
"0500000US01001","Autauga County, Alabama","26405","null","2208","null","17796","null","1966","null","524","null","357","null","1976","null","860","null","2157","1040","null","null","2441","null","918","null","214","null","214","null","1297","null","739","null","0","null","216","null",
"0500000US01003","Baldwin County, Alabama","110347","null","4579","null","77827","null","5145","null","5324","null","1410","null","4489","null","1476","null","9879","2821","null","null","3369","null","1282","null","3518","null","1450","null","5941","null","1563","null","0","null","216","null",
"0500000US01005","Barbour County, Alabama","9848","null","1107","null","6939","null","966","null","183","null","182","null","379","null","220","null","729","368","null","null","520","null","451","null","199","null","214","null","738","null","370","null","161","null","212","null",
"0500000US01007","Bibb County, Alabama","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"0500000US01009","Blount County, Alabama","25646","null","1601","null","18722","null","2126","null","1002","null","612","null","1548","null","695","null","1277","654","null","null","696","null","470","null","428","null","292","null","1933","null","756","null","40","null","69","null",
"0500000US01013","Butler County, Alabama","7383","null","1284","null","5586","null","1165","null","43","null","61","null","513","null","275","null","309","247","null","null","315","null","173","null","374","null","270","null","243","null","165","null","0","null","216","null",
"0500000US01015","Calhoun County, Alabama","48361","null","2957","null","33748","null","2997","null","928","null","463","null","2499","null","979","null","3880","1127","null","null","1987","null","771","null","2621","null","976","null","2538","null","753","null","160","null","215","null",
"0500000US01017","Chambers County, Alabama","14751","null","1301","null","9766","null","1108","null","417","null","376","null","1228","null","667","null","1747","932","null","null","737","null","480","null","371","null","344","null","485","null","389","null","0","null","216","null",
"0500000US01019","Cherokee County, Alabama","9893","null","1706","null","7147","null","1470","null","123","null","115","null","438","null","315","null","861","457","null","null","582","null","437","null","325","null","269","null","417","null","304","null","0","null","216","null",
