Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,1
2020-04-06,2
2020-04-13,5
2020-04-20,1
2020-04-27,1
2020-05-04,3
2020-05-11,5
2020-05-18,18
2020-05-25,8
2020-06-01,1
2020-06-08,3
2020-06-15,7
2020-06-22,4
2020-06-29,25
2020-07-06,5
2020-07-13,8
2020-07-20,2
2020-07-27,6
2020-08-03,6
2020-08-10,2
2020-08-17,6
2020-08-24,4
2020-08-31,3
2020-09-07,5
2020-09-14,1
2020-09-21,4
2020-09-28,2
2020-10-05,3
2020-10-12,3
2020-10-19,4
2020-10-26,7
2020-11-02,18
2020-11-09,48
2020-11-16,48
2020-11-23,31
2020-11-30,44
2020-12-07,19
2020-12-14,18
2020-12-21,10
2020-12-28,21
2021-01-04,17
2021-01-11,11
2021-01-18,12
2021-01-25,10
2021-02-01,5
2021-02-08,15
2021-02-15,11
2021-02-22,2
2021-03-01,8
2021-03-08,3
2021-03-15,12
2021-03-22,43
2021-03-29,55
2021-04-05,46
2021-04-12,60
2021-04-19,35
2021-04-26,21
2021-05-03,14
2021-05-10,4
2021-05-17,11
2021-05-24,5
2021-05-31,4
2021-06-07,5
2021-06-14,7
2021-06-21,8
2021-06-28,4
2021-07-05,4
2021-07-12,1
2021-07-19,6
2021-07-26,9
2021-08-02,13
2021-08-09,30
2021-08-16,29
2021-08-23,17
2021-08-30,14
2021-09-06,17
2021-09-13,19
2021-09-20,39
2021-09-27,33
2021-10-04,36
2021-10-11,58
2021-10-18,64
2021-10-25,36
2021-11-01,32
2021-11-08,29
2021-11-15,33
2021-11-22,37
2021-11-29,30
2021-12-06,15
2021-12-13,16
2021-12-20,15
2021-12-27,25
2022-01-03,39
2022-01-10,41
2022-01-17,31
2022-01-24,32
2022-01-31,32
2022-02-07,13
2022-02-14,17
2022-02-21,12
2022-02-28,10
2022-03-07,5
2022-03-14,3
2022-03-21,1
2022-03-28,2
2022-04-04,2
2022-04-11,2
2022-04-18,3
2022-04-25,6
2022-05-02,6
2022-05-09,4
2022-05-16,10
2022-05-23,4
2022-05-30,0
2022-06-06,9
2022-06-13,5
2022-06-20,4
2022-06-27,3
2022-07-04,3
2022-07-11,2
2022-07-18,7
2022-07-25,2
2022-08-01,7
2022-08-08,6
2022-08-15,5
2022-08-22,3
2022-08-29,3
2022-09-05,2
2022-09-12,3
2022-09-19,6
2022-09-26,13
2022-10-03,7
2022-10-10,6
2022-10-17,7
2022-10-24,5
2022-10-31,4
2022-11-07,3
2022-11-14,5
2022-11-21,0
2022-11-28,1
2022-12-05,1
2022-12-12,7
2022-12-19,1
2022-12-26,5
2023-01-02,4
2023-01-09,3
2023-01-16,4
2023-01-23,3
2023-01-30,4
2023-02-06,7
2023-02-13,6
2023-02-20,6
2023-02-27,5
2023-03-06,9
2023-03-13,5
2023-03-20,16
2023-03-27,17
2023-04-03,5
2023-04-10,0
2023-04-17,2
2023-04-24,3
2023-05-01,0
2023-05-08,0
2023-05-15,1
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,1
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,3
2023-07-24,0
2023-07-31,1
2023-08-07,1
2023-08-14,3
2023-08-21,2
2023-08-28,5
2023-09-04,2
2023-09-11,0
2023-09-18,2
2023-09-25,1
2023-10-02,3
2023-10-09,3
2023-10-16,1
2023-10-23,4
2023-10-30,4
2023-11-06,2
2023-11-13,3
2023-11-20,11
2023-11-27,14
2023-12-04,10
2023-12-11,9
2023-12-18,8
2023-12-25,6
2024-01-01,5
2024-01-08,3
2024-01-15,4
2024-01-22,2
2024-01-29,3
2024-02-05,1
2024-02-12,0
2024-02-19,2
2024-02-26,2
2024-03-04,3
2024-03-11,0
