Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,2
2020-04-27,0
2020-05-04,1
2020-05-11,1
2020-05-18,0
2020-05-25,5
2020-06-01,4
2020-06-08,4
2020-06-15,2
2020-06-22,4
2020-06-29,0
2020-07-06,1
2020-07-13,4
2020-07-20,6
2020-07-27,10
2020-08-03,11
2020-08-10,19
2020-08-17,10
2020-08-24,3
2020-08-31,5
2020-09-07,6
2020-09-14,3
2020-09-21,8
2020-09-28,6
2020-10-05,41
2020-10-12,19
2020-10-19,18
2020-10-26,15
2020-11-02,26
2020-11-09,27
2020-11-16,29
2020-11-23,16
2020-11-30,16
2020-12-07,16
2020-12-14,13
2020-12-21,28
2020-12-28,14
2021-01-04,30
2021-01-11,30
2021-01-18,28
2021-01-25,5
2021-02-01,5
2021-02-08,52
2021-02-15,13
2021-02-22,2
2021-03-01,0
2021-03-08,0
2021-03-15,8
2021-03-22,15
2021-03-29,10
2021-04-05,19
2021-04-12,9
2021-04-19,6
2021-04-26,13
2021-05-03,5
2021-05-10,3
2021-05-17,10
2021-05-24,5
2021-05-31,3
2021-06-07,2
2021-06-14,6
2021-06-21,5
2021-06-28,4
2021-07-05,2
2021-07-12,1
2021-07-19,3
2021-07-26,0
2021-08-02,8
2021-08-09,15
2021-08-16,20
2021-08-23,19
2021-08-30,30
2021-09-06,47
2021-09-13,37
2021-09-20,38
2021-09-27,27
2021-10-04,46
2021-10-11,26
2021-10-18,13
2021-10-25,15
2021-11-01,24
2021-11-08,34
2021-11-15,26
2021-11-22,24
2021-11-29,16
2021-12-06,17
2021-12-13,23
2021-12-20,42
2021-12-27,72
2022-01-03,78
2022-01-10,153
2022-01-17,98
2022-01-24,47
2022-01-31,19
2022-02-07,23
2022-02-14,6
2022-02-21,10
2022-02-28,16
2022-03-07,5
2022-03-14,6
2022-03-21,2
2022-03-28,5
2022-04-04,4
2022-04-11,2
2022-04-18,2
2022-04-25,17
2022-05-02,11
2022-05-09,11
2022-05-16,17
2022-05-23,14
2022-05-30,18
2022-06-06,5
2022-06-13,12
2022-06-20,17
2022-06-27,5
2022-07-04,12
2022-07-11,20
2022-07-18,11
2022-07-25,16
2022-08-01,13
2022-08-08,15
2022-08-15,17
2022-08-22,14
2022-08-29,11
2022-09-05,20
2022-09-12,8
2022-09-19,8
2022-09-26,7
2022-10-03,6
2022-10-10,3
2022-10-17,5
2022-10-24,7
2022-10-31,10
2022-11-07,6
2022-11-14,6
2022-11-21,6
2022-11-28,3
2022-12-05,3
2022-12-12,1
2022-12-19,3
2022-12-26,3
2023-01-02,6
2023-01-09,3
2023-01-16,5
2023-01-23,3
2023-01-30,4
2023-02-06,5
2023-02-13,3
2023-02-20,1
2023-02-27,3
2023-03-06,8
2023-03-13,10
2023-03-20,2
2023-03-27,2
2023-04-03,2
2023-04-10,2
2023-04-17,0
2023-04-24,0
2023-05-01,1
2023-05-08,1
2023-05-15,1
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,1
2023-07-31,1
2023-08-07,0
2023-08-14,0
2023-08-21,1
2023-08-28,0
2023-09-04,0
2023-09-11,2
2023-09-18,1
2023-09-25,1
2023-10-02,3
2023-10-09,2
2023-10-16,1
2023-10-23,5
2023-10-30,17
2023-11-06,6
2023-11-13,0
2023-11-20,4
2023-11-27,6
2023-12-04,4
2023-12-11,3
2023-12-18,1
2023-12-25,0
2024-01-01,0
2024-01-08,0
2024-01-15,2
2024-01-22,0
2024-01-29,2
2024-02-05,0
2024-02-12,2
2024-02-19,1
2024-02-26,1
2024-03-04,0
2024-03-11,0
