Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,1
2020-03-23,11
2020-03-30,15
2020-04-06,26
2020-04-13,40
2020-04-20,63
2020-04-27,76
2020-05-04,64
2020-05-11,77
2020-05-18,68
2020-05-25,66
2020-06-01,96
2020-06-08,59
2020-06-15,73
2020-06-22,85
2020-06-29,144
2020-07-06,117
2020-07-13,139
2020-07-20,136
2020-07-27,112
2020-08-03,125
2020-08-10,142
2020-08-17,129
2020-08-24,116
2020-08-31,105
2020-09-07,130
2020-09-14,127
2020-09-21,125
2020-09-28,82
2020-10-05,122
2020-10-12,172
2020-10-19,236
2020-10-26,438
2020-11-02,599
2020-11-09,663
2020-11-16,516
2020-11-23,455
2020-11-30,487
2020-12-07,362
2020-12-14,313
2020-12-21,250
2020-12-28,282
2021-01-04,273
2021-01-11,287
2021-01-18,200
2021-01-25,138
2021-02-01,123
2021-02-08,207
2021-02-15,139
2021-02-22,106
2021-03-01,131
2021-03-08,169
2021-03-15,290
2021-03-22,432
2021-03-29,474
2021-04-05,502
2021-04-12,452
2021-04-19,409
2021-04-26,349
2021-05-03,228
2021-05-10,167
2021-05-17,188
2021-05-24,124
2021-05-31,71
2021-06-07,80
2021-06-14,63
2021-06-21,50
2021-06-28,43
2021-07-05,64
2021-07-12,70
2021-07-19,94
2021-07-26,150
2021-08-02,202
2021-08-09,210
2021-08-16,225
2021-08-23,272
2021-08-30,237
2021-09-06,227
2021-09-13,290
2021-09-20,338
2021-09-27,316
2021-10-04,344
2021-10-11,372
2021-10-18,380
2021-10-25,443
2021-11-01,573
2021-11-08,648
2021-11-15,653
2021-11-22,561
2021-11-29,586
2021-12-06,461
2021-12-13,314
2021-12-20,371
2021-12-27,701
2022-01-03,989
2022-01-10,1164
2022-01-17,1168
2022-01-24,767
2022-01-31,460
2022-02-07,272
2022-02-14,135
2022-02-21,73
2022-02-28,67
2022-03-07,42
2022-03-14,57
2022-03-21,41
2022-03-28,27
2022-04-04,58
2022-04-11,46
2022-04-18,67
2022-04-25,99
2022-05-02,126
2022-05-09,193
2022-05-16,177
2022-05-23,160
2022-05-30,133
2022-06-06,127
2022-06-13,115
2022-06-20,133
2022-06-27,126
2022-07-04,126
2022-07-11,180
2022-07-18,199
2022-07-25,189
2022-08-01,144
2022-08-08,188
2022-08-15,155
2022-08-22,127
2022-08-29,133
2022-09-05,148
2022-09-12,123
2022-09-19,109
2022-09-26,79
2022-10-03,66
2022-10-10,58
2022-10-17,54
2022-10-24,55
2022-10-31,44
2022-11-07,53
2022-11-14,53
2022-11-21,45
2022-11-28,88
2022-12-05,105
2022-12-12,115
2022-12-19,85
2022-12-26,62
2023-01-02,52
2023-01-09,35
2023-01-16,60
2023-01-23,36
2023-01-30,29
2023-02-06,58
2023-02-13,67
2023-02-20,51
2023-02-27,41
2023-03-06,51
2023-03-13,41
2023-03-20,65
2023-03-27,40
2023-04-03,22
2023-04-10,14
2023-04-17,21
2023-04-24,12
2023-05-01,14
2023-05-08,8
2023-05-15,6
2023-05-22,6
2023-05-29,5
2023-06-05,3
2023-06-12,8
2023-06-19,6
2023-06-26,3
2023-07-03,7
2023-07-10,12
2023-07-17,15
2023-07-24,14
2023-07-31,16
2023-08-07,17
2023-08-14,12
2023-08-21,20
2023-08-28,32
2023-09-04,37
2023-09-11,33
2023-09-18,17
2023-09-25,32
2023-10-02,21
2023-10-09,21
2023-10-16,33
2023-10-23,23
2023-10-30,42
2023-11-06,38
2023-11-13,67
2023-11-20,89
2023-11-27,70
2023-12-04,64
2023-12-11,100
2023-12-18,109
2023-12-25,77
2024-01-01,74
2024-01-08,32
2024-01-15,31
2024-01-22,24
2024-01-29,24
2024-02-05,37
2024-02-12,26
2024-02-19,15
2024-02-26,20
2024-03-04,13
2024-03-11,1
