Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,1
2020-03-30,0
2020-04-06,5
2020-04-13,53
2020-04-20,23
2020-04-27,16
2020-05-04,1
2020-05-11,10
2020-05-18,3
2020-05-25,3
2020-06-01,20
2020-06-08,5
2020-06-15,6
2020-06-22,12
2020-06-29,8
2020-07-06,10
2020-07-13,5
2020-07-20,10
2020-07-27,7
2020-08-03,6
2020-08-10,21
2020-08-17,13
2020-08-24,6
2020-08-31,15
2020-09-07,10
2020-09-14,20
2020-09-21,13
2020-09-28,2
2020-10-05,3
2020-10-12,4
2020-10-19,24
2020-10-26,31
2020-11-02,56
2020-11-09,152
2020-11-16,159
2020-11-23,155
2020-11-30,152
2020-12-07,71
2020-12-14,59
2020-12-21,61
2020-12-28,87
2021-01-04,82
2021-01-11,57
2021-01-18,32
2021-01-25,20
2021-02-01,29
2021-02-08,50
2021-02-15,35
2021-02-22,13
2021-03-01,21
2021-03-08,28
2021-03-15,45
2021-03-22,68
2021-03-29,75
2021-04-05,130
2021-04-12,113
2021-04-19,102
2021-04-26,85
2021-05-03,62
2021-05-10,48
2021-05-17,52
2021-05-24,21
2021-05-31,23
2021-06-07,15
2021-06-14,14
2021-06-21,13
2021-06-28,10
2021-07-05,9
2021-07-12,19
2021-07-19,39
2021-07-26,48
2021-08-02,60
2021-08-09,53
2021-08-16,32
2021-08-23,32
2021-08-30,39
2021-09-06,67
2021-09-13,75
2021-09-20,85
2021-09-27,50
2021-10-04,104
2021-10-11,109
2021-10-18,103
2021-10-25,143
2021-11-01,181
2021-11-08,161
2021-11-15,148
2021-11-22,125
2021-11-29,146
2021-12-06,125
2021-12-13,96
2021-12-20,62
2021-12-27,85
2022-01-03,123
2022-01-10,136
2022-01-17,139
2022-01-24,127
2022-01-31,111
2022-02-07,78
2022-02-14,63
2022-02-21,39
2022-02-28,34
2022-03-07,13
2022-03-14,13
2022-03-21,13
2022-03-28,8
2022-04-04,53
2022-04-11,60
2022-04-18,34
2022-04-25,41
2022-05-02,36
2022-05-09,51
2022-05-16,22
2022-05-23,13
2022-05-30,17
2022-06-06,8
2022-06-13,7
2022-06-20,6
2022-06-27,11
2022-07-04,7
2022-07-11,10
2022-07-18,14
2022-07-25,20
2022-08-01,23
2022-08-08,21
2022-08-15,16
2022-08-22,17
2022-08-29,7
2022-09-05,16
2022-09-12,18
2022-09-19,14
2022-09-26,22
2022-10-03,19
2022-10-10,15
2022-10-17,21
2022-10-24,13
2022-10-31,9
2022-11-07,15
2022-11-14,16
2022-11-21,27
2022-11-28,28
2022-12-05,28
2022-12-12,14
2022-12-19,11
2022-12-26,8
2023-01-02,19
2023-01-09,17
2023-01-16,18
2023-01-23,12
2023-01-30,20
2023-02-06,13
2023-02-13,38
2023-02-20,25
2023-02-27,29
2023-03-06,46
2023-03-13,45
2023-03-20,29
2023-03-27,11
2023-04-03,10
2023-04-10,14
2023-04-17,8
2023-04-24,7
2023-05-01,4
2023-05-08,4
2023-05-15,2
2023-05-22,2
2023-05-29,5
2023-06-05,2
2023-06-12,9
2023-06-19,2
2023-06-26,3
2023-07-03,3
2023-07-10,0
2023-07-17,2
2023-07-24,2
2023-07-31,5
2023-08-07,5
2023-08-14,8
2023-08-21,9
2023-08-28,10
2023-09-04,11
2023-09-11,24
2023-09-18,26
2023-09-25,7
2023-10-02,8
2023-10-09,10
2023-10-16,6
2023-10-23,5
2023-10-30,5
2023-11-06,12
2023-11-13,25
2023-11-20,26
2023-11-27,26
2023-12-04,25
2023-12-11,34
2023-12-18,32
2023-12-25,22
2024-01-01,32
2024-01-08,15
2024-01-15,10
2024-01-22,8
2024-01-29,8
2024-02-05,14
2024-02-12,4
2024-02-19,5
2024-02-26,11
2024-03-04,10
2024-03-11,1
