Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,5
2020-03-23,4
2020-03-30,1
2020-04-06,1
2020-04-13,2
2020-04-20,2
2020-04-27,3
2020-05-04,5
2020-05-11,2
2020-05-18,2
2020-05-25,5
2020-06-01,4
2020-06-08,7
2020-06-15,11
2020-06-22,16
2020-06-29,13
2020-07-06,12
2020-07-13,27
2020-07-20,16
2020-07-27,13
2020-08-03,11
2020-08-10,12
2020-08-17,33
2020-08-24,12
2020-08-31,16
2020-09-07,16
2020-09-14,24
2020-09-21,23
2020-09-28,7
2020-10-05,4
2020-10-12,24
2020-10-19,30
2020-10-26,56
2020-11-02,61
2020-11-09,49
2020-11-16,80
2020-11-23,67
2020-11-30,45
2020-12-07,51
2020-12-14,33
2020-12-21,26
2020-12-28,63
2021-01-04,60
2021-01-11,51
2021-01-18,29
2021-01-25,20
2021-02-01,36
2021-02-08,51
2021-02-15,34
2021-02-22,28
2021-03-01,33
2021-03-08,39
2021-03-15,79
2021-03-22,116
2021-03-29,97
2021-04-05,102
2021-04-12,61
2021-04-19,43
2021-04-26,56
2021-05-03,33
2021-05-10,23
2021-05-17,17
2021-05-24,18
2021-05-31,16
2021-06-07,9
2021-06-14,20
2021-06-21,9
2021-06-28,8
2021-07-05,8
2021-07-12,9
2021-07-19,18
2021-07-26,23
2021-08-02,46
2021-08-09,51
2021-08-16,48
2021-08-23,61
2021-08-30,42
2021-09-06,38
2021-09-13,49
2021-09-20,57
2021-09-27,95
2021-10-04,109
2021-10-11,89
2021-10-18,114
2021-10-25,53
2021-11-01,106
2021-11-08,82
2021-11-15,90
2021-11-22,90
2021-11-29,89
2021-12-06,52
2021-12-13,48
2021-12-20,46
2021-12-27,123
2022-01-03,197
2022-01-10,152
2022-01-17,148
2022-01-24,109
2022-01-31,82
2022-02-07,69
2022-02-14,37
2022-02-21,28
2022-02-28,13
2022-03-07,17
2022-03-14,23
2022-03-21,14
2022-03-28,10
2022-04-04,11
2022-04-11,20
2022-04-18,16
2022-04-25,39
2022-05-02,30
2022-05-09,41
2022-05-16,32
2022-05-23,38
2022-05-30,26
2022-06-06,27
2022-06-13,18
2022-06-20,13
2022-06-27,17
2022-07-04,17
2022-07-11,19
2022-07-18,29
2022-07-25,27
2022-08-01,22
2022-08-08,15
2022-08-15,22
2022-08-22,19
2022-08-29,7
2022-09-05,12
2022-09-12,8
2022-09-19,12
2022-09-26,24
2022-10-03,16
2022-10-10,26
2022-10-17,19
2022-10-24,11
2022-10-31,14
2022-11-07,10
2022-11-14,7
2022-11-21,14
2022-11-28,6
2022-12-05,13
2022-12-12,16
2022-12-19,18
2022-12-26,18
2023-01-02,11
2023-01-09,10
2023-01-16,7
2023-01-23,5
2023-01-30,3
2023-02-06,3
2023-02-13,13
2023-02-20,9
2023-02-27,6
2023-03-06,13
2023-03-13,8
2023-03-20,6
2023-03-27,10
2023-04-03,3
2023-04-10,4
2023-04-17,4
2023-04-24,5
2023-05-01,2
2023-05-08,3
2023-05-15,5
2023-05-22,5
2023-05-29,4
2023-06-05,1
2023-06-12,4
2023-06-19,3
2023-06-26,2
2023-07-03,2
2023-07-10,1
2023-07-17,1
2023-07-24,0
2023-07-31,5
2023-08-07,12
2023-08-14,4
2023-08-21,6
2023-08-28,5
2023-09-04,6
2023-09-11,5
2023-09-18,6
2023-09-25,9
2023-10-02,3
2023-10-09,10
2023-10-16,8
2023-10-23,5
2023-10-30,2
2023-11-06,7
2023-11-13,1
2023-11-20,5
2023-11-27,12
2023-12-04,11
2023-12-11,6
2023-12-18,12
2023-12-25,15
2024-01-01,19
2024-01-08,11
2024-01-15,10
2024-01-22,4
2024-01-29,5
2024-02-05,2
2024-02-12,8
2024-02-19,6
2024-02-26,4
2024-03-04,3
2024-03-11,0
