Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,3
2020-03-30,4
2020-04-06,3
2020-04-13,10
2020-04-20,9
2020-04-27,8
2020-05-04,4
2020-05-11,5
2020-05-18,4
2020-05-25,3
2020-06-01,4
2020-06-08,6
2020-06-15,7
2020-06-22,8
2020-06-29,6
2020-07-06,6
2020-07-13,12
2020-07-20,6
2020-07-27,13
2020-08-03,10
2020-08-10,20
2020-08-17,15
2020-08-24,11
2020-08-31,10
2020-09-07,10
2020-09-14,6
2020-09-21,7
2020-09-28,7
2020-10-05,6
2020-10-12,11
2020-10-19,17
2020-10-26,21
2020-11-02,55
2020-11-09,87
2020-11-16,116
2020-11-23,73
2020-11-30,44
2020-12-07,31
2020-12-14,16
2020-12-21,26
2020-12-28,18
2021-01-04,27
2021-01-11,26
2021-01-18,11
2021-01-25,17
2021-02-01,19
2021-02-08,30
2021-02-15,14
2021-02-22,11
2021-03-01,8
2021-03-08,7
2021-03-15,19
2021-03-22,23
2021-03-29,61
2021-04-05,78
2021-04-12,62
2021-04-19,47
2021-04-26,77
2021-05-03,32
2021-05-10,31
2021-05-17,26
2021-05-24,12
2021-05-31,18
2021-06-07,11
2021-06-14,18
2021-06-21,8
2021-06-28,11
2021-07-05,9
2021-07-12,11
2021-07-19,15
2021-07-26,19
2021-08-02,16
2021-08-09,24
2021-08-16,36
2021-08-23,36
2021-08-30,20
2021-09-06,35
2021-09-13,53
2021-09-20,50
2021-09-27,43
2021-10-04,78
2021-10-11,117
2021-10-18,72
2021-10-25,40
2021-11-01,56
2021-11-08,56
2021-11-15,50
2021-11-22,49
2021-11-29,62
2021-12-06,65
2021-12-13,40
2021-12-20,35
2021-12-27,50
2022-01-03,118
2022-01-10,145
2022-01-17,134
2022-01-24,86
2022-01-31,75
2022-02-07,49
2022-02-14,27
2022-02-21,20
2022-02-28,10
2022-03-07,11
2022-03-14,1
2022-03-21,4
2022-03-28,5
2022-04-04,6
2022-04-11,7
2022-04-18,12
2022-04-25,28
2022-05-02,25
2022-05-09,23
2022-05-16,14
2022-05-23,18
2022-05-30,12
2022-06-06,15
2022-06-13,19
2022-06-20,20
2022-06-27,14
2022-07-04,15
2022-07-11,20
2022-07-18,19
2022-07-25,16
2022-08-01,15
2022-08-08,9
2022-08-15,23
2022-08-22,22
2022-08-29,26
2022-09-05,12
2022-09-12,27
2022-09-19,12
2022-09-26,9
2022-10-03,12
2022-10-10,7
2022-10-17,17
2022-10-24,10
2022-10-31,23
2022-11-07,19
2022-11-14,15
2022-11-21,11
2022-11-28,7
2022-12-05,15
2022-12-12,11
2022-12-19,14
2022-12-26,9
2023-01-02,7
2023-01-09,6
2023-01-16,5
2023-01-23,5
2023-01-30,2
2023-02-06,0
2023-02-13,15
2023-02-20,18
2023-02-27,6
2023-03-06,3
2023-03-13,15
2023-03-20,10
2023-03-27,8
2023-04-03,9
2023-04-10,11
2023-04-17,6
2023-04-24,1
2023-05-01,4
2023-05-08,1
2023-05-15,7
2023-05-22,3
2023-05-29,1
2023-06-05,3
2023-06-12,0
2023-06-19,1
2023-06-26,3
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,4
2023-07-31,7
2023-08-07,3
2023-08-14,1
2023-08-21,1
2023-08-28,2
2023-09-04,4
2023-09-11,8
2023-09-18,6
2023-09-25,5
2023-10-02,6
2023-10-09,8
2023-10-16,9
2023-10-23,15
2023-10-30,8
2023-11-06,8
2023-11-13,5
2023-11-20,20
2023-11-27,21
2023-12-04,11
2023-12-11,7
2023-12-18,11
2023-12-25,9
2024-01-01,11
2024-01-08,7
2024-01-15,7
2024-01-22,6
2024-01-29,3
2024-02-05,9
2024-02-12,11
2024-02-19,8
2024-02-26,5
2024-03-04,7
2024-03-11,0
