Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,1
2020-05-04,3
2020-05-11,0
2020-05-18,0
2020-05-25,6
2020-06-01,0
2020-06-08,4
2020-06-15,3
2020-06-22,5
2020-06-29,2
2020-07-06,3
2020-07-13,5
2020-07-20,4
2020-07-27,1
2020-08-03,7
2020-08-10,5
2020-08-17,6
2020-08-24,17
2020-08-31,13
2020-09-07,6
2020-09-14,13
2020-09-21,25
2020-09-28,12
2020-10-05,8
2020-10-12,14
2020-10-19,29
2020-10-26,72
2020-11-02,87
2020-11-09,79
2020-11-16,80
2020-11-23,43
2020-11-30,30
2020-12-07,15
2020-12-14,11
2020-12-21,13
2020-12-28,8
2021-01-04,4
2021-01-11,1
2021-01-18,4
2021-01-25,6
2021-02-01,13
2021-02-08,21
2021-02-15,8
2021-02-22,2
2021-03-01,5
2021-03-08,1
2021-03-15,8
2021-03-22,10
2021-03-29,8
2021-04-05,7
2021-04-12,11
2021-04-19,19
2021-04-26,60
2021-05-03,43
2021-05-10,20
2021-05-17,32
2021-05-24,20
2021-05-31,15
2021-06-07,8
2021-06-14,11
2021-06-21,10
2021-06-28,6
2021-07-05,4
2021-07-12,1
2021-07-19,6
2021-07-26,11
2021-08-02,9
2021-08-09,20
2021-08-16,22
2021-08-23,27
2021-08-30,27
2021-09-06,25
2021-09-13,26
2021-09-20,25
2021-09-27,14
2021-10-04,39
2021-10-11,52
2021-10-18,35
2021-10-25,39
2021-11-01,55
2021-11-08,51
2021-11-15,33
2021-11-22,24
2021-11-29,22
2021-12-06,26
2021-12-13,14
2021-12-20,22
2021-12-27,25
2022-01-03,62
2022-01-10,93
2022-01-17,88
2022-01-24,69
2022-01-31,46
2022-02-07,19
2022-02-14,18
2022-02-21,12
2022-02-28,12
2022-03-07,10
2022-03-14,4
2022-03-21,9
2022-03-28,5
2022-04-04,3
2022-04-11,2
2022-04-18,3
2022-04-25,8
2022-05-02,5
2022-05-09,16
2022-05-16,16
2022-05-23,29
2022-05-30,17
2022-06-06,20
2022-06-13,21
2022-06-20,9
2022-06-27,10
2022-07-04,9
2022-07-11,17
2022-07-18,23
2022-07-25,23
2022-08-01,23
2022-08-08,14
2022-08-15,11
2022-08-22,16
2022-08-29,8
2022-09-05,6
2022-09-12,7
2022-09-19,7
2022-09-26,6
2022-10-03,14
2022-10-10,22
2022-10-17,13
2022-10-24,12
2022-10-31,19
2022-11-07,9
2022-11-14,3
2022-11-21,10
2022-11-28,7
2022-12-05,13
2022-12-12,13
2022-12-19,18
2022-12-26,13
2023-01-02,9
2023-01-09,6
2023-01-16,4
2023-01-23,5
2023-01-30,10
2023-02-06,9
2023-02-13,4
2023-02-20,13
2023-02-27,12
2023-03-06,5
2023-03-13,2
2023-03-20,7
2023-03-27,4
2023-04-03,3
2023-04-10,5
2023-04-17,0
2023-04-24,4
2023-05-01,1
2023-05-08,0
2023-05-15,2
2023-05-22,0
2023-05-29,1
2023-06-05,0
2023-06-12,2
2023-06-19,0
2023-06-26,1
2023-07-03,0
2023-07-10,1
2023-07-17,2
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,1
2023-08-21,4
2023-08-28,1
2023-09-04,0
2023-09-11,1
2023-09-18,4
2023-09-25,2
2023-10-02,12
2023-10-09,0
2023-10-16,4
2023-10-23,3
2023-10-30,5
2023-11-06,2
2023-11-13,9
2023-11-20,6
2023-11-27,2
2023-12-04,2
2023-12-11,12
2023-12-18,10
2023-12-25,7
2024-01-01,9
2024-01-08,3
2024-01-15,0
2024-01-22,3
2024-01-29,1
2024-02-05,4
2024-02-12,2
2024-02-19,4
2024-02-26,3
2024-03-04,1
2024-03-11,1
