Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,2
2020-03-23,7
2020-03-30,5
2020-04-06,16
2020-04-13,17
2020-04-20,24
2020-04-27,32
2020-05-04,29
2020-05-11,27
2020-05-18,42
2020-05-25,40
2020-06-01,46
2020-06-08,28
2020-06-15,28
2020-06-22,55
2020-06-29,94
2020-07-06,81
2020-07-13,63
2020-07-20,70
2020-07-27,73
2020-08-03,75
2020-08-10,68
2020-08-17,81
2020-08-24,86
2020-08-31,104
2020-09-07,83
2020-09-14,85
2020-09-21,105
2020-09-28,58
2020-10-05,113
2020-10-12,96
2020-10-19,157
2020-10-26,197
2020-11-02,299
2020-11-09,349
2020-11-16,300
2020-11-23,316
2020-11-30,206
2020-12-07,153
2020-12-14,108
2020-12-21,107
2020-12-28,139
2021-01-04,139
2021-01-11,132
2021-01-18,94
2021-01-25,69
2021-02-01,76
2021-02-08,114
2021-02-15,107
2021-02-22,60
2021-03-01,62
2021-03-08,61
2021-03-15,135
2021-03-22,257
2021-03-29,255
2021-04-05,291
2021-04-12,281
2021-04-19,282
2021-04-26,242
2021-05-03,128
2021-05-10,104
2021-05-17,96
2021-05-24,68
2021-05-31,55
2021-06-07,43
2021-06-14,37
2021-06-21,44
2021-06-28,36
2021-07-05,18
2021-07-12,43
2021-07-19,50
2021-07-26,81
2021-08-02,107
2021-08-09,124
2021-08-16,135
2021-08-23,162
2021-08-30,152
2021-09-06,166
2021-09-13,131
2021-09-20,124
2021-09-27,141
2021-10-04,166
2021-10-11,189
2021-10-18,209
2021-10-25,205
2021-11-01,287
2021-11-08,306
2021-11-15,325
2021-11-22,247
2021-11-29,316
2021-12-06,199
2021-12-13,176
2021-12-20,170
2021-12-27,312
2022-01-03,490
2022-01-10,617
2022-01-17,579
2022-01-24,416
2022-01-31,227
2022-02-07,125
2022-02-14,81
2022-02-21,48
2022-02-28,40
2022-03-07,25
2022-03-14,32
2022-03-21,38
2022-03-28,30
2022-04-04,22
2022-04-11,30
2022-04-18,46
2022-04-25,44
2022-05-02,65
2022-05-09,97
2022-05-16,94
2022-05-23,67
2022-05-30,53
2022-06-06,51
2022-06-13,57
2022-06-20,82
2022-06-27,52
2022-07-04,52
2022-07-11,80
2022-07-18,70
2022-07-25,74
2022-08-01,67
2022-08-08,66
2022-08-15,53
2022-08-22,75
2022-08-29,58
2022-09-05,94
2022-09-12,71
2022-09-19,34
2022-09-26,71
2022-10-03,53
2022-10-10,53
2022-10-17,50
2022-10-24,41
2022-10-31,39
2022-11-07,28
2022-11-14,20
2022-11-21,27
2022-11-28,37
2022-12-05,62
2022-12-12,58
2022-12-19,62
2022-12-26,49
2023-01-02,34
2023-01-09,33
2023-01-16,23
2023-01-23,24
2023-01-30,18
2023-02-06,37
2023-02-13,30
2023-02-20,31
2023-02-27,22
2023-03-06,22
2023-03-13,25
2023-03-20,21
2023-03-27,21
2023-04-03,18
2023-04-10,8
2023-04-17,12
2023-04-24,40
2023-05-01,43
2023-05-08,21
2023-05-15,8
2023-05-22,9
2023-05-29,7
2023-06-05,14
2023-06-12,5
2023-06-19,3
2023-06-26,5
2023-07-03,4
2023-07-10,4
2023-07-17,8
2023-07-24,7
2023-07-31,8
2023-08-07,8
2023-08-14,13
2023-08-21,20
2023-08-28,17
2023-09-04,17
2023-09-11,20
2023-09-18,24
2023-09-25,23
2023-10-02,14
2023-10-09,9
2023-10-16,13
2023-10-23,10
2023-10-30,11
2023-11-06,14
2023-11-13,25
2023-11-20,18
2023-11-27,45
2023-12-04,91
2023-12-11,106
2023-12-18,85
2023-12-25,73
2024-01-01,44
2024-01-08,26
2024-01-15,14
2024-01-22,20
2024-01-29,24
2024-02-05,18
2024-02-12,17
2024-02-19,18
2024-02-26,13
2024-03-04,14
2024-03-11,6
