Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,4
2020-03-16,18
2020-03-23,21
2020-03-30,23
2020-04-06,56
2020-04-13,68
2020-04-20,74
2020-04-27,86
2020-05-04,87
2020-05-11,109
2020-05-18,86
2020-05-25,64
2020-06-01,94
2020-06-08,67
2020-06-15,62
2020-06-22,93
2020-06-29,134
2020-07-06,147
2020-07-13,190
2020-07-20,130
2020-07-27,166
2020-08-03,188
2020-08-10,163
2020-08-17,129
2020-08-24,139
2020-08-31,124
2020-09-07,182
2020-09-14,165
2020-09-21,111
2020-09-28,75
2020-10-05,111
2020-10-12,109
2020-10-19,197
2020-10-26,366
2020-11-02,654
2020-11-09,825
2020-11-16,695
2020-11-23,449
2020-11-30,441
2020-12-07,288
2020-12-14,293
2020-12-21,226
2020-12-28,281
2021-01-04,258
2021-01-11,151
2021-01-18,111
2021-01-25,100
2021-02-01,102
2021-02-08,174
2021-02-15,130
2021-02-22,119
2021-03-01,117
2021-03-08,137
2021-03-15,219
2021-03-22,412
2021-03-29,485
2021-04-05,625
2021-04-12,491
2021-04-19,409
2021-04-26,360
2021-05-03,232
2021-05-10,213
2021-05-17,138
2021-05-24,92
2021-05-31,86
2021-06-07,57
2021-06-14,54
2021-06-21,49
2021-06-28,51
2021-07-05,44
2021-07-12,60
2021-07-19,54
2021-07-26,100
2021-08-02,130
2021-08-09,190
2021-08-16,180
2021-08-23,190
2021-08-30,176
2021-09-06,227
2021-09-13,296
2021-09-20,317
2021-09-27,446
2021-10-04,404
2021-10-11,506
2021-10-18,430
2021-10-25,367
2021-11-01,420
2021-11-08,439
2021-11-15,443
2021-11-22,438
2021-11-29,552
2021-12-06,378
2021-12-13,283
2021-12-20,265
2021-12-27,533
2022-01-03,1193
2022-01-10,1632
2022-01-17,1334
2022-01-24,886
2022-01-31,488
2022-02-07,265
2022-02-14,150
2022-02-21,107
2022-02-28,84
2022-03-07,52
2022-03-14,38
2022-03-21,51
2022-03-28,39
2022-04-04,42
2022-04-11,79
2022-04-18,84
2022-04-25,132
2022-05-02,195
2022-05-09,204
2022-05-16,233
2022-05-23,150
2022-05-30,132
2022-06-06,119
2022-06-13,101
2022-06-20,67
2022-06-27,87
2022-07-04,79
2022-07-11,111
2022-07-18,118
2022-07-25,131
2022-08-01,142
2022-08-08,163
2022-08-15,187
2022-08-22,158
2022-08-29,136
2022-09-05,96
2022-09-12,97
2022-09-19,75
2022-09-26,58
2022-10-03,85
2022-10-10,76
2022-10-17,85
2022-10-24,73
2022-10-31,67
2022-11-07,53
2022-11-14,67
2022-11-21,51
2022-11-28,57
2022-12-05,70
2022-12-12,73
2022-12-19,47
2022-12-26,60
2023-01-02,46
2023-01-09,29
2023-01-16,36
2023-01-23,40
2023-01-30,26
2023-02-06,47
2023-02-13,58
2023-02-20,62
2023-02-27,44
2023-03-06,32
2023-03-13,44
2023-03-20,25
2023-03-27,42
2023-04-03,26
2023-04-10,28
2023-04-17,17
2023-04-24,17
2023-05-01,19
2023-05-08,17
2023-05-15,11
2023-05-22,7
2023-05-29,7
2023-06-05,7
2023-06-12,20
2023-06-19,5
2023-06-26,7
2023-07-03,6
2023-07-10,8
2023-07-17,5
2023-07-24,6
2023-07-31,8
2023-08-07,10
2023-08-14,11
2023-08-21,35
2023-08-28,31
2023-09-04,44
2023-09-11,38
2023-09-18,44
2023-09-25,41
2023-10-02,26
2023-10-09,28
2023-10-16,26
2023-10-23,39
2023-10-30,34
2023-11-06,46
2023-11-13,57
2023-11-20,78
2023-11-27,59
2023-12-04,82
2023-12-11,69
2023-12-18,81
2023-12-25,87
2024-01-01,58
2024-01-08,49
2024-01-15,35
2024-01-22,39
2024-01-29,34
2024-02-05,56
2024-02-12,38
2024-02-19,31
2024-02-26,28
2024-03-04,16
2024-03-11,1
