Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,1
2020-03-30,0
2020-04-06,2
2020-04-13,1
2020-04-20,1
2020-04-27,3
2020-05-04,0
2020-05-11,1
2020-05-18,0
2020-05-25,1
2020-06-01,3
2020-06-08,11
2020-06-15,2
2020-06-22,10
2020-06-29,8
2020-07-06,9
2020-07-13,19
2020-07-20,29
2020-07-27,9
2020-08-03,8
2020-08-10,17
2020-08-17,18
2020-08-24,12
2020-08-31,14
2020-09-07,11
2020-09-14,24
2020-09-21,13
2020-09-28,6
2020-10-05,11
2020-10-12,18
2020-10-19,22
2020-10-26,30
2020-11-02,59
2020-11-09,62
2020-11-16,97
2020-11-23,91
2020-11-30,68
2020-12-07,29
2020-12-14,40
2020-12-21,44
2020-12-28,41
2021-01-04,32
2021-01-11,37
2021-01-18,38
2021-01-25,21
2021-02-01,19
2021-02-08,33
2021-02-15,28
2021-02-22,16
2021-03-01,13
2021-03-08,15
2021-03-15,25
2021-03-22,41
2021-03-29,47
2021-04-05,68
2021-04-12,49
2021-04-19,32
2021-04-26,45
2021-05-03,17
2021-05-10,13
2021-05-17,18
2021-05-24,11
2021-05-31,6
2021-06-07,7
2021-06-14,9
2021-06-21,9
2021-06-28,8
2021-07-05,6
2021-07-12,10
2021-07-19,14
2021-07-26,11
2021-08-02,27
2021-08-09,26
2021-08-16,24
2021-08-23,21
2021-08-30,19
2021-09-06,36
2021-09-13,32
2021-09-20,52
2021-09-27,42
2021-10-04,45
2021-10-11,41
2021-10-18,38
2021-10-25,66
2021-11-01,76
2021-11-08,135
2021-11-15,129
2021-11-22,80
2021-11-29,74
2021-12-06,69
2021-12-13,45
2021-12-20,33
2021-12-27,102
2022-01-03,167
2022-01-10,167
2022-01-17,154
2022-01-24,100
2022-01-31,73
2022-02-07,32
2022-02-14,22
2022-02-21,15
2022-02-28,9
2022-03-07,15
2022-03-14,15
2022-03-21,13
2022-03-28,5
2022-04-04,11
2022-04-11,4
2022-04-18,23
2022-04-25,23
2022-05-02,32
2022-05-09,35
2022-05-16,25
2022-05-23,22
2022-05-30,27
2022-06-06,19
2022-06-13,17
2022-06-20,15
2022-06-27,15
2022-07-04,17
2022-07-11,30
2022-07-18,22
2022-07-25,20
2022-08-01,21
2022-08-08,17
2022-08-15,21
2022-08-22,23
2022-08-29,13
2022-09-05,14
2022-09-12,7
2022-09-19,8
2022-09-26,16
2022-10-03,7
2022-10-10,9
2022-10-17,10
2022-10-24,3
2022-10-31,7
2022-11-07,5
2022-11-14,9
2022-11-21,6
2022-11-28,16
2022-12-05,11
2022-12-12,11
2022-12-19,11
2022-12-26,11
2023-01-02,5
2023-01-09,4
2023-01-16,6
2023-01-23,5
2023-01-30,3
2023-02-06,8
2023-02-13,5
2023-02-20,4
2023-02-27,2
2023-03-06,4
2023-03-13,2
2023-03-20,5
2023-03-27,3
2023-04-03,3
2023-04-10,1
2023-04-17,9
2023-04-24,9
2023-05-01,6
2023-05-08,2
2023-05-15,1
2023-05-22,0
2023-05-29,1
2023-06-05,1
2023-06-12,1
2023-06-19,0
2023-06-26,2
2023-07-03,0
2023-07-10,2
2023-07-17,1
2023-07-24,2
2023-07-31,2
2023-08-07,0
2023-08-14,1
2023-08-21,3
2023-08-28,1
2023-09-04,1
2023-09-11,5
2023-09-18,5
2023-09-25,3
2023-10-02,3
2023-10-09,6
2023-10-16,3
2023-10-23,3
2023-10-30,6
2023-11-06,0
2023-11-13,24
2023-11-20,5
2023-11-27,4
2023-12-04,5
2023-12-11,6
2023-12-18,4
2023-12-25,8
2024-01-01,9
2024-01-08,8
2024-01-15,2
2024-01-22,8
2024-01-29,3
2024-02-05,2
2024-02-12,3
2024-02-19,3
2024-02-26,2
2024-03-04,6
2024-03-11,0
