Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,19
2020-03-16,39
2020-03-23,49
2020-03-30,74
2020-04-06,89
2020-04-13,89
2020-04-20,117
2020-04-27,192
2020-05-04,130
2020-05-11,220
2020-05-18,120
2020-05-25,93
2020-06-01,90
2020-06-08,104
2020-06-15,93
2020-06-22,141
2020-06-29,183
2020-07-06,271
2020-07-13,248
2020-07-20,189
2020-07-27,213
2020-08-03,203
2020-08-10,193
2020-08-17,246
2020-08-24,260
2020-08-31,200
2020-09-07,197
2020-09-14,221
2020-09-21,191
2020-09-28,147
2020-10-05,199
2020-10-12,294
2020-10-19,343
2020-10-26,520
2020-11-02,896
2020-11-09,946
2020-11-16,835
2020-11-23,833
2020-11-30,726
2020-12-07,519
2020-12-14,356
2020-12-21,302
2020-12-28,383
2021-01-04,392
2021-01-11,336
2021-01-18,308
2021-01-25,237
2021-02-01,220
2021-02-08,298
2021-02-15,180
2021-02-22,150
2021-03-01,249
2021-03-08,292
2021-03-15,404
2021-03-22,617
2021-03-29,478
2021-04-05,437
2021-04-12,425
2021-04-19,401
2021-04-26,408
2021-05-03,220
2021-05-10,225
2021-05-17,203
2021-05-24,156
2021-05-31,119
2021-06-07,92
2021-06-14,85
2021-06-21,92
2021-06-28,95
2021-07-05,85
2021-07-12,93
2021-07-19,140
2021-07-26,164
2021-08-02,233
2021-08-09,309
2021-08-16,357
2021-08-23,347
2021-08-30,326
2021-09-06,307
2021-09-13,296
2021-09-20,324
2021-09-27,293
2021-10-04,335
2021-10-11,317
2021-10-18,353
2021-10-25,361
2021-11-01,372
2021-11-08,473
2021-11-15,579
2021-11-22,547
2021-11-29,775
2021-12-06,712
2021-12-13,696
2021-12-20,667
2021-12-27,1209
2022-01-03,1664
2022-01-10,1593
2022-01-17,1123
2022-01-24,735
2022-01-31,396
2022-02-07,227
2022-02-14,121
2022-02-21,73
2022-02-28,83
2022-03-07,62
2022-03-14,69
2022-03-21,63
2022-03-28,93
2022-04-04,84
2022-04-11,104
2022-04-18,141
2022-04-25,171
2022-05-02,185
2022-05-09,230
2022-05-16,167
2022-05-23,186
2022-05-30,174
2022-06-06,175
2022-06-13,154
2022-06-20,169
2022-06-27,165
2022-07-04,193
2022-07-11,222
2022-07-18,251
2022-07-25,228
2022-08-01,193
2022-08-08,208
2022-08-15,177
2022-08-22,177
2022-08-29,130
2022-09-05,145
2022-09-12,141
2022-09-19,112
2022-09-26,109
2022-10-03,105
2022-10-10,87
2022-10-17,99
2022-10-24,95
2022-10-31,92
2022-11-07,102
2022-11-14,95
2022-11-21,120
2022-11-28,188
2022-12-05,186
2022-12-12,172
2022-12-19,159
2022-12-26,126
2023-01-02,103
2023-01-09,64
2023-01-16,56
2023-01-23,68
2023-01-30,53
2023-02-06,68
2023-02-13,57
2023-02-20,49
2023-02-27,54
2023-03-06,59
2023-03-13,59
2023-03-20,50
2023-03-27,40
2023-04-03,54
2023-04-10,53
2023-04-17,45
2023-04-24,37
2023-05-01,29
2023-05-08,22
2023-05-15,12
2023-05-22,13
2023-05-29,9
2023-06-05,6
2023-06-12,13
2023-06-19,8
2023-06-26,9
2023-07-03,6
2023-07-10,15
2023-07-17,19
2023-07-24,14
2023-07-31,14
2023-08-07,19
2023-08-14,18
2023-08-21,27
2023-08-28,32
2023-09-04,42
2023-09-11,36
2023-09-18,45
2023-09-25,43
2023-10-02,18
2023-10-09,22
2023-10-16,23
2023-10-23,22
2023-10-30,29
2023-11-06,47
2023-11-13,62
2023-11-20,85
2023-11-27,105
2023-12-04,103
2023-12-11,87
2023-12-18,109
2023-12-25,121
2024-01-01,84
2024-01-08,80
2024-01-15,27
2024-01-22,41
2024-01-29,46
2024-02-05,51
2024-02-12,44
2024-02-19,48
2024-02-26,50
2024-03-04,25
2024-03-11,0
