Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,6
2020-03-30,19
2020-04-06,11
2020-04-13,18
2020-04-20,18
2020-04-27,21
2020-05-04,25
2020-05-11,30
2020-05-18,29
2020-05-25,32
2020-06-01,34
2020-06-08,103
2020-06-15,25
2020-06-22,96
2020-06-29,50
2020-07-06,31
2020-07-13,26
2020-07-20,35
2020-07-27,60
2020-08-03,59
2020-08-10,133
2020-08-17,43
2020-08-24,87
2020-08-31,52
2020-09-07,70
2020-09-14,56
2020-09-21,58
2020-09-28,45
2020-10-05,59
2020-10-12,72
2020-10-19,92
2020-10-26,170
2020-11-02,257
2020-11-09,329
2020-11-16,268
2020-11-23,210
2020-11-30,215
2020-12-07,163
2020-12-14,120
2020-12-21,119
2020-12-28,158
2021-01-04,135
2021-01-11,104
2021-01-18,99
2021-01-25,65
2021-02-01,46
2021-02-08,96
2021-02-15,26
2021-02-22,30
2021-03-01,31
2021-03-08,56
2021-03-15,104
2021-03-22,135
2021-03-29,125
2021-04-05,136
2021-04-12,183
2021-04-19,139
2021-04-26,141
2021-05-03,84
2021-05-10,90
2021-05-17,75
2021-05-24,60
2021-05-31,62
2021-06-07,69
2021-06-14,41
2021-06-21,53
2021-06-28,27
2021-07-05,30
2021-07-12,58
2021-07-19,119
2021-07-26,114
2021-08-02,120
2021-08-09,141
2021-08-16,136
2021-08-23,121
2021-08-30,116
2021-09-06,139
2021-09-13,90
2021-09-20,92
2021-09-27,91
2021-10-04,105
2021-10-11,120
2021-10-18,142
2021-10-25,174
2021-11-01,206
2021-11-08,207
2021-11-15,292
2021-11-22,200
2021-11-29,270
2021-12-06,200
2021-12-13,147
2021-12-20,110
2021-12-27,198
2022-01-03,342
2022-01-10,475
2022-01-17,512
2022-01-24,392
2022-01-31,190
2022-02-07,87
2022-02-14,54
2022-02-21,38
2022-02-28,35
2022-03-07,29
2022-03-14,35
2022-03-21,24
2022-03-28,25
2022-04-04,16
2022-04-11,10
2022-04-18,20
2022-04-25,29
2022-05-02,37
2022-05-09,47
2022-05-16,37
2022-05-23,32
2022-05-30,52
2022-06-06,41
2022-06-13,21
2022-06-20,41
2022-06-27,44
2022-07-04,69
2022-07-11,86
2022-07-18,111
2022-07-25,84
2022-08-01,106
2022-08-08,84
2022-08-15,74
2022-08-22,62
2022-08-29,57
2022-09-05,41
2022-09-12,48
2022-09-19,31
2022-09-26,30
2022-10-03,29
2022-10-10,23
2022-10-17,33
2022-10-24,35
2022-10-31,29
2022-11-07,21
2022-11-14,28
2022-11-21,32
2022-11-28,53
2022-12-05,39
2022-12-12,37
2022-12-19,37
2022-12-26,28
2023-01-02,31
2023-01-09,28
2023-01-16,23
2023-01-23,22
2023-01-30,27
2023-02-06,34
2023-02-13,47
2023-02-20,21
2023-02-27,26
2023-03-06,17
2023-03-13,18
2023-03-20,11
2023-03-27,21
2023-04-03,10
2023-04-10,18
2023-04-17,11
2023-04-24,8
2023-05-01,7
2023-05-08,5
2023-05-15,3
2023-05-22,2
2023-05-29,4
2023-06-05,2
2023-06-12,0
2023-06-19,1
2023-06-26,3
2023-07-03,2
2023-07-10,2
2023-07-17,7
2023-07-24,5
2023-07-31,6
2023-08-07,5
2023-08-14,7
2023-08-21,12
2023-08-28,36
2023-09-04,26
2023-09-11,20
2023-09-18,14
2023-09-25,19
2023-10-02,8
2023-10-09,16
2023-10-16,10
2023-10-23,8
2023-10-30,8
2023-11-06,13
2023-11-13,19
2023-11-20,18
2023-11-27,29
2023-12-04,44
2023-12-11,44
2023-12-18,46
2023-12-25,43
2024-01-01,21
2024-01-08,24
2024-01-15,14
2024-01-22,14
2024-01-29,16
2024-02-05,12
2024-02-12,19
2024-02-19,21
2024-02-26,19
2024-03-04,15
2024-03-11,2
