Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,4
2020-03-16,14
2020-03-23,33
2020-03-30,47
2020-04-06,67
2020-04-13,84
2020-04-20,63
2020-04-27,87
2020-05-04,61
2020-05-11,124
2020-05-18,96
2020-05-25,107
2020-06-01,129
2020-06-08,99
2020-06-15,108
2020-06-22,133
2020-06-29,146
2020-07-06,189
2020-07-13,219
2020-07-20,160
2020-07-27,152
2020-08-03,189
2020-08-10,233
2020-08-17,212
2020-08-24,268
2020-08-31,238
2020-09-07,208
2020-09-14,257
2020-09-21,377
2020-09-28,246
2020-10-05,319
2020-10-12,420
2020-10-19,583
2020-10-26,586
2020-11-02,649
2020-11-09,658
2020-11-16,512
2020-11-23,457
2020-11-30,568
2020-12-07,394
2020-12-14,267
2020-12-21,221
2020-12-28,238
2021-01-04,293
2021-01-11,278
2021-01-18,222
2021-01-25,205
2021-02-01,227
2021-02-08,358
2021-02-15,277
2021-02-22,191
2021-03-01,250
2021-03-08,348
2021-03-15,421
2021-03-22,649
2021-03-29,563
2021-04-05,540
2021-04-12,497
2021-04-19,478
2021-04-26,451
2021-05-03,301
2021-05-10,283
2021-05-17,305
2021-05-24,189
2021-05-31,141
2021-06-07,129
2021-06-14,113
2021-06-21,98
2021-06-28,111
2021-07-05,126
2021-07-12,174
2021-07-19,164
2021-07-26,200
2021-08-02,259
2021-08-09,244
2021-08-16,260
2021-08-23,365
2021-08-30,278
2021-09-06,319
2021-09-13,305
2021-09-20,362
2021-09-27,410
2021-10-04,409
2021-10-11,430
2021-10-18,372
2021-10-25,365
2021-11-01,426
2021-11-08,522
2021-11-15,703
2021-11-22,591
2021-11-29,765
2021-12-06,578
2021-12-13,379
2021-12-20,402
2021-12-27,693
2022-01-03,1389
2022-01-10,1611
2022-01-17,1435
2022-01-24,988
2022-01-31,526
2022-02-07,324
2022-02-14,214
2022-02-21,128
2022-02-28,102
2022-03-07,117
2022-03-14,129
2022-03-21,106
2022-03-28,106
2022-04-04,124
2022-04-11,128
2022-04-18,170
2022-04-25,235
2022-05-02,274
2022-05-09,236
2022-05-16,238
2022-05-23,225
2022-05-30,187
2022-06-06,154
2022-06-13,140
2022-06-20,167
2022-06-27,145
2022-07-04,174
2022-07-11,222
2022-07-18,256
2022-07-25,268
2022-08-01,248
2022-08-08,239
2022-08-15,236
2022-08-22,295
2022-08-29,271
2022-09-05,234
2022-09-12,203
2022-09-19,163
2022-09-26,131
2022-10-03,152
2022-10-10,125
2022-10-17,144
2022-10-24,141
2022-10-31,128
2022-11-07,120
2022-11-14,135
2022-11-21,130
2022-11-28,149
2022-12-05,151
2022-12-12,142
2022-12-19,84
2022-12-26,70
2023-01-02,75
2023-01-09,81
2023-01-16,52
2023-01-23,64
2023-01-30,53
2023-02-06,56
2023-02-13,71
2023-02-20,78
2023-02-27,86
2023-03-06,66
2023-03-13,48
2023-03-20,61
2023-03-27,54
2023-04-03,52
2023-04-10,48
2023-04-17,28
2023-04-24,28
2023-05-01,31
2023-05-08,20
2023-05-15,26
2023-05-22,17
2023-05-29,13
2023-06-05,11
2023-06-12,8
2023-06-19,11
2023-06-26,8
2023-07-03,6
2023-07-10,46
2023-07-17,10
2023-07-24,13
2023-07-31,28
2023-08-07,30
2023-08-14,48
2023-08-21,43
2023-08-28,66
2023-09-04,63
2023-09-11,82
2023-09-18,80
2023-09-25,60
2023-10-02,33
2023-10-09,44
2023-10-16,38
2023-10-23,35
2023-10-30,39
2023-11-06,28
2023-11-13,69
2023-11-20,52
2023-11-27,103
2023-12-04,137
2023-12-11,141
2023-12-18,170
2023-12-25,160
2024-01-01,123
2024-01-08,69
2024-01-15,54
2024-01-22,40
2024-01-29,43
2024-02-05,40
2024-02-12,67
2024-02-19,86
2024-02-26,52
2024-03-04,24
2024-03-11,6
