Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,5
2020-03-23,8
2020-03-30,9
2020-04-06,9
2020-04-13,9
2020-04-20,12
2020-04-27,17
2020-05-04,20
2020-05-11,35
2020-05-18,18
2020-05-25,26
2020-06-01,51
2020-06-08,46
2020-06-15,61
2020-06-22,63
2020-06-29,58
2020-07-06,71
2020-07-13,95
2020-07-20,82
2020-07-27,73
2020-08-03,91
2020-08-10,83
2020-08-17,51
2020-08-24,55
2020-08-31,86
2020-09-07,81
2020-09-14,100
2020-09-21,110
2020-09-28,54
2020-10-05,101
2020-10-12,153
2020-10-19,116
2020-10-26,171
2020-11-02,229
2020-11-09,258
2020-11-16,261
2020-11-23,201
2020-11-30,236
2020-12-07,195
2020-12-14,129
2020-12-21,98
2020-12-28,165
2021-01-04,164
2021-01-11,110
2021-01-18,96
2021-01-25,83
2021-02-01,71
2021-02-08,94
2021-02-15,66
2021-02-22,88
2021-03-01,87
2021-03-08,116
2021-03-15,148
2021-03-22,191
2021-03-29,188
2021-04-05,145
2021-04-12,156
2021-04-19,103
2021-04-26,112
2021-05-03,67
2021-05-10,71
2021-05-17,44
2021-05-24,40
2021-05-31,33
2021-06-07,43
2021-06-14,18
2021-06-21,27
2021-06-28,25
2021-07-05,16
2021-07-12,22
2021-07-19,56
2021-07-26,55
2021-08-02,74
2021-08-09,81
2021-08-16,96
2021-08-23,84
2021-08-30,116
2021-09-06,124
2021-09-13,162
2021-09-20,167
2021-09-27,147
2021-10-04,133
2021-10-11,123
2021-10-18,154
2021-10-25,118
2021-11-01,152
2021-11-08,141
2021-11-15,199
2021-11-22,163
2021-11-29,244
2021-12-06,209
2021-12-13,174
2021-12-20,169
2021-12-27,191
2022-01-03,348
2022-01-10,372
2022-01-17,303
2022-01-24,199
2022-01-31,107
2022-02-07,61
2022-02-14,47
2022-02-21,17
2022-02-28,14
2022-03-07,18
2022-03-14,11
2022-03-21,9
2022-03-28,11
2022-04-04,11
2022-04-11,19
2022-04-18,20
2022-04-25,29
2022-05-02,43
2022-05-09,49
2022-05-16,50
2022-05-23,49
2022-05-30,50
2022-06-06,57
2022-06-13,53
2022-06-20,59
2022-06-27,63
2022-07-04,42
2022-07-11,58
2022-07-18,58
2022-07-25,61
2022-08-01,69
2022-08-08,79
2022-08-15,76
2022-08-22,85
2022-08-29,52
2022-09-05,53
2022-09-12,70
2022-09-19,58
2022-09-26,62
2022-10-03,34
2022-10-10,36
2022-10-17,32
2022-10-24,40
2022-10-31,22
2022-11-07,30
2022-11-14,29
2022-11-21,26
2022-11-28,47
2022-12-05,59
2022-12-12,59
2022-12-19,38
2022-12-26,40
2023-01-02,27
2023-01-09,24
2023-01-16,18
2023-01-23,20
2023-01-30,17
2023-02-06,21
2023-02-13,29
2023-02-20,26
2023-02-27,13
2023-03-06,8
2023-03-13,18
2023-03-20,20
2023-03-27,15
2023-04-03,15
2023-04-10,21
2023-04-17,8
2023-04-24,10
2023-05-01,8
2023-05-08,5
2023-05-15,3
2023-05-22,2
2023-05-29,7
2023-06-05,7
2023-06-12,4
2023-06-19,2
2023-06-26,2
2023-07-03,1
2023-07-10,4
2023-07-17,5
2023-07-24,10
2023-07-31,3
2023-08-07,8
2023-08-14,12
2023-08-21,12
2023-08-28,6
2023-09-04,15
2023-09-11,15
2023-09-18,16
2023-09-25,4
2023-10-02,12
2023-10-09,9
2023-10-16,5
2023-10-23,8
2023-10-30,16
2023-11-06,23
2023-11-13,30
2023-11-20,24
2023-11-27,26
2023-12-04,30
2023-12-11,47
2023-12-18,41
2023-12-25,33
2024-01-01,33
2024-01-08,51
2024-01-15,43
2024-01-22,27
2024-01-29,11
2024-02-05,18
2024-02-12,22
2024-02-19,24
2024-02-26,9
2024-03-04,6
2024-03-11,0
