Week,Cases
2020-02-24,0
2020-03-02,2
2020-03-09,2
2020-03-16,2
2020-03-23,2
2020-03-30,3
2020-04-06,3
2020-04-13,2
2020-04-20,2
2020-04-27,5
2020-05-04,2
2020-05-11,7
2020-05-18,5
2020-05-25,8
2020-06-01,10
2020-06-08,7
2020-06-15,13
2020-06-22,11
2020-06-29,22
2020-07-06,16
2020-07-13,14
2020-07-20,13
2020-07-27,21
2020-08-03,21
2020-08-10,18
2020-08-17,19
2020-08-24,17
2020-08-31,25
2020-09-07,15
2020-09-14,22
2020-09-21,20
2020-09-28,6
2020-10-05,14
2020-10-12,17
2020-10-19,63
2020-10-26,58
2020-11-02,71
2020-11-09,87
2020-11-16,112
2020-11-23,84
2020-11-30,98
2020-12-07,40
2020-12-14,23
2020-12-21,22
2020-12-28,33
2021-01-04,38
2021-01-11,28
2021-01-18,22
2021-01-25,32
2021-02-01,21
2021-02-08,46
2021-02-15,19
2021-02-22,14
2021-03-01,24
2021-03-08,33
2021-03-15,38
2021-03-22,66
2021-03-29,92
2021-04-05,119
2021-04-12,91
2021-04-19,48
2021-04-26,37
2021-05-03,27
2021-05-10,31
2021-05-17,54
2021-05-24,21
2021-05-31,10
2021-06-07,19
2021-06-14,11
2021-06-21,9
2021-06-28,13
2021-07-05,10
2021-07-12,9
2021-07-19,34
2021-07-26,48
2021-08-02,59
2021-08-09,63
2021-08-16,60
2021-08-23,50
2021-08-30,32
2021-09-06,47
2021-09-13,44
2021-09-20,64
2021-09-27,113
2021-10-04,85
2021-10-11,112
2021-10-18,126
2021-10-25,67
2021-11-01,70
2021-11-08,87
2021-11-15,132
2021-11-22,85
2021-11-29,109
2021-12-06,95
2021-12-13,69
2021-12-20,72
2021-12-27,165
2022-01-03,310
2022-01-10,280
2022-01-17,187
2022-01-24,158
2022-01-31,89
2022-02-07,49
2022-02-14,22
2022-02-21,16
2022-02-28,13
2022-03-07,13
2022-03-14,20
2022-03-21,6
2022-03-28,16
2022-04-04,11
2022-04-11,14
2022-04-18,11
2022-04-25,24
2022-05-02,34
2022-05-09,44
2022-05-16,25
2022-05-23,41
2022-05-30,27
2022-06-06,24
2022-06-13,35
2022-06-20,20
2022-06-27,19
2022-07-04,15
2022-07-11,23
2022-07-18,21
2022-07-25,24
2022-08-01,27
2022-08-08,23
2022-08-15,18
2022-08-22,17
2022-08-29,17
2022-09-05,19
2022-09-12,20
2022-09-19,16
2022-09-26,21
2022-10-03,18
2022-10-10,21
2022-10-17,28
2022-10-24,24
2022-10-31,9
2022-11-07,6
2022-11-14,14
2022-11-21,9
2022-11-28,18
2022-12-05,11
2022-12-12,11
2022-12-19,16
2022-12-26,14
2023-01-02,9
2023-01-09,9
2023-01-16,4
2023-01-23,11
2023-01-30,5
2023-02-06,3
2023-02-13,8
2023-02-20,7
2023-02-27,5
2023-03-06,3
2023-03-13,5
2023-03-20,2
2023-03-27,10
2023-04-03,9
2023-04-10,9
2023-04-17,5
2023-04-24,5
2023-05-01,4
2023-05-08,3
2023-05-15,2
2023-05-22,3
2023-05-29,1
2023-06-05,0
2023-06-12,4
2023-06-19,2
2023-06-26,3
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,1
2023-07-31,1
2023-08-07,4
2023-08-14,7
2023-08-21,6
2023-08-28,16
2023-09-04,12
2023-09-11,8
2023-09-18,11
2023-09-25,4
2023-10-02,3
2023-10-09,4
2023-10-16,10
2023-10-23,4
2023-10-30,9
2023-11-06,2
2023-11-13,9
2023-11-20,16
2023-11-27,11
2023-12-04,4
2023-12-11,8
2023-12-18,9
2023-12-25,10
2024-01-01,14
2024-01-08,9
2024-01-15,7
2024-01-22,4
2024-01-29,6
2024-02-05,5
2024-02-12,13
2024-02-19,9
2024-02-26,0
2024-03-04,2
2024-03-11,0
