Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,3
2020-04-13,1
2020-04-20,2
2020-04-27,0
2020-05-04,3
2020-05-11,3
2020-05-18,6
2020-05-25,16
2020-06-01,1
2020-06-08,2
2020-06-15,9
2020-06-22,22
2020-06-29,26
2020-07-06,28
2020-07-13,34
2020-07-20,39
2020-07-27,48
2020-08-03,68
2020-08-10,35
2020-08-17,45
2020-08-24,50
2020-08-31,46
2020-09-07,62
2020-09-14,43
2020-09-21,145
2020-09-28,4
2020-10-05,11
2020-10-12,19
2020-10-19,33
2020-10-26,57
2020-11-02,130
2020-11-09,176
2020-11-16,173
2020-11-23,128
2020-11-30,113
2020-12-07,137
2020-12-14,97
2020-12-21,117
2020-12-28,139
2021-01-04,75
2021-01-11,43
2021-01-18,33
2021-01-25,19
2021-02-01,21
2021-02-08,100
2021-02-15,62
2021-02-22,20
2021-03-01,11
2021-03-08,27
2021-03-15,84
2021-03-22,188
2021-03-29,130
2021-04-05,92
2021-04-12,74
2021-04-19,61
2021-04-26,76
2021-05-03,29
2021-05-10,31
2021-05-17,49
2021-05-24,28
2021-05-31,32
2021-06-07,28
2021-06-14,23
2021-06-21,21
2021-06-28,28
2021-07-05,43
2021-07-12,27
2021-07-19,48
2021-07-26,40
2021-08-02,44
2021-08-09,52
2021-08-16,77
2021-08-23,81
2021-08-30,77
2021-09-06,50
2021-09-13,131
2021-09-20,121
2021-09-27,172
2021-10-04,140
2021-10-11,135
2021-10-18,127
2021-10-25,85
2021-11-01,127
2021-11-08,131
2021-11-15,132
2021-11-22,119
2021-11-29,149
2021-12-06,129
2021-12-13,92
2021-12-20,109
2021-12-27,197
2022-01-03,361
2022-01-10,530
2022-01-17,548
2022-01-24,309
2022-01-31,213
2022-02-07,135
2022-02-14,83
2022-02-21,79
2022-02-28,57
2022-03-07,33
2022-03-14,38
2022-03-21,30
2022-03-28,33
2022-04-04,32
2022-04-11,36
2022-04-18,38
2022-04-25,58
2022-05-02,91
2022-05-09,137
2022-05-16,69
2022-05-23,45
2022-05-30,49
2022-06-06,39
2022-06-13,39
2022-06-20,37
2022-06-27,26
2022-07-04,44
2022-07-11,41
2022-07-18,40
2022-07-25,55
2022-08-01,57
2022-08-08,45
2022-08-15,66
2022-08-22,33
2022-08-29,46
2022-09-05,56
2022-09-12,47
2022-09-19,38
2022-09-26,49
2022-10-03,46
2022-10-10,49
2022-10-17,22
2022-10-24,27
2022-10-31,28
2022-11-07,15
2022-11-14,16
2022-11-21,15
2022-11-28,20
2022-12-05,25
2022-12-12,18
2022-12-19,16
2022-12-26,5
2023-01-02,17
2023-01-09,8
2023-01-16,45
2023-01-23,9
2023-01-30,18
2023-02-06,34
2023-02-13,25
2023-02-20,19
2023-02-27,18
2023-03-06,12
2023-03-13,18
2023-03-20,14
2023-03-27,2
2023-04-03,8
2023-04-10,12
2023-04-17,8
2023-04-24,7
2023-05-01,5
2023-05-08,11
2023-05-15,5
2023-05-22,2
2023-05-29,6
2023-06-05,5
2023-06-12,6
2023-06-19,4
2023-06-26,3
2023-07-03,2
2023-07-10,1
2023-07-17,3
2023-07-24,7
2023-07-31,5
2023-08-07,7
2023-08-14,9
2023-08-21,13
2023-08-28,7
2023-09-04,5
2023-09-11,19
2023-09-18,10
2023-09-25,8
2023-10-02,14
2023-10-09,15
2023-10-16,30
2023-10-23,19
2023-10-30,13
2023-11-06,8
2023-11-13,35
2023-11-20,21
2023-11-27,24
2023-12-04,15
2023-12-11,16
2023-12-18,16
2023-12-25,20
2024-01-01,24
2024-01-08,13
2024-01-15,17
2024-01-22,13
2024-01-29,15
2024-02-05,14
2024-02-12,6
2024-02-19,12
2024-02-26,11
2024-03-04,8
2024-03-11,2
