Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,0
2020-03-23,2
2020-03-30,1
2020-04-06,4
2020-04-13,2
2020-04-20,1
2020-04-27,35
2020-05-04,4
2020-05-11,11
2020-05-18,15
2020-05-25,7
2020-06-01,8
2020-06-08,9
2020-06-15,15
2020-06-22,27
2020-06-29,15
2020-07-06,17
2020-07-13,20
2020-07-20,31
2020-07-27,17
2020-08-03,22
2020-08-10,47
2020-08-17,21
2020-08-24,12
2020-08-31,8
2020-09-07,18
2020-09-14,17
2020-09-21,14
2020-09-28,20
2020-10-05,44
2020-10-12,41
2020-10-19,54
2020-10-26,82
2020-11-02,79
2020-11-09,128
2020-11-16,98
2020-11-23,107
2020-11-30,107
2020-12-07,107
2020-12-14,83
2020-12-21,64
2020-12-28,57
2021-01-04,81
2021-01-11,66
2021-01-18,58
2021-01-25,62
2021-02-01,40
2021-02-08,59
2021-02-15,34
2021-02-22,18
2021-03-01,19
2021-03-08,23
2021-03-15,41
2021-03-22,117
2021-03-29,104
2021-04-05,158
2021-04-12,132
2021-04-19,100
2021-04-26,95
2021-05-03,82
2021-05-10,40
2021-05-17,60
2021-05-24,33
2021-05-31,28
2021-06-07,24
2021-06-14,27
2021-06-21,31
2021-06-28,18
2021-07-05,13
2021-07-12,20
2021-07-19,18
2021-07-26,37
2021-08-02,37
2021-08-09,66
2021-08-16,71
2021-08-23,82
2021-08-30,76
2021-09-06,81
2021-09-13,107
2021-09-20,127
2021-09-27,156
2021-10-04,187
2021-10-11,207
2021-10-18,179
2021-10-25,124
2021-11-01,148
2021-11-08,142
2021-11-15,170
2021-11-22,120
2021-11-29,156
2021-12-06,124
2021-12-13,97
2021-12-20,59
2021-12-27,118
2022-01-03,176
2022-01-10,220
2022-01-17,282
2022-01-24,212
2022-01-31,146
2022-02-07,87
2022-02-14,52
2022-02-21,28
2022-02-28,22
2022-03-07,13
2022-03-14,10
2022-03-21,18
2022-03-28,6
2022-04-04,10
2022-04-11,10
2022-04-18,17
2022-04-25,22
2022-05-02,29
2022-05-09,44
2022-05-16,47
2022-05-23,44
2022-05-30,41
2022-06-06,39
2022-06-13,27
2022-06-20,23
2022-06-27,27
2022-07-04,23
2022-07-11,30
2022-07-18,46
2022-07-25,36
2022-08-01,37
2022-08-08,61
2022-08-15,40
2022-08-22,33
2022-08-29,48
2022-09-05,50
2022-09-12,48
2022-09-19,34
2022-09-26,20
2022-10-03,23
2022-10-10,18
2022-10-17,15
2022-10-24,7
2022-10-31,26
2022-11-07,17
2022-11-14,14
2022-11-21,17
2022-11-28,23
2022-12-05,18
2022-12-12,19
2022-12-19,12
2022-12-26,12
2023-01-02,9
2023-01-09,15
2023-01-16,12
2023-01-23,17
2023-01-30,13
2023-02-06,16
2023-02-13,27
2023-02-20,27
2023-02-27,15
2023-03-06,20
2023-03-13,20
2023-03-20,16
2023-03-27,23
2023-04-03,12
2023-04-10,21
2023-04-17,26
2023-04-24,23
2023-05-01,19
2023-05-08,9
2023-05-15,3
2023-05-22,4
2023-05-29,0
2023-06-05,1
2023-06-12,4
2023-06-19,1
2023-06-26,0
2023-07-03,1
2023-07-10,3
2023-07-17,1
2023-07-24,1
2023-07-31,7
2023-08-07,5
2023-08-14,7
2023-08-21,12
2023-08-28,12
2023-09-04,13
2023-09-11,23
2023-09-18,16
2023-09-25,12
2023-10-02,18
2023-10-09,8
2023-10-16,18
2023-10-23,21
2023-10-30,10
2023-11-06,22
2023-11-13,13
2023-11-20,16
2023-11-27,25
2023-12-04,39
2023-12-11,65
2023-12-18,48
2023-12-25,57
2024-01-01,24
2024-01-08,18
2024-01-15,16
2024-01-22,11
2024-01-29,21
2024-02-05,16
2024-02-12,34
2024-02-19,43
2024-02-26,21
2024-03-04,5
2024-03-11,3
