Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,11
2020-03-16,32
2020-03-23,28
2020-03-30,28
2020-04-06,33
2020-04-13,15
2020-04-20,21
2020-04-27,35
2020-05-04,36
2020-05-11,55
2020-05-18,48
2020-05-25,62
2020-06-01,50
2020-06-08,49
2020-06-15,72
2020-06-22,122
2020-06-29,167
2020-07-06,120
2020-07-13,134
2020-07-20,127
2020-07-27,156
2020-08-03,112
2020-08-10,112
2020-08-17,135
2020-08-24,152
2020-08-31,167
2020-09-07,128
2020-09-14,153
2020-09-21,128
2020-09-28,68
2020-10-05,89
2020-10-12,125
2020-10-19,213
2020-10-26,272
2020-11-02,368
2020-11-09,381
2020-11-16,255
2020-11-23,240
2020-11-30,270
2020-12-07,227
2020-12-14,202
2020-12-21,188
2020-12-28,186
2021-01-04,173
2021-01-11,128
2021-01-18,107
2021-01-25,104
2021-02-01,107
2021-02-08,171
2021-02-15,109
2021-02-22,43
2021-03-01,101
2021-03-08,196
2021-03-15,262
2021-03-22,424
2021-03-29,387
2021-04-05,317
2021-04-12,276
2021-04-19,220
2021-04-26,167
2021-05-03,80
2021-05-10,86
2021-05-17,143
2021-05-24,96
2021-05-31,78
2021-06-07,78
2021-06-14,66
2021-06-21,48
2021-06-28,47
2021-07-05,50
2021-07-12,61
2021-07-19,82
2021-07-26,80
2021-08-02,125
2021-08-09,123
2021-08-16,181
2021-08-23,173
2021-08-30,166
2021-09-06,129
2021-09-13,188
2021-09-20,159
2021-09-27,300
2021-10-04,313
2021-10-11,244
2021-10-18,331
2021-10-25,351
2021-11-01,400
2021-11-08,413
2021-11-15,484
2021-11-22,362
2021-11-29,456
2021-12-06,353
2021-12-13,253
2021-12-20,397
2021-12-27,641
2022-01-03,1138
2022-01-10,1149
2022-01-17,973
2022-01-24,724
2022-01-31,362
2022-02-07,259
2022-02-14,183
2022-02-21,174
2022-02-28,117
2022-03-07,84
2022-03-14,87
2022-03-21,66
2022-03-28,55
2022-04-04,76
2022-04-11,98
2022-04-18,137
2022-04-25,214
2022-05-02,293
2022-05-09,266
2022-05-16,188
2022-05-23,207
2022-05-30,140
2022-06-06,140
2022-06-13,115
2022-06-20,125
2022-06-27,126
2022-07-04,126
2022-07-11,133
2022-07-18,166
2022-07-25,182
2022-08-01,154
2022-08-08,178
2022-08-15,161
2022-08-22,179
2022-08-29,223
2022-09-05,243
2022-09-12,241
2022-09-19,178
2022-09-26,148
2022-10-03,159
2022-10-10,144
2022-10-17,142
2022-10-24,114
2022-10-31,111
2022-11-07,85
2022-11-14,74
2022-11-21,83
2022-11-28,105
2022-12-05,126
2022-12-12,120
2022-12-19,101
2022-12-26,93
2023-01-02,100
2023-01-09,72
2023-01-16,52
2023-01-23,82
2023-01-30,79
2023-02-06,99
2023-02-13,83
2023-02-20,42
2023-02-27,46
2023-03-06,50
2023-03-13,51
2023-03-20,50
2023-03-27,44
2023-04-03,37
2023-04-10,55
2023-04-17,34
2023-04-24,36
2023-05-01,22
2023-05-08,23
2023-05-15,22
2023-05-22,11
2023-05-29,8
2023-06-05,11
2023-06-12,9
2023-06-19,2
2023-06-26,5
2023-07-03,9
2023-07-10,6
2023-07-17,15
2023-07-24,13
2023-07-31,11
2023-08-07,17
2023-08-14,19
2023-08-21,32
2023-08-28,55
2023-09-04,57
2023-09-11,76
2023-09-18,65
2023-09-25,81
2023-10-02,59
2023-10-09,37
2023-10-16,33
2023-10-23,30
2023-10-30,42
2023-11-06,58
2023-11-13,43
2023-11-20,74
2023-11-27,75
2023-12-04,91
2023-12-11,86
2023-12-18,123
2023-12-25,68
2024-01-01,62
2024-01-08,49
2024-01-15,50
2024-01-22,60
2024-01-29,42
2024-02-05,67
2024-02-12,40
2024-02-19,42
2024-02-26,44
2024-03-04,21
2024-03-11,4
