Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,5
2020-03-30,5
2020-04-06,14
2020-04-13,17
2020-04-20,15
2020-04-27,5
2020-05-04,3
2020-05-11,3
2020-05-18,4
2020-05-25,8
2020-06-01,7
2020-06-08,6
2020-06-15,11
2020-06-22,6
2020-06-29,16
2020-07-06,12
2020-07-13,20
2020-07-20,13
2020-07-27,22
2020-08-03,15
2020-08-10,15
2020-08-17,15
2020-08-24,8
2020-08-31,11
2020-09-07,11
2020-09-14,14
2020-09-21,13
2020-09-28,3
2020-10-05,8
2020-10-12,9
2020-10-19,13
2020-10-26,16
2020-11-02,34
2020-11-09,53
2020-11-16,50
2020-11-23,47
2020-11-30,23
2020-12-07,30
2020-12-14,14
2020-12-21,23
2020-12-28,19
2021-01-04,7
2021-01-11,25
2021-01-18,12
2021-01-25,22
2021-02-01,14
2021-02-08,22
2021-02-15,13
2021-02-22,10
2021-03-01,8
2021-03-08,25
2021-03-15,46
2021-03-22,84
2021-03-29,67
2021-04-05,58
2021-04-12,33
2021-04-19,20
2021-04-26,24
2021-05-03,24
2021-05-10,20
2021-05-17,19
2021-05-24,16
2021-05-31,9
2021-06-07,17
2021-06-14,8
2021-06-21,7
2021-06-28,8
2021-07-05,6
2021-07-12,6
2021-07-19,12
2021-07-26,20
2021-08-02,22
2021-08-09,24
2021-08-16,32
2021-08-23,29
2021-08-30,22
2021-09-06,17
2021-09-13,22
2021-09-20,20
2021-09-27,16
2021-10-04,48
2021-10-11,51
2021-10-18,71
2021-10-25,56
2021-11-01,63
2021-11-08,56
2021-11-15,86
2021-11-22,68
2021-11-29,59
2021-12-06,46
2021-12-13,23
2021-12-20,24
2021-12-27,39
2022-01-03,83
2022-01-10,85
2022-01-17,87
2022-01-24,73
2022-01-31,59
2022-02-07,35
2022-02-14,21
2022-02-21,20
2022-02-28,17
2022-03-07,10
2022-03-14,14
2022-03-21,7
2022-03-28,7
2022-04-04,7
2022-04-11,16
2022-04-18,14
2022-04-25,15
2022-05-02,20
2022-05-09,36
2022-05-16,28
2022-05-23,15
2022-05-30,14
2022-06-06,12
2022-06-13,13
2022-06-20,14
2022-06-27,9
2022-07-04,22
2022-07-11,7
2022-07-18,16
2022-07-25,17
2022-08-01,19
2022-08-08,19
2022-08-15,22
2022-08-22,17
2022-08-29,15
2022-09-05,18
2022-09-12,16
2022-09-19,12
2022-09-26,14
2022-10-03,6
2022-10-10,9
2022-10-17,9
2022-10-24,10
2022-10-31,6
2022-11-07,9
2022-11-14,5
2022-11-21,5
2022-11-28,7
2022-12-05,2
2022-12-12,11
2022-12-19,11
2022-12-26,7
2023-01-02,4
2023-01-09,9
2023-01-16,2
2023-01-23,2
2023-01-30,4
2023-02-06,5
2023-02-13,4
2023-02-20,4
2023-02-27,3
2023-03-06,2
2023-03-13,6
2023-03-20,1
2023-03-27,2
2023-04-03,1
2023-04-10,2
2023-04-17,1
2023-04-24,5
2023-05-01,5
2023-05-08,1
2023-05-15,2
2023-05-22,11
2023-05-29,5
2023-06-05,1
2023-06-12,2
2023-06-19,3
2023-06-26,1
2023-07-03,0
2023-07-10,0
2023-07-17,2
2023-07-24,0
2023-07-31,0
2023-08-07,1
2023-08-14,0
2023-08-21,4
2023-08-28,2
2023-09-04,5
2023-09-11,5
2023-09-18,5
2023-09-25,2
2023-10-02,1
2023-10-09,5
2023-10-16,6
2023-10-23,4
2023-10-30,4
2023-11-06,7
2023-11-13,2
2023-11-20,4
2023-11-27,3
2023-12-04,3
2023-12-11,6
2023-12-18,7
2023-12-25,5
2024-01-01,7
2024-01-08,3
2024-01-15,3
2024-01-22,5
2024-01-29,5
2024-02-05,6
2024-02-12,2
2024-02-19,1
2024-02-26,2
2024-03-04,1
2024-03-11,0
