Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,5
2020-03-23,3
2020-03-30,2
2020-04-06,3
2020-04-13,3
2020-04-20,3
2020-04-27,1
2020-05-04,0
2020-05-11,6
2020-05-18,10
2020-05-25,6
2020-06-01,14
2020-06-08,14
2020-06-15,9
2020-06-22,27
2020-06-29,32
2020-07-06,73
2020-07-13,47
2020-07-20,50
2020-07-27,43
2020-08-03,52
2020-08-10,54
2020-08-17,62
2020-08-24,55
2020-08-31,66
2020-09-07,90
2020-09-14,169
2020-09-21,282
2020-09-28,170
2020-10-05,118
2020-10-12,163
2020-10-19,173
2020-10-26,274
2020-11-02,287
2020-11-09,300
2020-11-16,156
2020-11-23,142
2020-11-30,132
2020-12-07,85
2020-12-14,57
2020-12-21,42
2020-12-28,43
2021-01-04,59
2021-01-11,28
2021-01-18,23
2021-01-25,19
2021-02-01,20
2021-02-08,81
2021-02-15,38
2021-02-22,25
2021-03-01,29
2021-03-08,35
2021-03-15,56
2021-03-22,115
2021-03-29,98
2021-04-05,125
2021-04-12,151
2021-04-19,122
2021-04-26,144
2021-05-03,50
2021-05-10,55
2021-05-17,64
2021-05-24,54
2021-05-31,30
2021-06-07,26
2021-06-14,24
2021-06-21,26
2021-06-28,22
2021-07-05,19
2021-07-12,29
2021-07-19,51
2021-07-26,58
2021-08-02,86
2021-08-09,125
2021-08-16,139
2021-08-23,139
2021-08-30,132
2021-09-06,137
2021-09-13,166
2021-09-20,151
2021-09-27,152
2021-10-04,145
2021-10-11,158
2021-10-18,182
2021-10-25,144
2021-11-01,118
2021-11-08,161
2021-11-15,138
2021-11-22,147
2021-11-29,147
2021-12-06,106
2021-12-13,101
2021-12-20,90
2021-12-27,200
2022-01-03,387
2022-01-10,611
2022-01-17,412
2022-01-24,245
2022-01-31,194
2022-02-07,111
2022-02-14,57
2022-02-21,40
2022-02-28,31
2022-03-07,30
2022-03-14,15
2022-03-21,19
2022-03-28,21
2022-04-04,14
2022-04-11,28
2022-04-18,31
2022-04-25,41
2022-05-02,77
2022-05-09,86
2022-05-16,52
2022-05-23,64
2022-05-30,62
2022-06-06,69
2022-06-13,53
2022-06-20,70
2022-06-27,62
2022-07-04,63
2022-07-11,74
2022-07-18,77
2022-07-25,54
2022-08-01,49
2022-08-08,49
2022-08-15,67
2022-08-22,74
2022-08-29,57
2022-09-05,56
2022-09-12,52
2022-09-19,69
2022-09-26,73
2022-10-03,59
2022-10-10,64
2022-10-17,59
2022-10-24,43
2022-10-31,47
2022-11-07,40
2022-11-14,34
2022-11-21,39
2022-11-28,57
2022-12-05,61
2022-12-12,48
2022-12-19,41
2022-12-26,45
2023-01-02,32
2023-01-09,23
2023-01-16,27
2023-01-23,12
2023-01-30,15
2023-02-06,23
2023-02-13,27
2023-02-20,27
2023-02-27,45
2023-03-06,34
2023-03-13,28
2023-03-20,31
2023-03-27,21
2023-04-03,20
2023-04-10,10
2023-04-17,10
2023-04-24,9
2023-05-01,2
2023-05-08,3
2023-05-15,5
2023-05-22,4
2023-05-29,4
2023-06-05,5
2023-06-12,4
2023-06-19,0
2023-06-26,0
2023-07-03,1
2023-07-10,2
2023-07-17,2
2023-07-24,5
2023-07-31,6
2023-08-07,8
2023-08-14,8
2023-08-21,13
2023-08-28,24
2023-09-04,15
2023-09-11,40
2023-09-18,25
2023-09-25,14
2023-10-02,45
2023-10-09,14
2023-10-16,23
2023-10-23,21
2023-10-30,50
2023-11-06,72
2023-11-13,72
2023-11-20,75
2023-11-27,71
2023-12-04,56
2023-12-11,54
2023-12-18,61
2023-12-25,41
2024-01-01,49
2024-01-08,31
2024-01-15,14
2024-01-22,8
2024-01-29,6
2024-02-05,9
2024-02-12,11
2024-02-19,17
2024-02-26,4
2024-03-04,5
2024-03-11,0
