Week,Cases
2020-02-24,3
2020-03-02,45
2020-03-09,429
2020-03-16,1388
2020-03-23,2176
2020-03-30,2185
2020-04-06,1527
2020-04-13,1157
2020-04-20,1056
2020-04-27,897
2020-05-04,1069
2020-05-11,873
2020-05-18,847
2020-05-25,683
2020-06-01,624
2020-06-08,592
2020-06-15,560
2020-06-22,852
2020-06-29,875
2020-07-06,1034
2020-07-13,1003
2020-07-20,917
2020-07-27,936
2020-08-03,938
2020-08-10,898
2020-08-17,915
2020-08-24,913
2020-08-31,888
2020-09-07,857
2020-09-14,775
2020-09-21,667
2020-09-28,266
2020-10-05,270
2020-10-12,300
2020-10-19,410
2020-10-26,559
2020-11-02,702
2020-11-09,1081
2020-11-16,1224
2020-11-23,1073
2020-11-30,1429
2020-12-07,1070
2020-12-14,896
2020-12-21,636
2020-12-28,671
2021-01-04,779
2021-01-11,836
2021-01-18,633
2021-01-25,494
2021-02-01,731
2021-02-08,1549
2021-02-15,755
2021-02-22,367
2021-03-01,399
2021-03-08,615
2021-03-15,1416
2021-03-22,3099
2021-03-29,2996
2021-04-05,3187
2021-04-12,2865
2021-04-19,2421
2021-04-26,2311
2021-05-03,1106
2021-05-10,1222
2021-05-17,1602
2021-05-24,1167
2021-05-31,804
2021-06-07,854
2021-06-14,750
2021-06-21,671
2021-06-28,546
2021-07-05,567
2021-07-12,662
2021-07-19,774
2021-07-26,931
2021-08-02,1097
2021-08-09,1057
2021-08-16,1359
2021-08-23,1295
2021-08-30,755
2021-09-06,586
2021-09-13,689
2021-09-20,751
2021-09-27,856
2021-10-04,969
2021-10-11,1549
2021-10-18,2455
2021-10-25,980
2021-11-01,1321
2021-11-08,1596
2021-11-15,1772
2021-11-22,1423
2021-11-29,2125
2021-12-06,1953
2021-12-13,3102
2021-12-20,5912
2021-12-27,9343
2022-01-03,7887
2022-01-10,4224
2022-01-17,2198
2022-01-24,1560
2022-01-31,1763
2022-02-07,1784
2022-02-14,710
2022-02-21,474
2022-02-28,561
2022-03-07,535
2022-03-14,570
2022-03-21,605
2022-03-28,542
2022-04-04,654
2022-04-11,723
2022-04-18,969
2022-04-25,1177
2022-05-02,1261
2022-05-09,1539
2022-05-16,1401
2022-05-23,1079
2022-05-30,910
2022-06-06,796
2022-06-13,673
2022-06-20,698
2022-06-27,653
2022-07-04,698
2022-07-11,868
2022-07-18,962
2022-07-25,1055
2022-08-01,1048
2022-08-08,1090
2022-08-15,1066
2022-08-22,934
2022-08-29,780
2022-09-05,832
2022-09-12,888
2022-09-19,876
2022-09-26,813
2022-10-03,677
2022-10-10,714
2022-10-17,674
2022-10-24,628
2022-10-31,602
2022-11-07,512
2022-11-14,486
2022-11-21,480
2022-11-28,657
2022-12-05,741
2022-12-12,680
2022-12-19,603
2022-12-26,527
2023-01-02,519
2023-01-09,367
2023-01-16,353
2023-01-23,400
2023-01-30,423
2023-02-06,424
2023-02-13,525
2023-02-20,442
2023-02-27,413
2023-03-06,406
2023-03-13,343
2023-03-20,355
2023-03-27,323
2023-04-03,258
2023-04-10,234
2023-04-17,157
2023-04-24,176
2023-05-01,176
2023-05-08,146
2023-05-15,116
2023-05-22,108
2023-05-29,62
2023-06-05,46
2023-06-12,58
2023-06-19,67
2023-06-26,46
2023-07-03,49
2023-07-10,58
2023-07-17,61
2023-07-24,65
2023-07-31,119
2023-08-07,124
2023-08-14,155
2023-08-21,188
2023-08-28,197
2023-09-04,284
2023-09-11,323
2023-09-18,322
2023-09-25,265
2023-10-02,183
2023-10-09,165
2023-10-16,180
2023-10-23,206
2023-10-30,197
2023-11-06,248
2023-11-13,323
2023-11-20,316
2023-11-27,404
2023-12-04,404
2023-12-11,451
2023-12-18,514
2023-12-25,588
2024-01-01,610
2024-01-08,460
2024-01-15,306
2024-01-22,299
2024-01-29,302
2024-02-05,357
2024-02-12,366
2024-02-19,397
2024-02-26,263
2024-03-04,216
2024-03-11,32
