Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,1
2020-03-30,0
2020-04-06,1
2020-04-13,1
2020-04-20,0
2020-04-27,2
2020-05-04,1
2020-05-11,12
2020-05-18,2
2020-05-25,7
2020-06-01,9
2020-06-08,8
2020-06-15,7
2020-06-22,16
2020-06-29,67
2020-07-06,23
2020-07-13,23
2020-07-20,18
2020-07-27,20
2020-08-03,35
2020-08-10,17
2020-08-17,16
2020-08-24,15
2020-08-31,23
2020-09-07,36
2020-09-14,97
2020-09-21,96
2020-09-28,117
2020-10-05,152
2020-10-12,213
2020-10-19,195
2020-10-26,234
2020-11-02,281
2020-11-09,235
2020-11-16,155
2020-11-23,163
2020-11-30,101
2020-12-07,90
2020-12-14,71
2020-12-21,53
2020-12-28,40
2021-01-04,34
2021-01-11,33
2021-01-18,28
2021-01-25,14
2021-02-01,17
2021-02-08,58
2021-02-15,32
2021-02-22,6
2021-03-01,8
2021-03-08,23
2021-03-15,46
2021-03-22,67
2021-03-29,65
2021-04-05,81
2021-04-12,50
2021-04-19,36
2021-04-26,53
2021-05-03,19
2021-05-10,23
2021-05-17,35
2021-05-24,44
2021-05-31,25
2021-06-07,27
2021-06-14,25
2021-06-21,19
2021-06-28,13
2021-07-05,12
2021-07-12,31
2021-07-19,33
2021-07-26,31
2021-08-02,35
2021-08-09,70
2021-08-16,59
2021-08-23,79
2021-08-30,100
2021-09-06,119
2021-09-13,119
2021-09-20,124
2021-09-27,127
2021-10-04,94
2021-10-11,129
2021-10-18,144
2021-10-25,67
2021-11-01,85
2021-11-08,106
2021-11-15,111
2021-11-22,96
2021-11-29,104
2021-12-06,81
2021-12-13,79
2021-12-20,71
2021-12-27,155
2022-01-03,313
2022-01-10,444
2022-01-17,359
2022-01-24,267
2022-01-31,167
2022-02-07,84
2022-02-14,68
2022-02-21,36
2022-02-28,29
2022-03-07,17
2022-03-14,26
2022-03-21,23
2022-03-28,13
2022-04-04,22
2022-04-11,23
2022-04-18,48
2022-04-25,46
2022-05-02,43
2022-05-09,47
2022-05-16,46
2022-05-23,34
2022-05-30,62
2022-06-06,30
2022-06-13,31
2022-06-20,33
2022-06-27,34
2022-07-04,46
2022-07-11,66
2022-07-18,64
2022-07-25,66
2022-08-01,75
2022-08-08,58
2022-08-15,64
2022-08-22,65
2022-08-29,54
2022-09-05,78
2022-09-12,58
2022-09-19,33
2022-09-26,22
2022-10-03,16
2022-10-10,22
2022-10-17,25
2022-10-24,26
2022-10-31,53
2022-11-07,84
2022-11-14,56
2022-11-21,46
2022-11-28,30
2022-12-05,44
2022-12-12,29
2022-12-19,20
2022-12-26,33
2023-01-02,21
2023-01-09,10
2023-01-16,8
2023-01-23,14
2023-01-30,9
2023-02-06,12
2023-02-13,13
2023-02-20,19
2023-02-27,23
2023-03-06,24
2023-03-13,26
2023-03-20,25
2023-03-27,16
2023-04-03,29
2023-04-10,11
2023-04-17,3
2023-04-24,3
2023-05-01,4
2023-05-08,4
2023-05-15,5
2023-05-22,1
2023-05-29,3
2023-06-05,2
2023-06-12,8
2023-06-19,2
2023-06-26,2
2023-07-03,0
2023-07-10,2
2023-07-17,3
2023-07-24,9
2023-07-31,4
2023-08-07,6
2023-08-14,6
2023-08-21,4
2023-08-28,7
2023-09-04,12
2023-09-11,13
2023-09-18,17
2023-09-25,10
2023-10-02,14
2023-10-09,6
2023-10-16,18
2023-10-23,36
2023-10-30,28
2023-11-06,38
2023-11-13,30
2023-11-20,21
2023-11-27,24
2023-12-04,26
2023-12-11,13
2023-12-18,15
2023-12-25,31
2024-01-01,14
2024-01-08,16
2024-01-15,9
2024-01-22,8
2024-01-29,3
2024-02-05,3
2024-02-12,5
2024-02-19,6
2024-02-26,1
2024-03-04,2
2024-03-11,1
