Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,7
2020-03-16,25
2020-03-23,40
2020-03-30,32
2020-04-06,22
2020-04-13,33
2020-04-20,38
2020-04-27,57
2020-05-04,42
2020-05-11,67
2020-05-18,53
2020-05-25,84
2020-06-01,83
2020-06-08,71
2020-06-15,78
2020-06-22,171
2020-06-29,123
2020-07-06,150
2020-07-13,167
2020-07-20,167
2020-07-27,157
2020-08-03,120
2020-08-10,127
2020-08-17,133
2020-08-24,151
2020-08-31,156
2020-09-07,179
2020-09-14,173
2020-09-21,203
2020-09-28,81
2020-10-05,108
2020-10-12,179
2020-10-19,208
2020-10-26,292
2020-11-02,369
2020-11-09,479
2020-11-16,382
2020-11-23,430
2020-11-30,436
2020-12-07,283
2020-12-14,236
2020-12-21,261
2020-12-28,309
2021-01-04,252
2021-01-11,234
2021-01-18,205
2021-01-25,129
2021-02-01,121
2021-02-08,281
2021-02-15,208
2021-02-22,120
2021-03-01,119
2021-03-08,213
2021-03-15,365
2021-03-22,698
2021-03-29,685
2021-04-05,515
2021-04-12,355
2021-04-19,294
2021-04-26,257
2021-05-03,132
2021-05-10,135
2021-05-17,170
2021-05-24,121
2021-05-31,112
2021-06-07,98
2021-06-14,71
2021-06-21,78
2021-06-28,63
2021-07-05,71
2021-07-12,86
2021-07-19,115
2021-07-26,128
2021-08-02,202
2021-08-09,255
2021-08-16,258
2021-08-23,294
2021-08-30,224
2021-09-06,195
2021-09-13,219
2021-09-20,220
2021-09-27,292
2021-10-04,310
2021-10-11,295
2021-10-18,336
2021-10-25,339
2021-11-01,464
2021-11-08,567
2021-11-15,589
2021-11-22,401
2021-11-29,499
2021-12-06,408
2021-12-13,324
2021-12-20,379
2021-12-27,858
2022-01-03,1499
2022-01-10,1555
2022-01-17,1207
2022-01-24,832
2022-01-31,442
2022-02-07,265
2022-02-14,164
2022-02-21,137
2022-02-28,130
2022-03-07,112
2022-03-14,105
2022-03-21,74
2022-03-28,68
2022-04-04,94
2022-04-11,122
2022-04-18,144
2022-04-25,187
2022-05-02,259
2022-05-09,299
2022-05-16,302
2022-05-23,234
2022-05-30,223
2022-06-06,158
2022-06-13,156
2022-06-20,122
2022-06-27,154
2022-07-04,148
2022-07-11,150
2022-07-18,226
2022-07-25,209
2022-08-01,231
2022-08-08,236
2022-08-15,214
2022-08-22,230
2022-08-29,229
2022-09-05,253
2022-09-12,220
2022-09-19,201
2022-09-26,184
2022-10-03,193
2022-10-10,159
2022-10-17,134
2022-10-24,110
2022-10-31,116
2022-11-07,96
2022-11-14,99
2022-11-21,116
2022-11-28,139
2022-12-05,140
2022-12-12,162
2022-12-19,137
2022-12-26,95
2023-01-02,97
2023-01-09,66
2023-01-16,88
2023-01-23,66
2023-01-30,65
2023-02-06,86
2023-02-13,78
2023-02-20,74
2023-02-27,57
2023-03-06,70
2023-03-13,76
2023-03-20,79
2023-03-27,81
2023-04-03,57
2023-04-10,54
2023-04-17,37
2023-04-24,29
2023-05-01,31
2023-05-08,33
2023-05-15,30
2023-05-22,21
2023-05-29,16
2023-06-05,12
2023-06-12,13
2023-06-19,6
2023-06-26,6
2023-07-03,3
2023-07-10,6
2023-07-17,11
2023-07-24,23
2023-07-31,20
2023-08-07,21
2023-08-14,38
2023-08-21,44
2023-08-28,81
2023-09-04,91
2023-09-11,95
2023-09-18,98
2023-09-25,36
2023-10-02,41
2023-10-09,45
2023-10-16,48
2023-10-23,41
2023-10-30,45
2023-11-06,58
2023-11-13,79
2023-11-20,91
2023-11-27,116
2023-12-04,120
2023-12-11,136
2023-12-18,148
2023-12-25,120
2024-01-01,126
2024-01-08,91
2024-01-15,49
2024-01-22,58
2024-01-29,62
2024-02-05,55
2024-02-12,79
2024-02-19,52
2024-02-26,38
2024-03-04,23
2024-03-11,0
