Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,6
2020-03-23,11
2020-03-30,6
2020-04-06,7
2020-04-13,4
2020-04-20,4
2020-04-27,14
2020-05-04,8
2020-05-11,12
2020-05-18,16
2020-05-25,7
2020-06-01,4
2020-06-08,8
2020-06-15,23
2020-06-22,39
2020-06-29,20
2020-07-06,23
2020-07-13,32
2020-07-20,27
2020-07-27,19
2020-08-03,28
2020-08-10,67
2020-08-17,44
2020-08-24,36
2020-08-31,16
2020-09-07,33
2020-09-14,27
2020-09-21,27
2020-09-28,8
2020-10-05,9
2020-10-12,30
2020-10-19,75
2020-10-26,135
2020-11-02,174
2020-11-09,124
2020-11-16,93
2020-11-23,93
2020-11-30,89
2020-12-07,46
2020-12-14,30
2020-12-21,23
2020-12-28,45
2021-01-04,38
2021-01-11,38
2021-01-18,38
2021-01-25,32
2021-02-01,50
2021-02-08,67
2021-02-15,49
2021-02-22,36
2021-03-01,12
2021-03-08,32
2021-03-15,55
2021-03-22,102
2021-03-29,127
2021-04-05,151
2021-04-12,102
2021-04-19,92
2021-04-26,73
2021-05-03,41
2021-05-10,42
2021-05-17,28
2021-05-24,23
2021-05-31,17
2021-06-07,21
2021-06-14,15
2021-06-21,21
2021-06-28,19
2021-07-05,18
2021-07-12,28
2021-07-19,20
2021-07-26,38
2021-08-02,53
2021-08-09,66
2021-08-16,57
2021-08-23,71
2021-08-30,49
2021-09-06,58
2021-09-13,98
2021-09-20,90
2021-09-27,97
2021-10-04,132
2021-10-11,123
2021-10-18,90
2021-10-25,88
2021-11-01,92
2021-11-08,93
2021-11-15,115
2021-11-22,113
2021-11-29,182
2021-12-06,112
2021-12-13,114
2021-12-20,101
2021-12-27,161
2022-01-03,361
2022-01-10,340
2022-01-17,235
2022-01-24,167
2022-01-31,101
2022-02-07,61
2022-02-14,35
2022-02-21,22
2022-02-28,36
2022-03-07,14
2022-03-14,22
2022-03-21,13
2022-03-28,19
2022-04-04,14
2022-04-11,23
2022-04-18,41
2022-04-25,39
2022-05-02,82
2022-05-09,64
2022-05-16,47
2022-05-23,47
2022-05-30,29
2022-06-06,28
2022-06-13,22
2022-06-20,25
2022-06-27,31
2022-07-04,24
2022-07-11,25
2022-07-18,16
2022-07-25,33
2022-08-01,27
2022-08-08,23
2022-08-15,33
2022-08-22,20
2022-08-29,23
2022-09-05,23
2022-09-12,26
2022-09-19,22
2022-09-26,18
2022-10-03,26
2022-10-10,22
2022-10-17,25
2022-10-24,19
2022-10-31,11
2022-11-07,10
2022-11-14,14
2022-11-21,14
2022-11-28,19
2022-12-05,17
2022-12-12,24
2022-12-19,14
2022-12-26,19
2023-01-02,22
2023-01-09,11
2023-01-16,14
2023-01-23,12
2023-01-30,6
2023-02-06,7
2023-02-13,10
2023-02-20,11
2023-02-27,11
2023-03-06,9
2023-03-13,9
2023-03-20,5
2023-03-27,8
2023-04-03,10
2023-04-10,5
2023-04-17,3
2023-04-24,4
2023-05-01,6
2023-05-08,6
2023-05-15,13
2023-05-22,5
2023-05-29,2
2023-06-05,1
2023-06-12,2
2023-06-19,2
2023-06-26,1
2023-07-03,0
2023-07-10,1
2023-07-17,2
2023-07-24,1
2023-07-31,4
2023-08-07,1
2023-08-14,2
2023-08-21,4
2023-08-28,7
2023-09-04,5
2023-09-11,3
2023-09-18,9
2023-09-25,2
2023-10-02,6
2023-10-09,2
2023-10-16,0
2023-10-23,3
2023-10-30,2
2023-11-06,7
2023-11-13,10
2023-11-20,22
2023-11-27,11
2023-12-04,14
2023-12-11,14
2023-12-18,9
2023-12-25,12
2024-01-01,14
2024-01-08,7
2024-01-15,10
2024-01-22,12
2024-01-29,21
2024-02-05,14
2024-02-12,6
2024-02-19,17
2024-02-26,6
2024-03-04,5
2024-03-11,0
