Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,7
2020-04-06,29
2020-04-13,22
2020-04-20,25
2020-04-27,18
2020-05-04,16
2020-05-11,4
2020-05-18,18
2020-05-25,9
2020-06-01,9
2020-06-08,10
2020-06-15,17
2020-06-22,1
2020-06-29,6
2020-07-06,1
2020-07-13,2
2020-07-20,2
2020-07-27,1
2020-08-03,1
2020-08-10,1
2020-08-17,1
2020-08-24,0
2020-08-31,1
2020-09-07,1
2020-09-14,1
2020-09-21,0
2020-09-28,0
2020-10-05,0
2020-10-12,2
2020-10-19,1
2020-10-26,0
2020-11-02,0
2020-11-09,1
2020-11-16,2
2020-11-23,1
2020-11-30,36
2020-12-07,7
2020-12-14,46
2020-12-21,2
2020-12-28,4
2021-01-04,2
2021-01-11,0
2021-01-18,0
2021-01-25,9
2021-02-01,2
2021-02-08,0
2021-02-15,0
2021-02-22,0
2021-03-01,0
2021-03-08,0
2021-03-15,1
2021-03-22,0
2021-03-29,1
2021-04-05,0
2021-04-12,1
2021-04-19,0
2021-04-26,0
2021-05-03,0
2021-05-10,0
2021-05-17,0
2021-05-24,0
2021-05-31,0
2021-06-07,0
2021-06-14,0
2021-06-21,0
2021-06-28,0
2021-07-05,0
2021-07-12,0
2021-07-19,0
2021-07-26,0
2021-08-02,0
2021-08-09,0
2021-08-16,0
2021-08-23,0
2021-08-30,0
2021-09-06,0
2021-09-13,0
2021-09-20,0
2021-09-27,1
2021-10-04,0
2021-10-11,0
2021-10-18,0
2021-10-25,0
2021-11-01,0
2021-11-08,0
2021-11-15,0
2021-11-22,0
2021-11-29,0
2021-12-06,0
2021-12-13,0
2021-12-20,0
2021-12-27,1
2022-01-03,1
2022-01-10,2
2022-01-17,0
2022-01-24,1
2022-01-31,0
2022-02-07,0
2022-02-14,0
2022-02-21,0
2022-02-28,0
2022-03-07,0
2022-03-14,0
2022-03-21,0
2022-03-28,0
2022-04-04,1
2022-04-11,0
2022-04-18,0
2022-04-25,0
2022-05-02,1
2022-05-09,0
2022-05-16,0
2022-05-23,0
2022-05-30,0
2022-06-06,0
2022-06-13,0
2022-06-20,0
2022-06-27,0
2022-07-04,0
2022-07-11,0
2022-07-18,0
2022-07-25,0
2022-08-01,0
2022-08-08,0
2022-08-15,0
2022-08-22,0
2022-08-29,0
2022-09-05,0
2022-09-12,0
2022-09-19,0
2022-09-26,0
2022-10-03,0
2022-10-10,0
2022-10-17,0
2022-10-24,0
2022-10-31,0
2022-11-07,0
2022-11-14,0
2022-11-21,0
2022-11-28,0
2022-12-05,0
2022-12-12,0
2022-12-19,0
2022-12-26,0
2023-01-02,0
2023-01-09,0
2023-01-16,0
2023-01-23,0
2023-01-30,0
2023-02-06,0
2023-02-13,0
2023-02-20,0
2023-02-27,0
2023-03-06,0
2023-03-13,0
2023-03-20,0
2023-03-27,0
2023-04-03,0
2023-04-10,0
2023-04-17,0
2023-04-24,0
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,0
2023-09-04,0
2023-09-11,0
2023-09-18,0
2023-09-25,0
2023-10-02,0
2023-10-09,0
2023-10-16,0
2023-10-23,0
2023-10-30,0
2023-11-06,0
2023-11-13,0
2023-11-20,0
2023-11-27,0
2023-12-04,0
2023-12-11,0
2023-12-18,0
2023-12-25,0
2024-01-01,0
2024-01-08,0
2024-01-15,0
2024-01-22,0
2024-01-29,0
2024-02-05,0
2024-02-12,0
2024-02-19,0
2024-02-26,0
2024-03-04,0
2024-03-11,0
