Week,Cases
2020-02-24,3
2020-03-02,8
2020-03-09,69
2020-03-16,251
2020-03-23,337
2020-03-30,342
2020-04-06,384
2020-04-13,267
2020-04-20,258
2020-04-27,267
2020-05-04,284
2020-05-11,310
2020-05-18,354
2020-05-25,266
2020-06-01,253
2020-06-08,269
2020-06-15,307
2020-06-22,463
2020-06-29,480
2020-07-06,573
2020-07-13,632
2020-07-20,550
2020-07-27,511
2020-08-03,389
2020-08-10,410
2020-08-17,377
2020-08-24,374
2020-08-31,357
2020-09-07,386
2020-09-14,562
2020-09-21,592
2020-09-28,396
2020-10-05,447
2020-10-12,517
2020-10-19,685
2020-10-26,857
2020-11-02,1459
2020-11-09,1928
2020-11-16,2069
2020-11-23,1550
2020-11-30,1713
2020-12-07,1461
2020-12-14,1140
2020-12-21,803
2020-12-28,773
2021-01-04,750
2021-01-11,595
2021-01-18,401
2021-01-25,291
2021-02-01,367
2021-02-08,766
2021-02-15,525
2021-02-22,463
2021-03-01,612
2021-03-08,802
2021-03-15,1333
2021-03-22,2531
2021-03-29,2185
2021-04-05,2391
2021-04-12,1939
2021-04-19,1523
2021-04-26,1271
2021-05-03,611
2021-05-10,505
2021-05-17,543
2021-05-24,350
2021-05-31,235
2021-06-07,215
2021-06-14,201
2021-06-21,186
2021-06-28,156
2021-07-05,205
2021-07-12,237
2021-07-19,331
2021-07-26,417
2021-08-02,550
2021-08-09,698
2021-08-16,861
2021-08-23,903
2021-08-30,769
2021-09-06,642
2021-09-13,709
2021-09-20,624
2021-09-27,882
2021-10-04,1038
2021-10-11,1386
2021-10-18,1224
2021-10-25,1150
2021-11-01,1458
2021-11-08,1765
2021-11-15,2032
2021-11-22,1981
2021-11-29,2556
2021-12-06,1992
2021-12-13,1713
2021-12-20,1888
2021-12-27,4466
2022-01-03,6260
2022-01-10,5290
2022-01-17,3724
2022-01-24,2317
2022-01-31,1296
2022-02-07,764
2022-02-14,473
2022-02-21,326
2022-02-28,241
2022-03-07,239
2022-03-14,232
2022-03-21,231
2022-03-28,198
2022-04-04,234
2022-04-11,290
2022-04-18,491
2022-04-25,724
2022-05-02,1005
2022-05-09,1053
2022-05-16,938
2022-05-23,748
2022-05-30,619
2022-06-06,510
2022-06-13,428
2022-06-20,489
2022-06-27,459
2022-07-04,445
2022-07-11,530
2022-07-18,667
2022-07-25,758
2022-08-01,831
2022-08-08,716
2022-08-15,784
2022-08-22,811
2022-08-29,729
2022-09-05,639
2022-09-12,637
2022-09-19,480
2022-09-26,434
2022-10-03,386
2022-10-10,392
2022-10-17,472
2022-10-24,416
2022-10-31,365
2022-11-07,339
2022-11-14,330
2022-11-21,348
2022-11-28,427
2022-12-05,430
2022-12-12,432
2022-12-19,331
2022-12-26,364
2023-01-02,309
2023-01-09,215
2023-01-16,195
2023-01-23,191
2023-01-30,206
2023-02-06,209
2023-02-13,228
2023-02-20,253
2023-02-27,204
2023-03-06,193
2023-03-13,204
2023-03-20,237
2023-03-27,177
2023-04-03,121
2023-04-10,142
2023-04-17,150
2023-04-24,148
2023-05-01,118
2023-05-08,109
2023-05-15,77
2023-05-22,64
2023-05-29,52
2023-06-05,31
2023-06-12,43
2023-06-19,32
2023-06-26,22
2023-07-03,34
2023-07-10,21
2023-07-17,27
2023-07-24,49
2023-07-31,43
2023-08-07,64
2023-08-14,71
2023-08-21,83
2023-08-28,121
2023-09-04,153
2023-09-11,168
2023-09-18,164
2023-09-25,117
2023-10-02,145
2023-10-09,133
2023-10-16,126
2023-10-23,107
2023-10-30,93
2023-11-06,120
2023-11-13,147
2023-11-20,222
2023-11-27,277
2023-12-04,297
2023-12-11,328
2023-12-18,308
2023-12-25,382
2024-01-01,297
2024-01-08,197
2024-01-15,199
2024-01-22,159
2024-01-29,182
2024-02-05,192
2024-02-12,152
2024-02-19,149
2024-02-26,145
2024-03-04,85
2024-03-11,8
