Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,1
2020-03-23,2
2020-03-30,1
2020-04-06,6
2020-04-13,2
2020-04-20,3
2020-04-27,6
2020-05-04,4
2020-05-11,4
2020-05-18,3
2020-05-25,0
2020-06-01,12
2020-06-08,5
2020-06-15,10
2020-06-22,2
2020-06-29,17
2020-07-06,15
2020-07-13,14
2020-07-20,25
2020-07-27,17
2020-08-03,14
2020-08-10,13
2020-08-17,11
2020-08-24,14
2020-08-31,14
2020-09-07,12
2020-09-14,11
2020-09-21,29
2020-09-28,16
2020-10-05,33
2020-10-12,32
2020-10-19,52
2020-10-26,61
2020-11-02,96
2020-11-09,199
2020-11-16,131
2020-11-23,123
2020-11-30,98
2020-12-07,83
2020-12-14,59
2020-12-21,63
2020-12-28,64
2021-01-04,53
2021-01-11,52
2021-01-18,39
2021-01-25,33
2021-02-01,25
2021-02-08,28
2021-02-15,31
2021-02-22,20
2021-03-01,25
2021-03-08,42
2021-03-15,43
2021-03-22,83
2021-03-29,160
2021-04-05,157
2021-04-12,118
2021-04-19,96
2021-04-26,66
2021-05-03,50
2021-05-10,56
2021-05-17,52
2021-05-24,20
2021-05-31,25
2021-06-07,20
2021-06-14,20
2021-06-21,18
2021-06-28,16
2021-07-05,21
2021-07-12,12
2021-07-19,25
2021-07-26,17
2021-08-02,27
2021-08-09,34
2021-08-16,53
2021-08-23,94
2021-08-30,89
2021-09-06,80
2021-09-13,107
2021-09-20,121
2021-09-27,113
2021-10-04,110
2021-10-11,121
2021-10-18,100
2021-10-25,71
2021-11-01,116
2021-11-08,72
2021-11-15,83
2021-11-22,59
2021-11-29,93
2021-12-06,93
2021-12-13,65
2021-12-20,79
2021-12-27,131
2022-01-03,198
2022-01-10,287
2022-01-17,207
2022-01-24,134
2022-01-31,94
2022-02-07,51
2022-02-14,35
2022-02-21,17
2022-02-28,17
2022-03-07,5
2022-03-14,7
2022-03-21,7
2022-03-28,8
2022-04-04,5
2022-04-11,4
2022-04-18,12
2022-04-25,26
2022-05-02,27
2022-05-09,23
2022-05-16,39
2022-05-23,27
2022-05-30,31
2022-06-06,25
2022-06-13,21
2022-06-20,19
2022-06-27,15
2022-07-04,37
2022-07-11,32
2022-07-18,35
2022-07-25,27
2022-08-01,39
2022-08-08,32
2022-08-15,27
2022-08-22,37
2022-08-29,50
2022-09-05,39
2022-09-12,32
2022-09-19,20
2022-09-26,16
2022-10-03,28
2022-10-10,32
2022-10-17,29
2022-10-24,17
2022-10-31,37
2022-11-07,19
2022-11-14,14
2022-11-21,18
2022-11-28,22
2022-12-05,18
2022-12-12,14
2022-12-19,14
2022-12-26,22
2023-01-02,11
2023-01-09,6
2023-01-16,14
2023-01-23,11
2023-01-30,5
2023-02-06,16
2023-02-13,8
2023-02-20,20
2023-02-27,16
2023-03-06,8
2023-03-13,15
2023-03-20,15
2023-03-27,13
2023-04-03,11
2023-04-10,13
2023-04-17,4
2023-04-24,7
2023-05-01,7
2023-05-08,5
2023-05-15,4
2023-05-22,3
2023-05-29,2
2023-06-05,1
2023-06-12,0
2023-06-19,6
2023-06-26,3
2023-07-03,8
2023-07-10,4
2023-07-17,3
2023-07-24,4
2023-07-31,3
2023-08-07,11
2023-08-14,15
2023-08-21,11
2023-08-28,7
2023-09-04,10
2023-09-11,27
2023-09-18,15
2023-09-25,11
2023-10-02,5
2023-10-09,7
2023-10-16,14
2023-10-23,10
2023-10-30,23
2023-11-06,14
2023-11-13,17
2023-11-20,23
2023-11-27,37
2023-12-04,44
2023-12-11,31
2023-12-18,51
2023-12-25,41
2024-01-01,27
2024-01-08,26
2024-01-15,21
2024-01-22,14
2024-01-29,19
2024-02-05,12
2024-02-12,9
2024-02-19,6
2024-02-26,13
2024-03-04,7
2024-03-11,5
