Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,1
2020-03-30,1
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,0
2020-05-11,22
2020-05-18,0
2020-05-25,0
2020-06-01,0
2020-06-08,10
2020-06-15,3
2020-06-22,13
2020-06-29,11
2020-07-06,28
2020-07-13,49
2020-07-20,60
2020-07-27,34
2020-08-03,33
2020-08-10,29
2020-08-17,13
2020-08-24,9
2020-08-31,9
2020-09-07,12
2020-09-14,12
2020-09-21,25
2020-09-28,16
2020-10-05,27
2020-10-12,114
2020-10-19,101
2020-10-26,78
2020-11-02,87
2020-11-09,68
2020-11-16,55
2020-11-23,60
2020-11-30,84
2020-12-07,54
2020-12-14,26
2020-12-21,11
2020-12-28,14
2021-01-04,41
2021-01-11,42
2021-01-18,44
2021-01-25,36
2021-02-01,38
2021-02-08,34
2021-02-15,12
2021-02-22,12
2021-03-01,13
2021-03-08,14
2021-03-15,14
2021-03-22,27
2021-03-29,10
2021-04-05,11
2021-04-12,8
2021-04-19,7
2021-04-26,9
2021-05-03,16
2021-05-10,11
2021-05-17,9
2021-05-24,7
2021-05-31,4
2021-06-07,2
2021-06-14,1
2021-06-21,3
2021-06-28,16
2021-07-05,21
2021-07-12,14
2021-07-19,10
2021-07-26,28
2021-08-02,26
2021-08-09,24
2021-08-16,19
2021-08-23,25
2021-08-30,26
2021-09-06,15
2021-09-13,29
2021-09-20,18
2021-09-27,43
2021-10-04,75
2021-10-11,31
2021-10-18,35
2021-10-25,33
2021-11-01,34
2021-11-08,43
2021-11-15,79
2021-11-22,75
2021-11-29,61
2021-12-06,43
2021-12-13,43
2021-12-20,32
2021-12-27,43
2022-01-03,127
2022-01-10,225
2022-01-17,187
2022-01-24,88
2022-01-31,62
2022-02-07,29
2022-02-14,27
2022-02-21,10
2022-02-28,12
2022-03-07,2
2022-03-14,5
2022-03-21,13
2022-03-28,14
2022-04-04,6
2022-04-11,10
2022-04-18,14
2022-04-25,8
2022-05-02,19
2022-05-09,29
2022-05-16,33
2022-05-23,15
2022-05-30,18
2022-06-06,33
2022-06-13,32
2022-06-20,49
2022-06-27,40
2022-07-04,51
2022-07-11,53
2022-07-18,37
2022-07-25,44
2022-08-01,23
2022-08-08,27
2022-08-15,22
2022-08-22,12
2022-08-29,19
2022-09-05,9
2022-09-12,18
2022-09-19,21
2022-09-26,34
2022-10-03,27
2022-10-10,24
2022-10-17,34
2022-10-24,18
2022-10-31,42
2022-11-07,25
2022-11-14,21
2022-11-21,14
2022-11-28,28
2022-12-05,25
2022-12-12,31
2022-12-19,20
2022-12-26,17
2023-01-02,13
2023-01-09,7
2023-01-16,6
2023-01-23,4
2023-01-30,6
2023-02-06,12
2023-02-13,7
2023-02-20,21
2023-02-27,11
2023-03-06,12
2023-03-13,14
2023-03-20,13
2023-03-27,9
2023-04-03,27
2023-04-10,18
2023-04-17,2
2023-04-24,5
2023-05-01,3
2023-05-08,2
2023-05-15,2
2023-05-22,0
2023-05-29,1
2023-06-05,0
2023-06-12,1
2023-06-19,1
2023-06-26,0
2023-07-03,0
2023-07-10,2
2023-07-17,1
2023-07-24,1
2023-07-31,2
2023-08-07,5
2023-08-14,4
2023-08-21,7
2023-08-28,1
2023-09-04,1
2023-09-11,14
2023-09-18,6
2023-09-25,9
2023-10-02,7
2023-10-09,1
2023-10-16,3
2023-10-23,4
2023-10-30,10
2023-11-06,6
2023-11-13,5
2023-11-20,10
2023-11-27,21
2023-12-04,14
2023-12-11,20
2023-12-18,32
2023-12-25,41
2024-01-01,11
2024-01-08,8
2024-01-15,8
2024-01-22,4
2024-01-29,8
2024-02-05,5
2024-02-12,4
2024-02-19,33
2024-02-26,24
2024-03-04,5
2024-03-11,0
