Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,3
2020-03-16,2
2020-03-23,8
2020-03-30,7
2020-04-06,2
2020-04-13,5
2020-04-20,6
2020-04-27,3
2020-05-04,7
2020-05-11,16
2020-05-18,21
2020-05-25,30
2020-06-01,38
2020-06-08,36
2020-06-15,46
2020-06-22,45
2020-06-29,145
2020-07-06,93
2020-07-13,86
2020-07-20,67
2020-07-27,71
2020-08-03,82
2020-08-10,130
2020-08-17,137
2020-08-24,105
2020-08-31,107
2020-09-07,74
2020-09-14,90
2020-09-21,84
2020-09-28,60
2020-10-05,52
2020-10-12,104
2020-10-19,137
2020-10-26,147
2020-11-02,195
2020-11-09,264
2020-11-16,275
2020-11-23,254
2020-11-30,288
2020-12-07,234
2020-12-14,206
2020-12-21,180
2020-12-28,228
2021-01-04,245
2021-01-11,191
2021-01-18,108
2021-01-25,96
2021-02-01,100
2021-02-08,173
2021-02-15,110
2021-02-22,100
2021-03-01,146
2021-03-08,135
2021-03-15,197
2021-03-22,390
2021-03-29,319
2021-04-05,306
2021-04-12,234
2021-04-19,219
2021-04-26,187
2021-05-03,61
2021-05-10,106
2021-05-17,101
2021-05-24,74
2021-05-31,57
2021-06-07,48
2021-06-14,41
2021-06-21,41
2021-06-28,33
2021-07-05,63
2021-07-12,76
2021-07-19,87
2021-07-26,137
2021-08-02,145
2021-08-09,149
2021-08-16,170
2021-08-23,240
2021-08-30,154
2021-09-06,176
2021-09-13,210
2021-09-20,201
2021-09-27,236
2021-10-04,236
2021-10-11,249
2021-10-18,227
2021-10-25,244
2021-11-01,309
2021-11-08,351
2021-11-15,424
2021-11-22,308
2021-11-29,357
2021-12-06,270
2021-12-13,217
2021-12-20,211
2021-12-27,390
2022-01-03,734
2022-01-10,869
2022-01-17,762
2022-01-24,523
2022-01-31,329
2022-02-07,188
2022-02-14,170
2022-02-21,121
2022-02-28,80
2022-03-07,77
2022-03-14,81
2022-03-21,79
2022-03-28,67
2022-04-04,76
2022-04-11,80
2022-04-18,116
2022-04-25,161
2022-05-02,198
2022-05-09,181
2022-05-16,154
2022-05-23,165
2022-05-30,112
2022-06-06,116
2022-06-13,90
2022-06-20,90
2022-06-27,87
2022-07-04,92
2022-07-11,109
2022-07-18,129
2022-07-25,102
2022-08-01,81
2022-08-08,109
2022-08-15,80
2022-08-22,92
2022-08-29,54
2022-09-05,48
2022-09-12,77
2022-09-19,96
2022-09-26,102
2022-10-03,100
2022-10-10,80
2022-10-17,51
2022-10-24,42
2022-10-31,39
2022-11-07,45
2022-11-14,37
2022-11-21,31
2022-11-28,59
2022-12-05,73
2022-12-12,83
2022-12-19,55
2022-12-26,69
2023-01-02,71
2023-01-09,37
2023-01-16,25
2023-01-23,34
2023-01-30,23
2023-02-06,25
2023-02-13,25
2023-02-20,25
2023-02-27,38
2023-03-06,31
2023-03-13,34
2023-03-20,20
2023-03-27,24
2023-04-03,13
2023-04-10,17
2023-04-17,12
2023-04-24,10
2023-05-01,14
2023-05-08,15
2023-05-15,3
2023-05-22,8
2023-05-29,6
2023-06-05,6
2023-06-12,5
2023-06-19,4
2023-06-26,6
2023-07-03,5
2023-07-10,4
2023-07-17,2
2023-07-24,3
2023-07-31,5
2023-08-07,8
2023-08-14,17
2023-08-21,6
2023-08-28,19
2023-09-04,22
2023-09-11,28
2023-09-18,20
2023-09-25,13
2023-10-02,52
2023-10-09,48
2023-10-16,26
2023-10-23,19
2023-10-30,10
2023-11-06,8
2023-11-13,42
2023-11-20,23
2023-11-27,29
2023-12-04,19
2023-12-11,18
2023-12-18,40
2023-12-25,36
2024-01-01,34
2024-01-08,23
2024-01-15,14
2024-01-22,14
2024-01-29,18
2024-02-05,19
2024-02-12,9
2024-02-19,23
2024-02-26,18
2024-03-04,10
2024-03-11,1
