Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,3
2020-03-23,2
2020-03-30,3
2020-04-06,3
2020-04-13,1
2020-04-20,7
2020-04-27,31
2020-05-04,9
2020-05-11,59
2020-05-18,57
2020-05-25,5
2020-06-01,22
2020-06-08,14
2020-06-15,12
2020-06-22,21
2020-06-29,34
2020-07-06,31
2020-07-13,22
2020-07-20,42
2020-07-27,31
2020-08-03,33
2020-08-10,31
2020-08-17,97
2020-08-24,30
2020-08-31,50
2020-09-07,38
2020-09-14,59
2020-09-21,106
2020-09-28,27
2020-10-05,63
2020-10-12,46
2020-10-19,100
2020-10-26,136
2020-11-02,252
2020-11-09,283
2020-11-16,201
2020-11-23,183
2020-11-30,209
2020-12-07,182
2020-12-14,120
2020-12-21,69
2020-12-28,77
2021-01-04,97
2021-01-11,61
2021-01-18,43
2021-01-25,38
2021-02-01,26
2021-02-08,84
2021-02-15,43
2021-02-22,22
2021-03-01,26
2021-03-08,20
2021-03-15,44
2021-03-22,135
2021-03-29,219
2021-04-05,189
2021-04-12,139
2021-04-19,153
2021-04-26,198
2021-05-03,97
2021-05-10,80
2021-05-17,76
2021-05-24,43
2021-05-31,34
2021-06-07,28
2021-06-14,19
2021-06-21,15
2021-06-28,18
2021-07-05,22
2021-07-12,14
2021-07-19,25
2021-07-26,36
2021-08-02,52
2021-08-09,70
2021-08-16,78
2021-08-23,98
2021-08-30,89
2021-09-06,115
2021-09-13,210
2021-09-20,159
2021-09-27,217
2021-10-04,263
2021-10-11,258
2021-10-18,243
2021-10-25,228
2021-11-01,299
2021-11-08,243
2021-11-15,245
2021-11-22,223
2021-11-29,236
2021-12-06,189
2021-12-13,119
2021-12-20,123
2021-12-27,201
2022-01-03,362
2022-01-10,441
2022-01-17,444
2022-01-24,349
2022-01-31,206
2022-02-07,123
2022-02-14,81
2022-02-21,39
2022-02-28,32
2022-03-07,26
2022-03-14,21
2022-03-21,18
2022-03-28,15
2022-04-04,21
2022-04-11,19
2022-04-18,25
2022-04-25,48
2022-05-02,65
2022-05-09,59
2022-05-16,84
2022-05-23,90
2022-05-30,72
2022-06-06,58
2022-06-13,50
2022-06-20,44
2022-06-27,31
2022-07-04,26
2022-07-11,50
2022-07-18,52
2022-07-25,40
2022-08-01,37
2022-08-08,60
2022-08-15,47
2022-08-22,53
2022-08-29,61
2022-09-05,93
2022-09-12,82
2022-09-19,67
2022-09-26,47
2022-10-03,40
2022-10-10,45
2022-10-17,42
2022-10-24,34
2022-10-31,42
2022-11-07,34
2022-11-14,22
2022-11-21,24
2022-11-28,25
2022-12-05,30
2022-12-12,32
2022-12-19,17
2022-12-26,29
2023-01-02,47
2023-01-09,33
2023-01-16,27
2023-01-23,54
2023-01-30,24
2023-02-06,38
2023-02-13,41
2023-02-20,50
2023-02-27,40
2023-03-06,51
2023-03-13,45
2023-03-20,39
2023-03-27,36
2023-04-03,23
2023-04-10,16
2023-04-17,7
2023-04-24,20
2023-05-01,28
2023-05-08,12
2023-05-15,5
2023-05-22,9
2023-05-29,1
2023-06-05,3
2023-06-12,0
2023-06-19,2
2023-06-26,4
2023-07-03,2
2023-07-10,0
2023-07-17,2
2023-07-24,3
2023-07-31,5
2023-08-07,7
2023-08-14,11
2023-08-21,5
2023-08-28,30
2023-09-04,38
2023-09-11,38
2023-09-18,33
2023-09-25,34
2023-10-02,19
2023-10-09,18
2023-10-16,22
2023-10-23,15
2023-10-30,15
2023-11-06,48
2023-11-13,42
2023-11-20,27
2023-11-27,37
2023-12-04,37
2023-12-11,65
2023-12-18,47
2023-12-25,41
2024-01-01,33
2024-01-08,59
2024-01-15,12
2024-01-22,15
2024-01-29,19
2024-02-05,24
2024-02-12,16
2024-02-19,10
2024-02-26,16
2024-03-04,7
2024-03-11,1
