Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,12
2020-03-23,13
2020-03-30,44
2020-04-06,21
2020-04-13,23
2020-04-20,35
2020-04-27,30
2020-05-04,54
2020-05-11,28
2020-05-18,25
2020-05-25,14
2020-06-01,19
2020-06-08,18
2020-06-15,26
2020-06-22,35
2020-06-29,29
2020-07-06,42
2020-07-13,38
2020-07-20,45
2020-07-27,47
2020-08-03,44
2020-08-10,54
2020-08-17,39
2020-08-24,47
2020-08-31,32
2020-09-07,51
2020-09-14,54
2020-09-21,46
2020-09-28,23
2020-10-05,36
2020-10-12,69
2020-10-19,66
2020-10-26,109
2020-11-02,214
2020-11-09,291
2020-11-16,256
2020-11-23,204
2020-11-30,223
2020-12-07,209
2020-12-14,138
2020-12-21,145
2020-12-28,162
2021-01-04,166
2021-01-11,100
2021-01-18,94
2021-01-25,68
2021-02-01,70
2021-02-08,102
2021-02-15,63
2021-02-22,39
2021-03-01,46
2021-03-08,56
2021-03-15,92
2021-03-22,150
2021-03-29,111
2021-04-05,130
2021-04-12,128
2021-04-19,97
2021-04-26,108
2021-05-03,84
2021-05-10,65
2021-05-17,63
2021-05-24,44
2021-05-31,45
2021-06-07,18
2021-06-14,31
2021-06-21,26
2021-06-28,22
2021-07-05,18
2021-07-12,31
2021-07-19,37
2021-07-26,65
2021-08-02,71
2021-08-09,104
2021-08-16,103
2021-08-23,113
2021-08-30,131
2021-09-06,142
2021-09-13,177
2021-09-20,161
2021-09-27,153
2021-10-04,176
2021-10-11,178
2021-10-18,159
2021-10-25,114
2021-11-01,195
2021-11-08,232
2021-11-15,245
2021-11-22,232
2021-11-29,254
2021-12-06,195
2021-12-13,132
2021-12-20,95
2021-12-27,130
2022-01-03,230
2022-01-10,368
2022-01-17,384
2022-01-24,306
2022-01-31,199
2022-02-07,136
2022-02-14,62
2022-02-21,32
2022-02-28,25
2022-03-07,27
2022-03-14,22
2022-03-21,26
2022-03-28,15
2022-04-04,13
2022-04-11,18
2022-04-18,38
2022-04-25,43
2022-05-02,52
2022-05-09,65
2022-05-16,67
2022-05-23,64
2022-05-30,58
2022-06-06,46
2022-06-13,54
2022-06-20,32
2022-06-27,45
2022-07-04,73
2022-07-11,97
2022-07-18,91
2022-07-25,91
2022-08-01,79
2022-08-08,67
2022-08-15,74
2022-08-22,78
2022-08-29,65
2022-09-05,73
2022-09-12,51
2022-09-19,49
2022-09-26,45
2022-10-03,44
2022-10-10,49
2022-10-17,50
2022-10-24,40
2022-10-31,35
2022-11-07,30
2022-11-14,38
2022-11-21,31
2022-11-28,42
2022-12-05,53
2022-12-12,57
2022-12-19,29
2022-12-26,28
2023-01-02,20
2023-01-09,15
2023-01-16,25
2023-01-23,17
2023-01-30,18
2023-02-06,28
2023-02-13,28
2023-02-20,31
2023-02-27,44
2023-03-06,21
2023-03-13,17
2023-03-20,23
2023-03-27,23
2023-04-03,26
2023-04-10,10
2023-04-17,6
2023-04-24,4
2023-05-01,5
2023-05-08,4
2023-05-15,3
2023-05-22,2
2023-05-29,0
2023-06-05,5
2023-06-12,2
2023-06-19,2
2023-06-26,0
2023-07-03,2
2023-07-10,1
2023-07-17,1
2023-07-24,2
2023-07-31,1
2023-08-07,6
2023-08-14,2
2023-08-21,7
2023-08-28,19
2023-09-04,24
2023-09-11,11
2023-09-18,21
2023-09-25,17
2023-10-02,8
2023-10-09,7
2023-10-16,9
2023-10-23,7
2023-10-30,11
2023-11-06,24
2023-11-13,31
2023-11-20,41
2023-11-27,51
2023-12-04,49
2023-12-11,69
2023-12-18,53
2023-12-25,60
2024-01-01,35
2024-01-08,20
2024-01-15,11
2024-01-22,5
2024-01-29,10
2024-02-05,13
2024-02-12,19
2024-02-19,19
2024-02-26,9
2024-03-04,5
2024-03-11,1
