Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,1
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,2
2020-04-27,2
2020-05-04,2
2020-05-11,3
2020-05-18,5
2020-05-25,10
2020-06-01,3
2020-06-08,7
2020-06-15,4
2020-06-22,25
2020-06-29,26
2020-07-06,27
2020-07-13,32
2020-07-20,24
2020-07-27,25
2020-08-03,34
2020-08-10,28
2020-08-17,30
2020-08-24,67
2020-08-31,132
2020-09-07,100
2020-09-14,237
2020-09-21,220
2020-09-28,154
2020-10-05,51
2020-10-12,54
2020-10-19,73
2020-10-26,103
2020-11-02,147
2020-11-09,139
2020-11-16,109
2020-11-23,87
2020-11-30,210
2020-12-07,95
2020-12-14,40
2020-12-21,49
2020-12-28,125
2021-01-04,142
2021-01-11,115
2021-01-18,70
2021-01-25,63
2021-02-01,72
2021-02-08,94
2021-02-15,66
2021-02-22,27
2021-03-01,31
2021-03-08,46
2021-03-15,69
2021-03-22,83
2021-03-29,66
2021-04-05,57
2021-04-12,45
2021-04-19,38
2021-04-26,55
2021-05-03,25
2021-05-10,39
2021-05-17,46
2021-05-24,15
2021-05-31,20
2021-06-07,19
2021-06-14,19
2021-06-21,16
2021-06-28,13
2021-07-05,8
2021-07-12,13
2021-07-19,30
2021-07-26,18
2021-08-02,56
2021-08-09,85
2021-08-16,58
2021-08-23,67
2021-08-30,36
2021-09-06,61
2021-09-13,68
2021-09-20,76
2021-09-27,87
2021-10-04,105
2021-10-11,157
2021-10-18,207
2021-10-25,187
2021-11-01,186
2021-11-08,190
2021-11-15,232
2021-11-22,122
2021-11-29,148
2021-12-06,84
2021-12-13,66
2021-12-20,52
2021-12-27,108
2022-01-03,259
2022-01-10,453
2022-01-17,381
2022-01-24,240
2022-01-31,130
2022-02-07,59
2022-02-14,62
2022-02-21,35
2022-02-28,25
2022-03-07,32
2022-03-14,39
2022-03-21,32
2022-03-28,18
2022-04-04,30
2022-04-11,29
2022-04-18,47
2022-04-25,60
2022-05-02,60
2022-05-09,52
2022-05-16,66
2022-05-23,43
2022-05-30,38
2022-06-06,46
2022-06-13,49
2022-06-20,44
2022-06-27,38
2022-07-04,61
2022-07-11,56
2022-07-18,57
2022-07-25,67
2022-08-01,61
2022-08-08,37
2022-08-15,53
2022-08-22,34
2022-08-29,33
2022-09-05,17
2022-09-12,40
2022-09-19,29
2022-09-26,18
2022-10-03,33
2022-10-10,31
2022-10-17,31
2022-10-24,19
2022-10-31,32
2022-11-07,35
2022-11-14,29
2022-11-21,21
2022-11-28,21
2022-12-05,11
2022-12-12,11
2022-12-19,10
2022-12-26,16
2023-01-02,18
2023-01-09,8
2023-01-16,10
2023-01-23,10
2023-01-30,11
2023-02-06,17
2023-02-13,26
2023-02-20,35
2023-02-27,40
2023-03-06,20
2023-03-13,22
2023-03-20,18
2023-03-27,27
2023-04-03,9
2023-04-10,18
2023-04-17,6
2023-04-24,3
2023-05-01,7
2023-05-08,1
2023-05-15,8
2023-05-22,14
2023-05-29,0
2023-06-05,3
2023-06-12,1
2023-06-19,2
2023-06-26,2
2023-07-03,4
2023-07-10,1
2023-07-17,0
2023-07-24,2
2023-07-31,2
2023-08-07,1
2023-08-14,7
2023-08-21,10
2023-08-28,10
2023-09-04,11
2023-09-11,16
2023-09-18,17
2023-09-25,17
2023-10-02,13
2023-10-09,10
2023-10-16,7
2023-10-23,6
2023-10-30,9
2023-11-06,26
2023-11-13,23
2023-11-20,28
2023-11-27,23
2023-12-04,13
2023-12-11,28
2023-12-18,24
2023-12-25,28
2024-01-01,19
2024-01-08,12
2024-01-15,15
2024-01-22,16
2024-01-29,17
2024-02-05,17
2024-02-12,6
2024-02-19,16
2024-02-26,4
2024-03-04,4
2024-03-11,4
