Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,2
2020-03-23,4
2020-03-30,5
2020-04-06,7
2020-04-13,3
2020-04-20,6
2020-04-27,18
2020-05-04,10
2020-05-11,11
2020-05-18,5
2020-05-25,7
2020-06-01,8
2020-06-08,7
2020-06-15,11
2020-06-22,58
2020-06-29,29
2020-07-06,44
2020-07-13,85
2020-07-20,49
2020-07-27,20
2020-08-03,23
2020-08-10,31
2020-08-17,21
2020-08-24,14
2020-08-31,17
2020-09-07,20
2020-09-14,19
2020-09-21,21
2020-09-28,9
2020-10-05,15
2020-10-12,8
2020-10-19,16
2020-10-26,66
2020-11-02,87
2020-11-09,133
2020-11-16,167
2020-11-23,142
2020-11-30,247
2020-12-07,196
2020-12-14,108
2020-12-21,94
2020-12-28,103
2021-01-04,51
2021-01-11,66
2021-01-18,69
2021-01-25,47
2021-02-01,35
2021-02-08,49
2021-02-15,33
2021-02-22,49
2021-03-01,115
2021-03-08,209
2021-03-15,254
2021-03-22,275
2021-03-29,304
2021-04-05,274
2021-04-12,148
2021-04-19,103
2021-04-26,55
2021-05-03,37
2021-05-10,36
2021-05-17,23
2021-05-24,19
2021-05-31,12
2021-06-07,11
2021-06-14,9
2021-06-21,9
2021-06-28,7
2021-07-05,11
2021-07-12,12
2021-07-19,29
2021-07-26,40
2021-08-02,31
2021-08-09,49
2021-08-16,56
2021-08-23,62
2021-08-30,39
2021-09-06,46
2021-09-13,64
2021-09-20,48
2021-09-27,55
2021-10-04,75
2021-10-11,111
2021-10-18,103
2021-10-25,140
2021-11-01,173
2021-11-08,173
2021-11-15,170
2021-11-22,162
2021-11-29,180
2021-12-06,152
2021-12-13,101
2021-12-20,94
2021-12-27,125
2022-01-03,182
2022-01-10,294
2022-01-17,343
2022-01-24,311
2022-01-31,142
2022-02-07,68
2022-02-14,43
2022-02-21,25
2022-02-28,14
2022-03-07,18
2022-03-14,15
2022-03-21,16
2022-03-28,18
2022-04-04,17
2022-04-11,11
2022-04-18,27
2022-04-25,29
2022-05-02,59
2022-05-09,60
2022-05-16,72
2022-05-23,91
2022-05-30,53
2022-06-06,33
2022-06-13,44
2022-06-20,17
2022-06-27,29
2022-07-04,23
2022-07-11,42
2022-07-18,60
2022-07-25,53
2022-08-01,61
2022-08-08,93
2022-08-15,73
2022-08-22,103
2022-08-29,75
2022-09-05,27
2022-09-12,33
2022-09-19,33
2022-09-26,31
2022-10-03,36
2022-10-10,26
2022-10-17,25
2022-10-24,28
2022-10-31,30
2022-11-07,11
2022-11-14,21
2022-11-21,23
2022-11-28,26
2022-12-05,27
2022-12-12,36
2022-12-19,20
2022-12-26,24
2023-01-02,20
2023-01-09,23
2023-01-16,19
2023-01-23,5
2023-01-30,9
2023-02-06,12
2023-02-13,15
2023-02-20,14
2023-02-27,14
2023-03-06,15
2023-03-13,22
2023-03-20,14
2023-03-27,15
2023-04-03,20
2023-04-10,21
2023-04-17,21
2023-04-24,7
2023-05-01,5
2023-05-08,17
2023-05-15,9
2023-05-22,3
2023-05-29,3
2023-06-05,4
2023-06-12,3
2023-06-19,4
2023-06-26,1
2023-07-03,1
2023-07-10,2
2023-07-17,1
2023-07-24,3
2023-07-31,4
2023-08-07,5
2023-08-14,8
2023-08-21,8
2023-08-28,8
2023-09-04,23
2023-09-11,12
2023-09-18,19
2023-09-25,15
2023-10-02,12
2023-10-09,7
2023-10-16,15
2023-10-23,19
2023-10-30,28
2023-11-06,29
2023-11-13,37
2023-11-20,36
2023-11-27,23
2023-12-04,25
2023-12-11,34
2023-12-18,34
2023-12-25,17
2024-01-01,25
2024-01-08,21
2024-01-15,7
2024-01-22,16
2024-01-29,25
2024-02-05,22
2024-02-12,20
2024-02-19,22
2024-02-26,16
2024-03-04,9
2024-03-11,3
