Week,Cases
2020-02-24,0
2020-03-02,4
2020-03-09,30
2020-03-16,70
2020-03-23,111
2020-03-30,102
2020-04-06,82
2020-04-13,117
2020-04-20,156
2020-04-27,182
2020-05-04,166
2020-05-11,183
2020-05-18,216
2020-05-25,257
2020-06-01,188
2020-06-08,172
2020-06-15,262
2020-06-22,579
2020-06-29,470
2020-07-06,471
2020-07-13,504
2020-07-20,440
2020-07-27,428
2020-08-03,439
2020-08-10,415
2020-08-17,425
2020-08-24,425
2020-08-31,801
2020-09-07,1122
2020-09-14,773
2020-09-21,493
2020-09-28,244
2020-10-05,280
2020-10-12,292
2020-10-19,359
2020-10-26,551
2020-11-02,788
2020-11-09,967
2020-11-16,850
2020-11-23,778
2020-11-30,836
2020-12-07,714
2020-12-14,523
2020-12-21,512
2020-12-28,575
2021-01-04,536
2021-01-11,534
2021-01-18,443
2021-01-25,450
2021-02-01,465
2021-02-08,739
2021-02-15,466
2021-02-22,258
2021-03-01,315
2021-03-08,463
2021-03-15,826
2021-03-22,1506
2021-03-29,1273
2021-04-05,986
2021-04-12,806
2021-04-19,610
2021-04-26,596
2021-05-03,294
2021-05-10,333
2021-05-17,429
2021-05-24,350
2021-05-31,269
2021-06-07,272
2021-06-14,203
2021-06-21,199
2021-06-28,189
2021-07-05,205
2021-07-12,258
2021-07-19,329
2021-07-26,420
2021-08-02,453
2021-08-09,534
2021-08-16,565
2021-08-23,631
2021-08-30,476
2021-09-06,424
2021-09-13,434
2021-09-20,456
2021-09-27,487
2021-10-04,521
2021-10-11,570
2021-10-18,700
2021-10-25,695
2021-11-01,873
2021-11-08,1037
2021-11-15,1023
2021-11-22,882
2021-11-29,1141
2021-12-06,914
2021-12-13,849
2021-12-20,1207
2021-12-27,2658
2022-01-03,4261
2022-01-10,3824
2022-01-17,2716
2022-01-24,1775
2022-01-31,1119
2022-02-07,667
2022-02-14,427
2022-02-21,347
2022-02-28,288
2022-03-07,228
2022-03-14,247
2022-03-21,279
2022-03-28,244
2022-04-04,253
2022-04-11,339
2022-04-18,439
2022-04-25,558
2022-05-02,732
2022-05-09,877
2022-05-16,680
2022-05-23,513
2022-05-30,448
2022-06-06,403
2022-06-13,403
2022-06-20,413
2022-06-27,386
2022-07-04,382
2022-07-11,367
2022-07-18,480
2022-07-25,492
2022-08-01,524
2022-08-08,487
2022-08-15,590
2022-08-22,562
2022-08-29,588
2022-09-05,658
2022-09-12,545
2022-09-19,408
2022-09-26,345
2022-10-03,396
2022-10-10,365
2022-10-17,368
2022-10-24,275
2022-10-31,337
2022-11-07,224
2022-11-14,250
2022-11-21,239
2022-11-28,312
2022-12-05,342
2022-12-12,346
2022-12-19,258
2022-12-26,279
2023-01-02,245
2023-01-09,200
2023-01-16,185
2023-01-23,165
2023-01-30,186
2023-02-06,191
2023-02-13,209
2023-02-20,175
2023-02-27,227
2023-03-06,121
2023-03-13,163
2023-03-20,196
2023-03-27,172
2023-04-03,122
2023-04-10,139
2023-04-17,91
2023-04-24,117
2023-05-01,101
2023-05-08,105
2023-05-15,71
2023-05-22,45
2023-05-29,68
2023-06-05,43
2023-06-12,36
2023-06-19,34
2023-06-26,34
2023-07-03,27
2023-07-10,21
2023-07-17,37
2023-07-24,51
2023-07-31,47
2023-08-07,46
2023-08-14,80
2023-08-21,143
2023-08-28,193
2023-09-04,208
2023-09-11,210
2023-09-18,172
2023-09-25,108
2023-10-02,109
2023-10-09,112
2023-10-16,94
2023-10-23,102
2023-10-30,97
2023-11-06,158
2023-11-13,162
2023-11-20,175
2023-11-27,203
2023-12-04,250
2023-12-11,311
2023-12-18,354
2023-12-25,232
2024-01-01,231
2024-01-08,197
2024-01-15,155
2024-01-22,160
2024-01-29,184
2024-02-05,196
2024-02-12,181
2024-02-19,161
2024-02-26,115
2024-03-04,66
2024-03-11,3
