Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,0
2020-03-16,4
2020-03-23,5
2020-03-30,16
2020-04-06,9
2020-04-13,25
2020-04-20,43
2020-04-27,63
2020-05-04,54
2020-05-11,36
2020-05-18,77
2020-05-25,54
2020-06-01,48
2020-06-08,75
2020-06-15,65
2020-06-22,80
2020-06-29,95
2020-07-06,98
2020-07-13,107
2020-07-20,92
2020-07-27,117
2020-08-03,83
2020-08-10,98
2020-08-17,115
2020-08-24,88
2020-08-31,153
2020-09-07,95
2020-09-14,89
2020-09-21,116
2020-09-28,66
2020-10-05,93
2020-10-12,101
2020-10-19,163
2020-10-26,235
2020-11-02,331
2020-11-09,395
2020-11-16,345
2020-11-23,315
2020-11-30,252
2020-12-07,142
2020-12-14,144
2020-12-21,152
2020-12-28,177
2021-01-04,122
2021-01-11,116
2021-01-18,60
2021-01-25,48
2021-02-01,53
2021-02-08,191
2021-02-15,109
2021-02-22,54
2021-03-01,40
2021-03-08,47
2021-03-15,85
2021-03-22,271
2021-03-29,273
2021-04-05,263
2021-04-12,234
2021-04-19,214
2021-04-26,256
2021-05-03,147
2021-05-10,112
2021-05-17,152
2021-05-24,94
2021-05-31,70
2021-06-07,64
2021-06-14,52
2021-06-21,50
2021-06-28,33
2021-07-05,44
2021-07-12,38
2021-07-19,73
2021-07-26,75
2021-08-02,108
2021-08-09,89
2021-08-16,102
2021-08-23,164
2021-08-30,161
2021-09-06,163
2021-09-13,192
2021-09-20,223
2021-09-27,306
2021-10-04,251
2021-10-11,241
2021-10-18,216
2021-10-25,226
2021-11-01,310
2021-11-08,337
2021-11-15,402
2021-11-22,297
2021-11-29,331
2021-12-06,269
2021-12-13,203
2021-12-20,175
2021-12-27,339
2022-01-03,539
2022-01-10,740
2022-01-17,686
2022-01-24,548
2022-01-31,371
2022-02-07,191
2022-02-14,101
2022-02-21,60
2022-02-28,64
2022-03-07,38
2022-03-14,44
2022-03-21,47
2022-03-28,41
2022-04-04,39
2022-04-11,45
2022-04-18,54
2022-04-25,60
2022-05-02,123
2022-05-09,119
2022-05-16,77
2022-05-23,90
2022-05-30,72
2022-06-06,78
2022-06-13,58
2022-06-20,48
2022-06-27,46
2022-07-04,53
2022-07-11,75
2022-07-18,81
2022-07-25,77
2022-08-01,93
2022-08-08,74
2022-08-15,107
2022-08-22,130
2022-08-29,142
2022-09-05,95
2022-09-12,91
2022-09-19,68
2022-09-26,55
2022-10-03,80
2022-10-10,58
2022-10-17,38
2022-10-24,52
2022-10-31,42
2022-11-07,24
2022-11-14,55
2022-11-21,51
2022-11-28,77
2022-12-05,106
2022-12-12,116
2022-12-19,72
2022-12-26,60
2023-01-02,43
2023-01-09,38
2023-01-16,46
2023-01-23,39
2023-01-30,45
2023-02-06,28
2023-02-13,39
2023-02-20,32
2023-02-27,31
2023-03-06,44
2023-03-13,32
2023-03-20,20
2023-03-27,32
2023-04-03,28
2023-04-10,13
2023-04-17,10
2023-04-24,13
2023-05-01,12
2023-05-08,2
2023-05-15,9
2023-05-22,7
2023-05-29,9
2023-06-05,4
2023-06-12,6
2023-06-19,3
2023-06-26,3
2023-07-03,3
2023-07-10,1
2023-07-17,6
2023-07-24,6
2023-07-31,9
2023-08-07,8
2023-08-14,25
2023-08-21,17
2023-08-28,35
2023-09-04,29
2023-09-11,34
2023-09-18,36
2023-09-25,58
2023-10-02,46
2023-10-09,20
2023-10-16,9
2023-10-23,19
2023-10-30,18
2023-11-06,25
2023-11-13,26
2023-11-20,42
2023-11-27,69
2023-12-04,83
2023-12-11,66
2023-12-18,67
2023-12-25,38
2024-01-01,41
2024-01-08,22
2024-01-15,16
2024-01-22,25
2024-01-29,20
2024-02-05,35
2024-02-12,24
2024-02-19,21
2024-02-26,19
2024-03-04,9
2024-03-11,3
