Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,2
2020-03-16,0
2020-03-23,2
2020-03-30,2
2020-04-06,7
2020-04-13,18
2020-04-20,38
2020-04-27,6
2020-05-04,10
2020-05-11,27
2020-05-18,50
2020-05-25,20
2020-06-01,6
2020-06-08,9
2020-06-15,14
2020-06-22,15
2020-06-29,19
2020-07-06,11
2020-07-13,15
2020-07-20,17
2020-07-27,7
2020-08-03,21
2020-08-10,10
2020-08-17,13
2020-08-24,8
2020-08-31,21
2020-09-07,37
2020-09-14,23
2020-09-21,30
2020-09-28,14
2020-10-05,16
2020-10-12,15
2020-10-19,37
2020-10-26,62
2020-11-02,89
2020-11-09,110
2020-11-16,103
2020-11-23,96
2020-11-30,80
2020-12-07,66
2020-12-14,59
2020-12-21,31
2020-12-28,39
2021-01-04,46
2021-01-11,27
2021-01-18,11
2021-01-25,9
2021-02-01,13
2021-02-08,27
2021-02-15,8
2021-02-22,6
2021-03-01,14
2021-03-08,10
2021-03-15,27
2021-03-22,111
2021-03-29,132
2021-04-05,135
2021-04-12,88
2021-04-19,57
2021-04-26,47
2021-05-03,35
2021-05-10,40
2021-05-17,54
2021-05-24,28
2021-05-31,23
2021-06-07,10
2021-06-14,13
2021-06-21,7
2021-06-28,8
2021-07-05,11
2021-07-12,14
2021-07-19,24
2021-07-26,39
2021-08-02,34
2021-08-09,54
2021-08-16,47
2021-08-23,59
2021-08-30,49
2021-09-06,94
2021-09-13,106
2021-09-20,85
2021-09-27,83
2021-10-04,105
2021-10-11,120
2021-10-18,117
2021-10-25,99
2021-11-01,88
2021-11-08,90
2021-11-15,83
2021-11-22,65
2021-11-29,108
2021-12-06,59
2021-12-13,46
2021-12-20,42
2021-12-27,119
2022-01-03,140
2022-01-10,107
2022-01-17,152
2022-01-24,101
2022-01-31,97
2022-02-07,55
2022-02-14,56
2022-02-21,25
2022-02-28,17
2022-03-07,22
2022-03-14,13
2022-03-21,6
2022-03-28,11
2022-04-04,8
2022-04-11,11
2022-04-18,11
2022-04-25,18
2022-05-02,37
2022-05-09,34
2022-05-16,36
2022-05-23,25
2022-05-30,25
2022-06-06,19
2022-06-13,20
2022-06-20,21
2022-06-27,12
2022-07-04,17
2022-07-11,16
2022-07-18,23
2022-07-25,19
2022-08-01,22
2022-08-08,22
2022-08-15,33
2022-08-22,19
2022-08-29,13
2022-09-05,14
2022-09-12,13
2022-09-19,7
2022-09-26,23
2022-10-03,70
2022-10-10,28
2022-10-17,16
2022-10-24,21
2022-10-31,8
2022-11-07,16
2022-11-14,9
2022-11-21,12
2022-11-28,8
2022-12-05,8
2022-12-12,5
2022-12-19,15
2022-12-26,11
2023-01-02,10
2023-01-09,4
2023-01-16,3
2023-01-23,22
2023-01-30,22
2023-02-06,10
2023-02-13,14
2023-02-20,11
2023-02-27,7
2023-03-06,6
2023-03-13,9
2023-03-20,10
2023-03-27,5
2023-04-03,7
2023-04-10,0
2023-04-17,4
2023-04-24,1
2023-05-01,3
2023-05-08,6
2023-05-15,0
2023-05-22,2
2023-05-29,3
2023-06-05,4
2023-06-12,1
2023-06-19,3
2023-06-26,2
2023-07-03,3
2023-07-10,0
2023-07-17,5
2023-07-24,3
2023-07-31,2
2023-08-07,2
2023-08-14,4
2023-08-21,8
2023-08-28,9
2023-09-04,20
2023-09-11,8
2023-09-18,7
2023-09-25,6
2023-10-02,7
2023-10-09,3
2023-10-16,6
2023-10-23,3
2023-10-30,11
2023-11-06,6
2023-11-13,18
2023-11-20,31
2023-11-27,54
2023-12-04,12
2023-12-11,24
2023-12-18,15
2023-12-25,20
2024-01-01,13
2024-01-08,9
2024-01-15,11
2024-01-22,14
2024-01-29,14
2024-02-05,18
2024-02-12,4
2024-02-19,8
2024-02-26,7
2024-03-04,4
2024-03-11,0
