Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,1
2020-05-04,1
2020-05-11,30
2020-05-18,0
2020-05-25,3
2020-06-01,3
2020-06-08,5
2020-06-15,3
2020-06-22,36
2020-06-29,9
2020-07-06,8
2020-07-13,18
2020-07-20,17
2020-07-27,10
2020-08-03,9
2020-08-10,10
2020-08-17,17
2020-08-24,17
2020-08-31,16
2020-09-07,26
2020-09-14,74
2020-09-21,117
2020-09-28,49
2020-10-05,47
2020-10-12,76
2020-10-19,56
2020-10-26,71
2020-11-02,69
2020-11-09,51
2020-11-16,58
2020-11-23,34
2020-11-30,15
2020-12-07,20
2020-12-14,13
2020-12-21,13
2020-12-28,16
2021-01-04,21
2021-01-11,14
2021-01-18,7
2021-01-25,7
2021-02-01,5
2021-02-08,34
2021-02-15,10
2021-02-22,1
2021-03-01,1
2021-03-08,2
2021-03-15,8
2021-03-22,15
2021-03-29,12
2021-04-05,14
2021-04-12,14
2021-04-19,25
2021-04-26,17
2021-05-03,19
2021-05-10,11
2021-05-17,8
2021-05-24,8
2021-05-31,7
2021-06-07,4
2021-06-14,4
2021-06-21,7
2021-06-28,2
2021-07-05,10
2021-07-12,13
2021-07-19,10
2021-07-26,6
2021-08-02,9
2021-08-09,12
2021-08-16,22
2021-08-23,39
2021-08-30,33
2021-09-06,32
2021-09-13,13
2021-09-20,26
2021-09-27,36
2021-10-04,37
2021-10-11,42
2021-10-18,27
2021-10-25,36
2021-11-01,54
2021-11-08,49
2021-11-15,57
2021-11-22,45
2021-11-29,48
2021-12-06,33
2021-12-13,25
2021-12-20,27
2021-12-27,48
2022-01-03,97
2022-01-10,98
2022-01-17,156
2022-01-24,130
2022-01-31,82
2022-02-07,31
2022-02-14,23
2022-02-21,9
2022-02-28,15
2022-03-07,8
2022-03-14,6
2022-03-21,5
2022-03-28,10
2022-04-04,4
2022-04-11,8
2022-04-18,9
2022-04-25,9
2022-05-02,16
2022-05-09,17
2022-05-16,15
2022-05-23,18
2022-05-30,19
2022-06-06,20
2022-06-13,32
2022-06-20,27
2022-06-27,26
2022-07-04,22
2022-07-11,22
2022-07-18,26
2022-07-25,27
2022-08-01,33
2022-08-08,34
2022-08-15,73
2022-08-22,63
2022-08-29,43
2022-09-05,23
2022-09-12,23
2022-09-19,13
2022-09-26,11
2022-10-03,14
2022-10-10,16
2022-10-17,9
2022-10-24,13
2022-10-31,21
2022-11-07,6
2022-11-14,14
2022-11-21,13
2022-11-28,6
2022-12-05,19
2022-12-12,19
2022-12-19,13
2022-12-26,20
2023-01-02,24
2023-01-09,8
2023-01-16,5
2023-01-23,15
2023-01-30,13
2023-02-06,9
2023-02-13,11
2023-02-20,13
2023-02-27,6
2023-03-06,15
2023-03-13,15
2023-03-20,2
2023-03-27,3
2023-04-03,5
2023-04-10,1
2023-04-17,4
2023-04-24,7
2023-05-01,7
2023-05-08,4
2023-05-15,9
2023-05-22,10
2023-05-29,2
2023-06-05,0
2023-06-12,2
2023-06-19,1
2023-06-26,0
2023-07-03,0
2023-07-10,2
2023-07-17,0
2023-07-24,1
2023-07-31,3
2023-08-07,3
2023-08-14,2
2023-08-21,0
2023-08-28,3
2023-09-04,7
2023-09-11,3
2023-09-18,1
2023-09-25,2
2023-10-02,2
2023-10-09,2
2023-10-16,1
2023-10-23,3
2023-10-30,3
2023-11-06,5
2023-11-13,5
2023-11-20,13
2023-11-27,15
2023-12-04,15
2023-12-11,19
2023-12-18,17
2023-12-25,13
2024-01-01,14
2024-01-08,10
2024-01-15,5
2024-01-22,2
2024-01-29,6
2024-02-05,3
2024-02-12,2
2024-02-19,6
2024-02-26,7
2024-03-04,2
2024-03-11,0
