Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,3
2020-03-16,7
2020-03-23,6
2020-03-30,20
2020-04-06,26
2020-04-13,16
2020-04-20,10
2020-04-27,11
2020-05-04,15
2020-05-11,26
2020-05-18,25
2020-05-25,14
2020-06-01,21
2020-06-08,27
2020-06-15,36
2020-06-22,48
2020-06-29,47
2020-07-06,100
2020-07-13,79
2020-07-20,42
2020-07-27,52
2020-08-03,60
2020-08-10,100
2020-08-17,225
2020-08-24,169
2020-08-31,115
2020-09-07,80
2020-09-14,90
2020-09-21,95
2020-09-28,81
2020-10-05,87
2020-10-12,82
2020-10-19,139
2020-10-26,197
2020-11-02,306
2020-11-09,355
2020-11-16,291
2020-11-23,280
2020-11-30,229
2020-12-07,208
2020-12-14,158
2020-12-21,137
2020-12-28,145
2021-01-04,116
2021-01-11,64
2021-01-18,63
2021-01-25,48
2021-02-01,57
2021-02-08,131
2021-02-15,71
2021-02-22,35
2021-03-01,59
2021-03-08,64
2021-03-15,148
2021-03-22,282
2021-03-29,366
2021-04-05,359
2021-04-12,264
2021-04-19,230
2021-04-26,233
2021-05-03,122
2021-05-10,131
2021-05-17,127
2021-05-24,64
2021-05-31,50
2021-06-07,51
2021-06-14,55
2021-06-21,32
2021-06-28,30
2021-07-05,33
2021-07-12,42
2021-07-19,57
2021-07-26,79
2021-08-02,94
2021-08-09,88
2021-08-16,120
2021-08-23,156
2021-08-30,250
2021-09-06,266
2021-09-13,317
2021-09-20,291
2021-09-27,272
2021-10-04,281
2021-10-11,304
2021-10-18,300
2021-10-25,240
2021-11-01,246
2021-11-08,252
2021-11-15,263
2021-11-22,193
2021-11-29,210
2021-12-06,199
2021-12-13,150
2021-12-20,197
2021-12-27,346
2022-01-03,604
2022-01-10,683
2022-01-17,660
2022-01-24,443
2022-01-31,300
2022-02-07,166
2022-02-14,115
2022-02-21,49
2022-02-28,37
2022-03-07,28
2022-03-14,35
2022-03-21,29
2022-03-28,36
2022-04-04,32
2022-04-11,32
2022-04-18,57
2022-04-25,84
2022-05-02,117
2022-05-09,117
2022-05-16,70
2022-05-23,81
2022-05-30,46
2022-06-06,62
2022-06-13,44
2022-06-20,50
2022-06-27,50
2022-07-04,44
2022-07-11,49
2022-07-18,29
2022-07-25,42
2022-08-01,56
2022-08-08,54
2022-08-15,57
2022-08-22,61
2022-08-29,82
2022-09-05,65
2022-09-12,49
2022-09-19,51
2022-09-26,33
2022-10-03,41
2022-10-10,39
2022-10-17,55
2022-10-24,24
2022-10-31,34
2022-11-07,27
2022-11-14,20
2022-11-21,30
2022-11-28,42
2022-12-05,32
2022-12-12,28
2022-12-19,25
2022-12-26,35
2023-01-02,30
2023-01-09,26
2023-01-16,22
2023-01-23,21
2023-01-30,29
2023-02-06,32
2023-02-13,30
2023-02-20,25
2023-02-27,30
2023-03-06,20
2023-03-13,29
2023-03-20,43
2023-03-27,33
2023-04-03,33
2023-04-10,15
2023-04-17,12
2023-04-24,8
2023-05-01,12
2023-05-08,14
2023-05-15,11
2023-05-22,10
2023-05-29,3
2023-06-05,9
2023-06-12,6
2023-06-19,1
2023-06-26,7
2023-07-03,2
2023-07-10,6
2023-07-17,8
2023-07-24,3
2023-07-31,5
2023-08-07,6
2023-08-14,8
2023-08-21,11
2023-08-28,25
2023-09-04,28
2023-09-11,32
2023-09-18,22
2023-09-25,33
2023-10-02,26
2023-10-09,13
2023-10-16,14
2023-10-23,12
2023-10-30,14
2023-11-06,39
2023-11-13,45
2023-11-20,21
2023-11-27,41
2023-12-04,44
2023-12-11,85
2023-12-18,78
2023-12-25,55
2024-01-01,48
2024-01-08,34
2024-01-15,19
2024-01-22,24
2024-01-29,30
2024-02-05,30
2024-02-12,22
2024-02-19,25
2024-02-26,25
2024-03-04,33
2024-03-11,3
