Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,14
2020-03-16,46
2020-03-23,56
2020-03-30,75
2020-04-06,89
2020-04-13,105
2020-04-20,101
2020-04-27,93
2020-05-04,102
2020-05-11,186
2020-05-18,161
2020-05-25,163
2020-06-01,151
2020-06-08,148
2020-06-15,119
2020-06-22,259
2020-06-29,235
2020-07-06,233
2020-07-13,339
2020-07-20,369
2020-07-27,273
2020-08-03,289
2020-08-10,242
2020-08-17,301
2020-08-24,353
2020-08-31,292
2020-09-07,434
2020-09-14,383
2020-09-21,412
2020-09-28,204
2020-10-05,240
2020-10-12,266
2020-10-19,334
2020-10-26,330
2020-11-02,526
2020-11-09,836
2020-11-16,778
2020-11-23,673
2020-11-30,746
2020-12-07,501
2020-12-14,387
2020-12-21,277
2020-12-28,333
2021-01-04,388
2021-01-11,277
2021-01-18,248
2021-01-25,239
2021-02-01,260
2021-02-08,415
2021-02-15,274
2021-02-22,165
2021-03-01,198
2021-03-08,279
2021-03-15,551
2021-03-22,976
2021-03-29,820
2021-04-05,833
2021-04-12,673
2021-04-19,465
2021-04-26,487
2021-05-03,311
2021-05-10,348
2021-05-17,346
2021-05-24,238
2021-05-31,171
2021-06-07,169
2021-06-14,168
2021-06-21,148
2021-06-28,134
2021-07-05,107
2021-07-12,153
2021-07-19,229
2021-07-26,251
2021-08-02,289
2021-08-09,359
2021-08-16,397
2021-08-23,375
2021-08-30,363
2021-09-06,339
2021-09-13,327
2021-09-20,369
2021-09-27,368
2021-10-04,409
2021-10-11,531
2021-10-18,594
2021-10-25,612
2021-11-01,799
2021-11-08,836
2021-11-15,900
2021-11-22,597
2021-11-29,679
2021-12-06,598
2021-12-13,387
2021-12-20,447
2021-12-27,914
2022-01-03,1546
2022-01-10,1793
2022-01-17,1505
2022-01-24,1023
2022-01-31,506
2022-02-07,291
2022-02-14,213
2022-02-21,119
2022-02-28,102
2022-03-07,95
2022-03-14,99
2022-03-21,101
2022-03-28,89
2022-04-04,91
2022-04-11,144
2022-04-18,188
2022-04-25,229
2022-05-02,274
2022-05-09,298
2022-05-16,308
2022-05-23,263
2022-05-30,219
2022-06-06,208
2022-06-13,184
2022-06-20,173
2022-06-27,198
2022-07-04,185
2022-07-11,229
2022-07-18,256
2022-07-25,343
2022-08-01,302
2022-08-08,284
2022-08-15,308
2022-08-22,277
2022-08-29,232
2022-09-05,220
2022-09-12,229
2022-09-19,189
2022-09-26,206
2022-10-03,238
2022-10-10,251
2022-10-17,236
2022-10-24,199
2022-10-31,189
2022-11-07,162
2022-11-14,152
2022-11-21,139
2022-11-28,200
2022-12-05,208
2022-12-12,269
2022-12-19,165
2022-12-26,127
2023-01-02,113
2023-01-09,83
2023-01-16,67
2023-01-23,59
2023-01-30,69
2023-02-06,77
2023-02-13,86
2023-02-20,106
2023-02-27,88
2023-03-06,73
2023-03-13,80
2023-03-20,74
2023-03-27,60
2023-04-03,68
2023-04-10,50
2023-04-17,39
2023-04-24,42
2023-05-01,35
2023-05-08,36
2023-05-15,36
2023-05-22,26
2023-05-29,17
2023-06-05,16
2023-06-12,9
2023-06-19,7
2023-06-26,7
2023-07-03,2
2023-07-10,9
2023-07-17,13
2023-07-24,15
2023-07-31,19
2023-08-07,26
2023-08-14,40
2023-08-21,38
2023-08-28,50
2023-09-04,54
2023-09-11,72
2023-09-18,103
2023-09-25,49
2023-10-02,49
2023-10-09,46
2023-10-16,29
2023-10-23,47
2023-10-30,75
2023-11-06,101
2023-11-13,90
2023-11-20,115
2023-11-27,178
2023-12-04,204
2023-12-11,206
2023-12-18,197
2023-12-25,196
2024-01-01,133
2024-01-08,96
2024-01-15,68
2024-01-22,77
2024-01-29,66
2024-02-05,75
2024-02-12,91
2024-02-19,95
2024-02-26,58
2024-03-04,43
2024-03-11,7
