Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,3
2020-03-16,23
2020-03-23,52
2020-03-30,63
2020-04-06,79
2020-04-13,146
2020-04-20,244
2020-04-27,236
2020-05-04,211
2020-05-11,206
2020-05-18,175
2020-05-25,250
2020-06-01,160
2020-06-08,176
2020-06-15,233
2020-06-22,302
2020-06-29,316
2020-07-06,385
2020-07-13,440
2020-07-20,399
2020-07-27,383
2020-08-03,440
2020-08-10,462
2020-08-17,413
2020-08-24,408
2020-08-31,464
2020-09-07,524
2020-09-14,645
2020-09-21,610
2020-09-28,489
2020-10-05,548
2020-10-12,541
2020-10-19,558
2020-10-26,645
2020-11-02,980
2020-11-09,985
2020-11-16,939
2020-11-23,783
2020-11-30,752
2020-12-07,648
2020-12-14,551
2020-12-21,493
2020-12-28,594
2021-01-04,612
2021-01-11,417
2021-01-18,331
2021-01-25,293
2021-02-01,263
2021-02-08,616
2021-02-15,422
2021-02-22,306
2021-03-01,365
2021-03-08,448
2021-03-15,676
2021-03-22,1228
2021-03-29,1097
2021-04-05,1031
2021-04-12,847
2021-04-19,837
2021-04-26,938
2021-05-03,468
2021-05-10,426
2021-05-17,514
2021-05-24,341
2021-05-31,295
2021-06-07,263
2021-06-14,249
2021-06-21,203
2021-06-28,167
2021-07-05,183
2021-07-12,225
2021-07-19,289
2021-07-26,435
2021-08-02,558
2021-08-09,652
2021-08-16,674
2021-08-23,674
2021-08-30,576
2021-09-06,437
2021-09-13,517
2021-09-20,512
2021-09-27,576
2021-10-04,625
2021-10-11,721
2021-10-18,819
2021-10-25,596
2021-11-01,761
2021-11-08,885
2021-11-15,955
2021-11-22,872
2021-11-29,1104
2021-12-06,853
2021-12-13,765
2021-12-20,931
2021-12-27,1778
2022-01-03,3261
2022-01-10,2869
2022-01-17,2123
2022-01-24,1592
2022-01-31,925
2022-02-07,576
2022-02-14,368
2022-02-21,255
2022-02-28,234
2022-03-07,173
2022-03-14,169
2022-03-21,201
2022-03-28,189
2022-04-04,191
2022-04-11,243
2022-04-18,290
2022-04-25,341
2022-05-02,466
2022-05-09,524
2022-05-16,568
2022-05-23,489
2022-05-30,367
2022-06-06,368
2022-06-13,398
2022-06-20,380
2022-06-27,362
2022-07-04,450
2022-07-11,439
2022-07-18,467
2022-07-25,507
2022-08-01,435
2022-08-08,411
2022-08-15,373
2022-08-22,387
2022-08-29,335
2022-09-05,329
2022-09-12,410
2022-09-19,316
2022-09-26,273
2022-10-03,228
2022-10-10,201
2022-10-17,212
2022-10-24,160
2022-10-31,165
2022-11-07,121
2022-11-14,154
2022-11-21,147
2022-11-28,233
2022-12-05,299
2022-12-12,292
2022-12-19,231
2022-12-26,152
2023-01-02,167
2023-01-09,125
2023-01-16,90
2023-01-23,129
2023-01-30,144
2023-02-06,127
2023-02-13,144
2023-02-20,168
2023-02-27,102
2023-03-06,103
2023-03-13,95
2023-03-20,87
2023-03-27,75
2023-04-03,50
2023-04-10,54
2023-04-17,53
2023-04-24,45
2023-05-01,28
2023-05-08,31
2023-05-15,20
2023-05-22,26
2023-05-29,16
2023-06-05,16
2023-06-12,11
2023-06-19,12
2023-06-26,8
2023-07-03,10
2023-07-10,27
2023-07-17,21
2023-07-24,30
2023-07-31,30
2023-08-07,33
2023-08-14,42
2023-08-21,62
2023-08-28,67
2023-09-04,103
2023-09-11,92
2023-09-18,110
2023-09-25,99
2023-10-02,71
2023-10-09,50
2023-10-16,52
2023-10-23,60
2023-10-30,56
2023-11-06,65
2023-11-13,91
2023-11-20,130
2023-11-27,170
2023-12-04,165
2023-12-11,173
2023-12-18,160
2023-12-25,162
2024-01-01,140
2024-01-08,105
2024-01-15,76
2024-01-22,79
2024-01-29,74
2024-02-05,94
2024-02-12,105
2024-02-19,106
2024-02-26,65
2024-03-04,45
2024-03-11,3
