Week,Cases
2020-02-24,1
2020-03-02,8
2020-03-09,14
2020-03-16,49
2020-03-23,113
2020-03-30,140
2020-04-06,280
2020-04-13,461
2020-04-20,873
2020-04-27,898
2020-05-04,867
2020-05-11,974
2020-05-18,939
2020-05-25,800
2020-06-01,653
2020-06-08,493
2020-06-15,657
2020-06-22,1217
2020-06-29,1344
2020-07-06,1435
2020-07-13,1370
2020-07-20,1303
2020-07-27,1224
2020-08-03,1164
2020-08-10,1047
2020-08-17,1117
2020-08-24,1243
2020-08-31,1170
2020-09-07,1102
2020-09-14,1271
2020-09-21,1333
2020-09-28,677
2020-10-05,1024
2020-10-12,1227
2020-10-19,1898
2020-10-26,2653
2020-11-02,3867
2020-11-09,4572
2020-11-16,3517
2020-11-23,2821
2020-11-30,2764
2020-12-07,2071
2020-12-14,1562
2020-12-21,1355
2020-12-28,1588
2021-01-04,1460
2021-01-11,1184
2021-01-18,937
2021-01-25,729
2021-02-01,849
2021-02-08,1646
2021-02-15,1062
2021-02-22,506
2021-03-01,570
2021-03-08,825
2021-03-15,1333
2021-03-22,2963
2021-03-29,2840
2021-04-05,2819
2021-04-12,2621
2021-04-19,2351
2021-04-26,2309
2021-05-03,1232
2021-05-10,1267
2021-05-17,1437
2021-05-24,1018
2021-05-31,742
2021-06-07,695
2021-06-14,587
2021-06-21,470
2021-06-28,438
2021-07-05,479
2021-07-12,507
2021-07-19,667
2021-07-26,869
2021-08-02,1033
2021-08-09,1334
2021-08-16,1419
2021-08-23,1718
2021-08-30,1473
2021-09-06,1273
2021-09-13,1312
2021-09-20,1319
2021-09-27,1496
2021-10-04,1650
2021-10-11,1995
2021-10-18,2116
2021-10-25,1763
2021-11-01,2325
2021-11-08,2790
2021-11-15,3141
2021-11-22,2481
2021-11-29,2861
2021-12-06,2148
2021-12-13,1862
2021-12-20,2825
2021-12-27,5677
2022-01-03,7824
2022-01-10,7266
2022-01-17,5796
2022-01-24,3934
2022-01-31,2401
2022-02-07,1300
2022-02-14,801
2022-02-21,564
2022-02-28,406
2022-03-07,373
2022-03-14,399
2022-03-21,399
2022-03-28,359
2022-04-04,362
2022-04-11,498
2022-04-18,665
2022-04-25,880
2022-05-02,1309
2022-05-09,1402
2022-05-16,1164
2022-05-23,1092
2022-05-30,962
2022-06-06,896
2022-06-13,877
2022-06-20,787
2022-06-27,783
2022-07-04,761
2022-07-11,803
2022-07-18,921
2022-07-25,903
2022-08-01,982
2022-08-08,867
2022-08-15,887
2022-08-22,803
2022-08-29,893
2022-09-05,760
2022-09-12,719
2022-09-19,562
2022-09-26,524
2022-10-03,495
2022-10-10,523
2022-10-17,548
2022-10-24,372
2022-10-31,441
2022-11-07,352
2022-11-14,369
2022-11-21,401
2022-11-28,586
2022-12-05,608
2022-12-12,637
2022-12-19,494
2022-12-26,409
2023-01-02,382
2023-01-09,340
2023-01-16,281
2023-01-23,287
2023-01-30,291
2023-02-06,304
2023-02-13,331
2023-02-20,296
2023-02-27,286
2023-03-06,354
2023-03-13,324
2023-03-20,303
2023-03-27,306
2023-04-03,222
2023-04-10,178
2023-04-17,167
2023-04-24,98
2023-05-01,130
2023-05-08,110
2023-05-15,83
2023-05-22,75
2023-05-29,50
2023-06-05,46
2023-06-12,49
2023-06-19,25
2023-06-26,26
2023-07-03,34
2023-07-10,31
2023-07-17,72
2023-07-24,62
2023-07-31,83
2023-08-07,112
2023-08-14,132
2023-08-21,137
2023-08-28,181
2023-09-04,209
2023-09-11,175
2023-09-18,198
2023-09-25,203
2023-10-02,162
2023-10-09,144
2023-10-16,169
2023-10-23,164
2023-10-30,181
2023-11-06,199
2023-11-13,210
2023-11-20,230
2023-11-27,369
2023-12-04,373
2023-12-11,443
2023-12-18,430
2023-12-25,414
2024-01-01,336
2024-01-08,218
2024-01-15,133
2024-01-22,120
2024-01-29,157
2024-02-05,144
2024-02-12,134
2024-02-19,144
2024-02-26,111
2024-03-04,71
2024-03-11,13
