Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,1
2020-05-11,0
2020-05-18,0
2020-05-25,1
2020-06-01,0
2020-06-08,1
2020-06-15,0
2020-06-22,2
2020-06-29,3
2020-07-06,1
2020-07-13,1
2020-07-20,1
2020-07-27,0
2020-08-03,0
2020-08-10,1
2020-08-17,1
2020-08-24,3
2020-08-31,2
2020-09-07,3
2020-09-14,2
2020-09-21,4
2020-09-28,2
2020-10-05,3
2020-10-12,3
2020-10-19,4
2020-10-26,3
2020-11-02,13
2020-11-09,23
2020-11-16,4
2020-11-23,3
2020-11-30,8
2020-12-07,2
2020-12-14,1
2020-12-21,5
2020-12-28,6
2021-01-04,11
2021-01-11,17
2021-01-18,8
2021-01-25,3
2021-02-01,2
2021-02-08,9
2021-02-15,9
2021-02-22,3
2021-03-01,3
2021-03-08,1
2021-03-15,6
2021-03-22,4
2021-03-29,5
2021-04-05,7
2021-04-12,2
2021-04-19,3
2021-04-26,2
2021-05-03,0
2021-05-10,5
2021-05-17,2
2021-05-24,1
2021-05-31,0
2021-06-07,0
2021-06-14,3
2021-06-21,2
2021-06-28,2
2021-07-05,1
2021-07-12,1
2021-07-19,2
2021-07-26,2
2021-08-02,1
2021-08-09,3
2021-08-16,8
2021-08-23,4
2021-08-30,5
2021-09-06,5
2021-09-13,7
2021-09-20,5
2021-09-27,11
2021-10-04,6
2021-10-11,11
2021-10-18,16
2021-10-25,16
2021-11-01,20
2021-11-08,25
2021-11-15,19
2021-11-22,11
2021-11-29,15
2021-12-06,5
2021-12-13,0
2021-12-20,4
2021-12-27,7
2022-01-03,9
2022-01-10,24
2022-01-17,20
2022-01-24,15
2022-01-31,11
2022-02-07,5
2022-02-14,5
2022-02-21,0
2022-02-28,2
2022-03-07,3
2022-03-14,2
2022-03-21,5
2022-03-28,4
2022-04-04,0
2022-04-11,2
2022-04-18,2
2022-04-25,6
2022-05-02,6
2022-05-09,10
2022-05-16,5
2022-05-23,4
2022-05-30,1
2022-06-06,5
2022-06-13,5
2022-06-20,3
2022-06-27,3
2022-07-04,6
2022-07-11,8
2022-07-18,6
2022-07-25,10
2022-08-01,4
2022-08-08,5
2022-08-15,2
2022-08-22,4
2022-08-29,2
2022-09-05,3
2022-09-12,9
2022-09-19,1
2022-09-26,4
2022-10-03,2
2022-10-10,1
2022-10-17,2
2022-10-24,2
2022-10-31,0
2022-11-07,0
2022-11-14,0
2022-11-21,0
2022-11-28,2
2022-12-05,1
2022-12-12,3
2022-12-19,0
2022-12-26,0
2023-01-02,4
2023-01-09,2
2023-01-16,3
2023-01-23,1
2023-01-30,1
2023-02-06,0
2023-02-13,2
2023-02-20,6
2023-02-27,1
2023-03-06,1
2023-03-13,1
2023-03-20,1
2023-03-27,1
2023-04-03,0
2023-04-10,0
2023-04-17,1
2023-04-24,0
2023-05-01,0
2023-05-08,2
2023-05-15,0
2023-05-22,1
2023-05-29,0
2023-06-05,2
2023-06-12,0
2023-06-19,1
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,1
2023-07-24,0
2023-07-31,1
2023-08-07,0
2023-08-14,6
2023-08-21,1
2023-08-28,0
2023-09-04,3
2023-09-11,2
2023-09-18,1
2023-09-25,2
2023-10-02,0
2023-10-09,4
2023-10-16,1
2023-10-23,1
2023-10-30,2
2023-11-06,0
2023-11-13,1
2023-11-20,1
2023-11-27,0
2023-12-04,1
2023-12-11,0
2023-12-18,3
2023-12-25,3
2024-01-01,4
2024-01-08,2
2024-01-15,1
2024-01-22,3
2024-01-29,0
2024-02-05,1
2024-02-12,1
2024-02-19,0
2024-02-26,0
2024-03-04,2
2024-03-11,0
