Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,1
2020-03-30,0
2020-04-06,4
2020-04-13,0
2020-04-20,3
2020-04-27,14
2020-05-04,3
2020-05-11,11
2020-05-18,5
2020-05-25,4
2020-06-01,6
2020-06-08,5
2020-06-15,11
2020-06-22,5
2020-06-29,12
2020-07-06,9
2020-07-13,11
2020-07-20,12
2020-07-27,20
2020-08-03,13
2020-08-10,20
2020-08-17,11
2020-08-24,17
2020-08-31,8
2020-09-07,9
2020-09-14,5
2020-09-21,13
2020-09-28,1
2020-10-05,4
2020-10-12,17
2020-10-19,12
2020-10-26,21
2020-11-02,26
2020-11-09,32
2020-11-16,30
2020-11-23,22
2020-11-30,31
2020-12-07,20
2020-12-14,16
2020-12-21,11
2020-12-28,18
2021-01-04,17
2021-01-11,13
2021-01-18,3
2021-01-25,5
2021-02-01,10
2021-02-08,27
2021-02-15,9
2021-02-22,7
2021-03-01,5
2021-03-08,14
2021-03-15,19
2021-03-22,42
2021-03-29,35
2021-04-05,28
2021-04-12,31
2021-04-19,29
2021-04-26,33
2021-05-03,11
2021-05-10,25
2021-05-17,14
2021-05-24,12
2021-05-31,10
2021-06-07,15
2021-06-14,12
2021-06-21,8
2021-06-28,6
2021-07-05,5
2021-07-12,2
2021-07-19,11
2021-07-26,17
2021-08-02,7
2021-08-09,29
2021-08-16,16
2021-08-23,27
2021-08-30,28
2021-09-06,20
2021-09-13,30
2021-09-20,15
2021-09-27,24
2021-10-04,41
2021-10-11,29
2021-10-18,33
2021-10-25,30
2021-11-01,17
2021-11-08,41
2021-11-15,51
2021-11-22,35
2021-11-29,56
2021-12-06,35
2021-12-13,24
2021-12-20,25
2021-12-27,30
2022-01-03,33
2022-01-10,59
2022-01-17,60
2022-01-24,55
2022-01-31,43
2022-02-07,37
2022-02-14,22
2022-02-21,17
2022-02-28,17
2022-03-07,5
2022-03-14,8
2022-03-21,6
2022-03-28,4
2022-04-04,7
2022-04-11,6
2022-04-18,5
2022-04-25,16
2022-05-02,19
2022-05-09,19
2022-05-16,18
2022-05-23,14
2022-05-30,15
2022-06-06,9
2022-06-13,13
2022-06-20,17
2022-06-27,12
2022-07-04,15
2022-07-11,12
2022-07-18,19
2022-07-25,11
2022-08-01,11
2022-08-08,18
2022-08-15,20
2022-08-22,24
2022-08-29,10
2022-09-05,8
2022-09-12,15
2022-09-19,9
2022-09-26,14
2022-10-03,14
2022-10-10,10
2022-10-17,10
2022-10-24,16
2022-10-31,8
2022-11-07,7
2022-11-14,8
2022-11-21,12
2022-11-28,7
2022-12-05,10
2022-12-12,7
2022-12-19,6
2022-12-26,6
2023-01-02,9
2023-01-09,11
2023-01-16,2
2023-01-23,11
2023-01-30,3
2023-02-06,8
2023-02-13,6
2023-02-20,6
2023-02-27,6
2023-03-06,6
2023-03-13,3
2023-03-20,4
2023-03-27,2
2023-04-03,4
2023-04-10,6
2023-04-17,6
2023-04-24,5
2023-05-01,2
2023-05-08,1
2023-05-15,1
2023-05-22,0
2023-05-29,0
2023-06-05,1
2023-06-12,3
2023-06-19,0
2023-06-26,2
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,2
2023-08-14,5
2023-08-21,2
2023-08-28,5
2023-09-04,5
2023-09-11,9
2023-09-18,3
2023-09-25,4
2023-10-02,6
2023-10-09,4
2023-10-16,0
2023-10-23,5
2023-10-30,2
2023-11-06,10
2023-11-13,6
2023-11-20,6
2023-11-27,9
2023-12-04,16
2023-12-11,9
2023-12-18,4
2023-12-25,16
2024-01-01,7
2024-01-08,4
2024-01-15,0
2024-01-22,5
2024-01-29,0
2024-02-05,3
2024-02-12,2
2024-02-19,4
2024-02-26,4
2024-03-04,3
2024-03-11,0
