Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,4
2020-03-16,16
2020-03-23,37
2020-03-30,54
2020-04-06,44
2020-04-13,30
2020-04-20,25
2020-04-27,27
2020-05-04,28
2020-05-11,47
2020-05-18,45
2020-05-25,44
2020-06-01,81
2020-06-08,38
2020-06-15,86
2020-06-22,96
2020-06-29,102
2020-07-06,84
2020-07-13,126
2020-07-20,132
2020-07-27,119
2020-08-03,102
2020-08-10,102
2020-08-17,88
2020-08-24,67
2020-08-31,63
2020-09-07,77
2020-09-14,91
2020-09-21,86
2020-09-28,48
2020-10-05,92
2020-10-12,96
2020-10-19,109
2020-10-26,181
2020-11-02,297
2020-11-09,388
2020-11-16,443
2020-11-23,404
2020-11-30,402
2020-12-07,312
2020-12-14,233
2020-12-21,152
2020-12-28,155
2021-01-04,157
2021-01-11,92
2021-01-18,82
2021-01-25,85
2021-02-01,135
2021-02-08,208
2021-02-15,172
2021-02-22,107
2021-03-01,169
2021-03-08,206
2021-03-15,409
2021-03-22,673
2021-03-29,618
2021-04-05,533
2021-04-12,414
2021-04-19,381
2021-04-26,260
2021-05-03,145
2021-05-10,131
2021-05-17,131
2021-05-24,95
2021-05-31,65
2021-06-07,48
2021-06-14,24
2021-06-21,21
2021-06-28,30
2021-07-05,25
2021-07-12,32
2021-07-19,53
2021-07-26,68
2021-08-02,134
2021-08-09,175
2021-08-16,159
2021-08-23,166
2021-08-30,156
2021-09-06,166
2021-09-13,151
2021-09-20,161
2021-09-27,255
2021-10-04,280
2021-10-11,289
2021-10-18,240
2021-10-25,195
2021-11-01,308
2021-11-08,417
2021-11-15,415
2021-11-22,475
2021-11-29,525
2021-12-06,382
2021-12-13,304
2021-12-20,260
2021-12-27,517
2022-01-03,805
2022-01-10,780
2022-01-17,754
2022-01-24,450
2022-01-31,211
2022-02-07,175
2022-02-14,83
2022-02-21,58
2022-02-28,40
2022-03-07,32
2022-03-14,32
2022-03-21,27
2022-03-28,29
2022-04-04,39
2022-04-11,55
2022-04-18,54
2022-04-25,87
2022-05-02,130
2022-05-09,139
2022-05-16,113
2022-05-23,115
2022-05-30,81
2022-06-06,107
2022-06-13,68
2022-06-20,48
2022-06-27,65
2022-07-04,83
2022-07-11,98
2022-07-18,86
2022-07-25,102
2022-08-01,121
2022-08-08,117
2022-08-15,133
2022-08-22,122
2022-08-29,148
2022-09-05,139
2022-09-12,112
2022-09-19,122
2022-09-26,80
2022-10-03,97
2022-10-10,71
2022-10-17,70
2022-10-24,120
2022-10-31,87
2022-11-07,56
2022-11-14,66
2022-11-21,77
2022-11-28,94
2022-12-05,94
2022-12-12,85
2022-12-19,75
2022-12-26,80
2023-01-02,46
2023-01-09,59
2023-01-16,45
2023-01-23,27
2023-01-30,34
2023-02-06,35
2023-02-13,46
2023-02-20,36
2023-02-27,44
2023-03-06,27
2023-03-13,27
2023-03-20,25
2023-03-27,30
2023-04-03,21
2023-04-10,23
2023-04-17,14
2023-04-24,24
2023-05-01,17
2023-05-08,11
2023-05-15,16
2023-05-22,7
2023-05-29,1
2023-06-05,2
2023-06-12,4
2023-06-19,10
2023-06-26,2
2023-07-03,3
2023-07-10,4
2023-07-17,2
2023-07-24,6
2023-07-31,10
2023-08-07,18
2023-08-14,18
2023-08-21,21
2023-08-28,36
2023-09-04,41
2023-09-11,33
2023-09-18,46
2023-09-25,31
2023-10-02,17
2023-10-09,31
2023-10-16,24
2023-10-23,26
2023-10-30,21
2023-11-06,41
2023-11-13,50
2023-11-20,76
2023-11-27,73
2023-12-04,75
2023-12-11,71
2023-12-18,67
2023-12-25,82
2024-01-01,69
2024-01-08,31
2024-01-15,29
2024-01-22,33
2024-01-29,30
2024-02-05,30
2024-02-12,25
2024-02-19,26
2024-02-26,24
2024-03-04,28
2024-03-11,0
