Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,0
2020-03-23,3
2020-03-30,5
2020-04-06,3
2020-04-13,2
2020-04-20,1
2020-04-27,0
2020-05-04,2
2020-05-11,5
2020-05-18,1
2020-05-25,1
2020-06-01,5
2020-06-08,4
2020-06-15,17
2020-06-22,4
2020-06-29,24
2020-07-06,22
2020-07-13,15
2020-07-20,11
2020-07-27,13
2020-08-03,11
2020-08-10,15
2020-08-17,25
2020-08-24,3
2020-08-31,11
2020-09-07,10
2020-09-14,16
2020-09-21,8
2020-09-28,5
2020-10-05,11
2020-10-12,19
2020-10-19,18
2020-10-26,35
2020-11-02,55
2020-11-09,58
2020-11-16,56
2020-11-23,58
2020-11-30,60
2020-12-07,46
2020-12-14,43
2020-12-21,51
2020-12-28,37
2021-01-04,56
2021-01-11,45
2021-01-18,26
2021-01-25,11
2021-02-01,12
2021-02-08,23
2021-02-15,34
2021-02-22,21
2021-03-01,19
2021-03-08,31
2021-03-15,31
2021-03-22,44
2021-03-29,81
2021-04-05,65
2021-04-12,36
2021-04-19,25
2021-04-26,19
2021-05-03,18
2021-05-10,11
2021-05-17,10
2021-05-24,15
2021-05-31,4
2021-06-07,4
2021-06-14,8
2021-06-21,8
2021-06-28,7
2021-07-05,13
2021-07-12,9
2021-07-19,26
2021-07-26,17
2021-08-02,17
2021-08-09,47
2021-08-16,41
2021-08-23,27
2021-08-30,21
2021-09-06,45
2021-09-13,43
2021-09-20,35
2021-09-27,44
2021-10-04,29
2021-10-11,27
2021-10-18,41
2021-10-25,67
2021-11-01,108
2021-11-08,90
2021-11-15,122
2021-11-22,132
2021-11-29,98
2021-12-06,79
2021-12-13,50
2021-12-20,61
2021-12-27,127
2022-01-03,193
2022-01-10,177
2022-01-17,122
2022-01-24,95
2022-01-31,74
2022-02-07,31
2022-02-14,31
2022-02-21,18
2022-02-28,17
2022-03-07,14
2022-03-14,10
2022-03-21,13
2022-03-28,9
2022-04-04,15
2022-04-11,21
2022-04-18,15
2022-04-25,32
2022-05-02,41
2022-05-09,29
2022-05-16,33
2022-05-23,35
2022-05-30,20
2022-06-06,39
2022-06-13,26
2022-06-20,20
2022-06-27,17
2022-07-04,20
2022-07-11,17
2022-07-18,26
2022-07-25,18
2022-08-01,17
2022-08-08,18
2022-08-15,11
2022-08-22,19
2022-08-29,18
2022-09-05,12
2022-09-12,10
2022-09-19,14
2022-09-26,23
2022-10-03,16
2022-10-10,18
2022-10-17,17
2022-10-24,17
2022-10-31,14
2022-11-07,11
2022-11-14,12
2022-11-21,11
2022-11-28,9
2022-12-05,9
2022-12-12,13
2022-12-19,13
2022-12-26,20
2023-01-02,21
2023-01-09,9
2023-01-16,3
2023-01-23,7
2023-01-30,5
2023-02-06,1
2023-02-13,7
2023-02-20,4
2023-02-27,7
2023-03-06,8
2023-03-13,7
2023-03-20,7
2023-03-27,7
2023-04-03,7
2023-04-10,2
2023-04-17,2
2023-04-24,1
2023-05-01,3
2023-05-08,4
2023-05-15,0
2023-05-22,1
2023-05-29,2
2023-06-05,2
2023-06-12,2
2023-06-19,1
2023-06-26,0
2023-07-03,2
2023-07-10,2
2023-07-17,1
2023-07-24,1
2023-07-31,1
2023-08-07,0
2023-08-14,6
2023-08-21,3
2023-08-28,6
2023-09-04,3
2023-09-11,7
2023-09-18,3
2023-09-25,4
2023-10-02,10
2023-10-09,10
2023-10-16,8
2023-10-23,4
2023-10-30,3
2023-11-06,4
2023-11-13,8
2023-11-20,1
2023-11-27,8
2023-12-04,3
2023-12-11,7
2023-12-18,10
2023-12-25,9
2024-01-01,15
2024-01-08,2
2024-01-15,1
2024-01-22,2
2024-01-29,5
2024-02-05,1
2024-02-12,1
2024-02-19,8
2024-02-26,2
2024-03-04,2
2024-03-11,0
