Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,5
2020-03-16,15
2020-03-23,16
2020-03-30,22
2020-04-06,27
2020-04-13,24
2020-04-20,29
2020-04-27,37
2020-05-04,35
2020-05-11,32
2020-05-18,47
2020-05-25,45
2020-06-01,53
2020-06-08,110
2020-06-15,62
2020-06-22,120
2020-06-29,132
2020-07-06,111
2020-07-13,133
2020-07-20,110
2020-07-27,97
2020-08-03,135
2020-08-10,129
2020-08-17,121
2020-08-24,170
2020-08-31,142
2020-09-07,177
2020-09-14,100
2020-09-21,97
2020-09-28,72
2020-10-05,78
2020-10-12,86
2020-10-19,114
2020-10-26,133
2020-11-02,264
2020-11-09,333
2020-11-16,412
2020-11-23,334
2020-11-30,398
2020-12-07,350
2020-12-14,306
2020-12-21,262
2020-12-28,335
2021-01-04,360
2021-01-11,317
2021-01-18,233
2021-01-25,180
2021-02-01,187
2021-02-08,323
2021-02-15,198
2021-02-22,126
2021-03-01,111
2021-03-08,114
2021-03-15,168
2021-03-22,365
2021-03-29,483
2021-04-05,502
2021-04-12,450
2021-04-19,355
2021-04-26,301
2021-05-03,174
2021-05-10,156
2021-05-17,140
2021-05-24,125
2021-05-31,75
2021-06-07,88
2021-06-14,59
2021-06-21,63
2021-06-28,59
2021-07-05,54
2021-07-12,73
2021-07-19,95
2021-07-26,131
2021-08-02,157
2021-08-09,203
2021-08-16,270
2021-08-23,265
2021-08-30,270
2021-09-06,275
2021-09-13,363
2021-09-20,336
2021-09-27,366
2021-10-04,428
2021-10-11,444
2021-10-18,465
2021-10-25,447
2021-11-01,494
2021-11-08,487
2021-11-15,541
2021-11-22,417
2021-11-29,462
2021-12-06,375
2021-12-13,275
2021-12-20,349
2021-12-27,730
2022-01-03,1074
2022-01-10,1248
2022-01-17,992
2022-01-24,620
2022-01-31,362
2022-02-07,221
2022-02-14,138
2022-02-21,89
2022-02-28,73
2022-03-07,61
2022-03-14,58
2022-03-21,67
2022-03-28,59
2022-04-04,72
2022-04-11,95
2022-04-18,100
2022-04-25,155
2022-05-02,290
2022-05-09,250
2022-05-16,256
2022-05-23,163
2022-05-30,131
2022-06-06,120
2022-06-13,98
2022-06-20,75
2022-06-27,121
2022-07-04,127
2022-07-11,117
2022-07-18,148
2022-07-25,194
2022-08-01,216
2022-08-08,173
2022-08-15,189
2022-08-22,127
2022-08-29,141
2022-09-05,183
2022-09-12,204
2022-09-19,126
2022-09-26,110
2022-10-03,107
2022-10-10,124
2022-10-17,116
2022-10-24,101
2022-10-31,106
2022-11-07,65
2022-11-14,63
2022-11-21,79
2022-11-28,144
2022-12-05,136
2022-12-12,150
2022-12-19,93
2022-12-26,84
2023-01-02,82
2023-01-09,57
2023-01-16,40
2023-01-23,48
2023-01-30,49
2023-02-06,53
2023-02-13,61
2023-02-20,80
2023-02-27,68
2023-03-06,63
2023-03-13,58
2023-03-20,48
2023-03-27,52
2023-04-03,48
2023-04-10,41
2023-04-17,27
2023-04-24,30
2023-05-01,45
2023-05-08,32
2023-05-15,25
2023-05-22,15
2023-05-29,11
2023-06-05,8
2023-06-12,11
2023-06-19,7
2023-06-26,3
2023-07-03,7
2023-07-10,9
2023-07-17,5
2023-07-24,12
2023-07-31,16
2023-08-07,14
2023-08-14,29
2023-08-21,21
2023-08-28,35
2023-09-04,45
2023-09-11,45
2023-09-18,59
2023-09-25,20
2023-10-02,29
2023-10-09,24
2023-10-16,49
2023-10-23,31
2023-10-30,38
2023-11-06,80
2023-11-13,99
2023-11-20,102
2023-11-27,130
2023-12-04,146
2023-12-11,148
2023-12-18,121
2023-12-25,74
2024-01-01,63
2024-01-08,90
2024-01-15,30
2024-01-22,32
2024-01-29,32
2024-02-05,52
2024-02-12,38
2024-02-19,61
2024-02-26,46
2024-03-04,28
2024-03-11,2
