Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,24
2020-03-16,101
2020-03-23,93
2020-03-30,102
2020-04-06,90
2020-04-13,43
2020-04-20,63
2020-04-27,113
2020-05-04,104
2020-05-11,193
2020-05-18,128
2020-05-25,150
2020-06-01,168
2020-06-08,132
2020-06-15,141
2020-06-22,218
2020-06-29,214
2020-07-06,243
2020-07-13,285
2020-07-20,257
2020-07-27,292
2020-08-03,309
2020-08-10,361
2020-08-17,336
2020-08-24,271
2020-08-31,300
2020-09-07,293
2020-09-14,321
2020-09-21,284
2020-09-28,119
2020-10-05,206
2020-10-12,202
2020-10-19,319
2020-10-26,455
2020-11-02,594
2020-11-09,818
2020-11-16,870
2020-11-23,622
2020-11-30,517
2020-12-07,389
2020-12-14,295
2020-12-21,219
2020-12-28,376
2021-01-04,449
2021-01-11,336
2021-01-18,287
2021-01-25,247
2021-02-01,256
2021-02-08,429
2021-02-15,313
2021-02-22,212
2021-03-01,244
2021-03-08,340
2021-03-15,560
2021-03-22,1041
2021-03-29,877
2021-04-05,890
2021-04-12,669
2021-04-19,590
2021-04-26,537
2021-05-03,214
2021-05-10,263
2021-05-17,309
2021-05-24,189
2021-05-31,175
2021-06-07,159
2021-06-14,162
2021-06-21,154
2021-06-28,105
2021-07-05,128
2021-07-12,169
2021-07-19,207
2021-07-26,268
2021-08-02,343
2021-08-09,439
2021-08-16,579
2021-08-23,599
2021-08-30,452
2021-09-06,373
2021-09-13,361
2021-09-20,535
2021-09-27,664
2021-10-04,686
2021-10-11,747
2021-10-18,696
2021-10-25,609
2021-11-01,934
2021-11-08,1017
2021-11-15,1035
2021-11-22,917
2021-11-29,1075
2021-12-06,804
2021-12-13,671
2021-12-20,777
2021-12-27,1605
2022-01-03,2309
2022-01-10,2373
2022-01-17,1705
2022-01-24,1037
2022-01-31,601
2022-02-07,360
2022-02-14,258
2022-02-21,192
2022-02-28,163
2022-03-07,160
2022-03-14,153
2022-03-21,160
2022-03-28,132
2022-04-04,197
2022-04-11,214
2022-04-18,298
2022-04-25,406
2022-05-02,497
2022-05-09,521
2022-05-16,385
2022-05-23,354
2022-05-30,248
2022-06-06,219
2022-06-13,200
2022-06-20,218
2022-06-27,233
2022-07-04,239
2022-07-11,258
2022-07-18,304
2022-07-25,309
2022-08-01,335
2022-08-08,283
2022-08-15,294
2022-08-22,272
2022-08-29,240
2022-09-05,245
2022-09-12,222
2022-09-19,204
2022-09-26,194
2022-10-03,219
2022-10-10,217
2022-10-17,221
2022-10-24,185
2022-10-31,164
2022-11-07,122
2022-11-14,135
2022-11-21,165
2022-11-28,220
2022-12-05,201
2022-12-12,295
2022-12-19,235
2022-12-26,160
2023-01-02,138
2023-01-09,97
2023-01-16,73
2023-01-23,89
2023-01-30,74
2023-02-06,88
2023-02-13,105
2023-02-20,107
2023-02-27,90
2023-03-06,69
2023-03-13,68
2023-03-20,87
2023-03-27,66
2023-04-03,42
2023-04-10,47
2023-04-17,41
2023-04-24,37
2023-05-01,41
2023-05-08,33
2023-05-15,31
2023-05-22,30
2023-05-29,18
2023-06-05,16
2023-06-12,19
2023-06-19,10
2023-06-26,14
2023-07-03,19
2023-07-10,13
2023-07-17,19
2023-07-24,24
2023-07-31,26
2023-08-07,31
2023-08-14,56
2023-08-21,82
2023-08-28,66
2023-09-04,69
2023-09-11,71
2023-09-18,89
2023-09-25,80
2023-10-02,60
2023-10-09,49
2023-10-16,63
2023-10-23,70
2023-10-30,57
2023-11-06,67
2023-11-13,89
2023-11-20,113
2023-11-27,142
2023-12-04,114
2023-12-11,175
2023-12-18,186
2023-12-25,174
2024-01-01,118
2024-01-08,109
2024-01-15,86
2024-01-22,92
2024-01-29,96
2024-02-05,80
2024-02-12,61
2024-02-19,84
2024-02-26,69
2024-03-04,49
2024-03-11,10
