Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,0
2020-03-30,0
2020-04-06,0
2020-04-13,0
2020-04-20,0
2020-04-27,0
2020-05-04,3
2020-05-11,2
2020-05-18,7
2020-05-25,4
2020-06-01,0
2020-06-08,1
2020-06-15,0
2020-06-22,1
2020-06-29,0
2020-07-06,1
2020-07-13,1
2020-07-20,3
2020-07-27,3
2020-08-03,6
2020-08-10,4
2020-08-17,16
2020-08-24,14
2020-08-31,8
2020-09-07,3
2020-09-14,4
2020-09-21,4
2020-09-28,14
2020-10-05,8
2020-10-12,10
2020-10-19,19
2020-10-26,34
2020-11-02,23
2020-11-09,19
2020-11-16,15
2020-11-23,10
2020-11-30,5
2020-12-07,9
2020-12-14,1
2020-12-21,5
2020-12-28,2
2021-01-04,0
2021-01-11,3
2021-01-18,4
2021-01-25,0
2021-02-01,9
2021-02-08,10
2021-02-15,1
2021-02-22,8
2021-03-01,12
2021-03-08,4
2021-03-15,6
2021-03-22,26
2021-03-29,23
2021-04-05,21
2021-04-12,22
2021-04-19,21
2021-04-26,31
2021-05-03,36
2021-05-10,25
2021-05-17,25
2021-05-24,8
2021-05-31,9
2021-06-07,3
2021-06-14,4
2021-06-21,0
2021-06-28,1
2021-07-05,0
2021-07-12,3
2021-07-19,1
2021-07-26,6
2021-08-02,5
2021-08-09,4
2021-08-16,3
2021-08-23,10
2021-08-30,18
2021-09-06,22
2021-09-13,27
2021-09-20,26
2021-09-27,27
2021-10-04,39
2021-10-11,29
2021-10-18,36
2021-10-25,21
2021-11-01,20
2021-11-08,26
2021-11-15,27
2021-11-22,31
2021-11-29,39
2021-12-06,40
2021-12-13,32
2021-12-20,33
2021-12-27,27
2022-01-03,45
2022-01-10,65
2022-01-17,72
2022-01-24,38
2022-01-31,27
2022-02-07,12
2022-02-14,15
2022-02-21,9
2022-02-28,8
2022-03-07,4
2022-03-14,1
2022-03-21,5
2022-03-28,1
2022-04-04,2
2022-04-11,1
2022-04-18,15
2022-04-25,6
2022-05-02,8
2022-05-09,11
2022-05-16,7
2022-05-23,11
2022-05-30,13
2022-06-06,9
2022-06-13,16
2022-06-20,7
2022-06-27,0
2022-07-04,2
2022-07-11,0
2022-07-18,12
2022-07-25,12
2022-08-01,8
2022-08-08,6
2022-08-15,13
2022-08-22,10
2022-08-29,6
2022-09-05,5
2022-09-12,2
2022-09-19,4
2022-09-26,2
2022-10-03,1
2022-10-10,2
2022-10-17,4
2022-10-24,4
2022-10-31,4
2022-11-07,1
2022-11-14,1
2022-11-21,1
2022-11-28,2
2022-12-05,5
2022-12-12,1
2022-12-19,1
2022-12-26,6
2023-01-02,3
2023-01-09,3
2023-01-16,5
2023-01-23,1
2023-01-30,5
2023-02-06,2
2023-02-13,1
2023-02-20,3
2023-02-27,4
2023-03-06,1
2023-03-13,2
2023-03-20,2
2023-03-27,2
2023-04-03,2
2023-04-10,0
2023-04-17,0
2023-04-24,0
2023-05-01,0
2023-05-08,0
2023-05-15,0
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,0
2023-08-21,3
2023-08-28,3
2023-09-04,2
2023-09-11,1
2023-09-18,1
2023-09-25,3
2023-10-02,1
2023-10-09,1
2023-10-16,1
2023-10-23,0
2023-10-30,1
2023-11-06,0
2023-11-13,0
2023-11-20,0
2023-11-27,4
2023-12-04,4
2023-12-11,0
2023-12-18,3
2023-12-25,4
2024-01-01,10
2024-01-08,16
2024-01-15,12
2024-01-22,5
2024-01-29,2
2024-02-05,5
2024-02-12,5
2024-02-19,0
2024-02-26,1
2024-03-04,1
2024-03-11,1
