Week,Cases
2020-02-24,0
2020-03-02,4
2020-03-09,7
2020-03-16,20
2020-03-23,133
2020-03-30,168
2020-04-06,175
2020-04-13,198
2020-04-20,790
2020-04-27,736
2020-05-04,2987
2020-05-11,7561
2020-05-18,3818
2020-05-25,110
2020-06-01,115
2020-06-08,119
2020-06-15,80
2020-06-22,68
2020-06-29,55
2020-07-06,76
2020-07-13,168
2020-07-20,66
2020-07-27,303
2020-08-03,192
2020-08-10,256
2020-08-17,278
2020-08-24,194
2020-08-31,391
2020-09-07,474
2020-09-14,656
2020-09-21,452
2020-09-28,10
2020-10-05,181
2020-10-12,212
2020-10-19,129
2020-10-26,274
2020-11-02,607
2020-11-09,653
2020-11-16,1124
2020-11-23,697
2020-11-30,1198
2020-12-07,991
2020-12-14,392
2020-12-21,188
2020-12-28,195
2021-01-04,96
2021-01-11,289
2021-01-18,78
2021-01-25,68
2021-02-01,102
2021-02-08,1513
2021-02-15,246
2021-02-22,58
2021-03-01,58
2021-03-08,94
2021-03-15,137
2021-03-22,595
2021-03-29,123
2021-04-05,46
2021-04-12,29
2021-04-19,112
2021-04-26,255
2021-05-03,42
2021-05-10,213
2021-05-17,407
2021-05-24,148
2021-05-31,133
2021-06-07,120
2021-06-14,95
2021-06-21,86
2021-06-28,82
2021-07-05,40
2021-07-12,59
2021-07-19,65
2021-07-26,87
2021-08-02,78
2021-08-09,64
2021-08-16,55
2021-08-23,78
2021-08-30,15
2021-09-06,11
2021-09-13,9
2021-09-20,12
2021-09-27,57
2021-10-04,44
2021-10-11,53
2021-10-18,181
2021-10-25,49
2021-11-01,41
2021-11-08,48
2021-11-15,61
2021-11-22,25
2021-11-29,36
2021-12-06,39
2021-12-13,77
2021-12-20,98
2021-12-27,277
2022-01-03,639
2022-01-10,1024
2022-01-17,892
2022-01-24,863
2022-01-31,649
2022-02-07,218
2022-02-14,191
2022-02-21,249
2022-02-28,95
2022-03-07,38
2022-03-14,36
2022-03-21,49
2022-03-28,41
2022-04-04,52
2022-04-11,74
2022-04-18,70
2022-04-25,99
2022-05-02,69
2022-05-09,60
2022-05-16,123
2022-05-23,67
2022-05-30,36
2022-06-06,54
2022-06-13,52
2022-06-20,48
2022-06-27,93
2022-07-04,121
2022-07-11,91
2022-07-18,118
2022-07-25,106
2022-08-01,160
2022-08-08,120
2022-08-15,177
2022-08-22,146
2022-08-29,208
2022-09-05,183
2022-09-12,154
2022-09-19,116
2022-09-26,65
2022-10-03,58
2022-10-10,42
2022-10-17,35
2022-10-24,37
2022-10-31,98
2022-11-07,53
2022-11-14,65
2022-11-21,89
2022-11-28,114
2022-12-05,53
2022-12-12,38
2022-12-19,49
2022-12-26,28
2023-01-02,48
2023-01-09,33
2023-01-16,24
2023-01-23,64
2023-01-30,165
2023-02-06,121
2023-02-13,33
2023-02-20,45
2023-02-27,35
2023-03-06,35
2023-03-13,64
2023-03-20,49
2023-03-27,64
2023-04-03,39
2023-04-10,22
2023-04-17,29
2023-04-24,17
2023-05-01,30
2023-05-08,23
2023-05-15,15
2023-05-22,9
2023-05-29,10
2023-06-05,10
2023-06-12,6
2023-06-19,13
2023-06-26,17
2023-07-03,11
2023-07-10,19
2023-07-17,23
2023-07-24,29
2023-07-31,29
2023-08-07,29
2023-08-14,26
2023-08-21,24
2023-08-28,41
2023-09-04,45
2023-09-11,50
2023-09-18,31
2023-09-25,54
2023-10-02,48
2023-10-09,42
2023-10-16,37
2023-10-23,30
2023-10-30,26
2023-11-06,43
2023-11-13,74
2023-11-20,41
2023-11-27,93
2023-12-04,102
2023-12-11,95
2023-12-18,104
2023-12-25,39
2024-01-01,24
2024-01-08,57
2024-01-15,71
2024-01-22,36
2024-01-29,54
2024-02-05,19
2024-02-12,74
2024-02-19,73
2024-02-26,60
2024-03-04,51
2024-03-11,11
