Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,3
2020-03-30,2
2020-04-06,0
2020-04-13,0
2020-04-20,2
2020-04-27,1
2020-05-04,2
2020-05-11,2
2020-05-18,3
2020-05-25,2
2020-06-01,0
2020-06-08,1
2020-06-15,1
2020-06-22,8
2020-06-29,0
2020-07-06,3
2020-07-13,5
2020-07-20,14
2020-07-27,12
2020-08-03,5
2020-08-10,14
2020-08-17,20
2020-08-24,5
2020-08-31,20
2020-09-07,6
2020-09-14,9
2020-09-21,19
2020-09-28,27
2020-10-05,32
2020-10-12,19
2020-10-19,18
2020-10-26,13
2020-11-02,21
2020-11-09,30
2020-11-16,35
2020-11-23,38
2020-11-30,27
2020-12-07,15
2020-12-14,9
2020-12-21,15
2020-12-28,12
2021-01-04,7
2021-01-11,7
2021-01-18,8
2021-01-25,8
2021-02-01,7
2021-02-08,16
2021-02-15,12
2021-02-22,3
2021-03-01,3
2021-03-08,6
2021-03-15,19
2021-03-22,27
2021-03-29,40
2021-04-05,48
2021-04-12,25
2021-04-19,21
2021-04-26,18
2021-05-03,37
2021-05-10,27
2021-05-17,25
2021-05-24,5
2021-05-31,8
2021-06-07,7
2021-06-14,6
2021-06-21,7
2021-06-28,2
2021-07-05,5
2021-07-12,9
2021-07-19,4
2021-07-26,6
2021-08-02,15
2021-08-09,21
2021-08-16,37
2021-08-23,35
2021-08-30,49
2021-09-06,32
2021-09-13,44
2021-09-20,80
2021-09-27,62
2021-10-04,80
2021-10-11,56
2021-10-18,44
2021-10-25,26
2021-11-01,43
2021-11-08,33
2021-11-15,40
2021-11-22,45
2021-11-29,67
2021-12-06,41
2021-12-13,30
2021-12-20,37
2021-12-27,55
2022-01-03,103
2022-01-10,134
2022-01-17,128
2022-01-24,69
2022-01-31,40
2022-02-07,27
2022-02-14,18
2022-02-21,20
2022-02-28,9
2022-03-07,10
2022-03-14,9
2022-03-21,14
2022-03-28,12
2022-04-04,7
2022-04-11,9
2022-04-18,18
2022-04-25,16
2022-05-02,36
2022-05-09,36
2022-05-16,32
2022-05-23,24
2022-05-30,23
2022-06-06,17
2022-06-13,14
2022-06-20,7
2022-06-27,13
2022-07-04,8
2022-07-11,8
2022-07-18,10
2022-07-25,16
2022-08-01,14
2022-08-08,14
2022-08-15,16
2022-08-22,25
2022-08-29,20
2022-09-05,15
2022-09-12,5
2022-09-19,8
2022-09-26,9
2022-10-03,16
2022-10-10,12
2022-10-17,11
2022-10-24,7
2022-10-31,8
2022-11-07,1
2022-11-14,2
2022-11-21,3
2022-11-28,4
2022-12-05,10
2022-12-12,7
2022-12-19,5
2022-12-26,9
2023-01-02,7
2023-01-09,1
2023-01-16,4
2023-01-23,2
2023-01-30,4
2023-02-06,4
2023-02-13,7
2023-02-20,1
2023-02-27,4
2023-03-06,6
2023-03-13,1
2023-03-20,8
2023-03-27,6
2023-04-03,5
2023-04-10,3
2023-04-17,0
2023-04-24,1
2023-05-01,2
2023-05-08,5
2023-05-15,1
2023-05-22,0
2023-05-29,1
2023-06-05,0
2023-06-12,0
2023-06-19,0
2023-06-26,0
2023-07-03,0
2023-07-10,1
2023-07-17,0
2023-07-24,0
2023-07-31,1
2023-08-07,0
2023-08-14,0
2023-08-21,0
2023-08-28,1
2023-09-04,0
2023-09-11,0
2023-09-18,2
2023-09-25,1
2023-10-02,3
2023-10-09,2
2023-10-16,0
2023-10-23,1
2023-10-30,3
2023-11-06,6
2023-11-13,3
2023-11-20,3
2023-11-27,1
2023-12-04,3
2023-12-11,7
2023-12-18,7
2023-12-25,4
2024-01-01,5
2024-01-08,3
2024-01-15,5
2024-01-22,0
2024-01-29,4
2024-02-05,2
2024-02-12,0
2024-02-19,0
2024-02-26,1
2024-03-04,1
2024-03-11,0
