Week,Cases
2020-02-24,1
2020-03-02,31
2020-03-09,299
2020-03-16,806
2020-03-23,1087
2020-03-30,1257
2020-04-06,1131
2020-04-13,780
2020-04-20,781
2020-04-27,689
2020-05-04,710
2020-05-11,684
2020-05-18,741
2020-05-25,673
2020-06-01,593
2020-06-08,618
2020-06-15,599
2020-06-22,972
2020-06-29,976
2020-07-06,1356
2020-07-13,1623
2020-07-20,1586
2020-07-27,1765
2020-08-03,1851
2020-08-10,1838
2020-08-17,1701
2020-08-24,1452
2020-08-31,1248
2020-09-07,1066
2020-09-14,1104
2020-09-21,1152
2020-09-28,714
2020-10-05,923
2020-10-12,1049
2020-10-19,1393
2020-10-26,2148
2020-11-02,3381
2020-11-09,4197
2020-11-16,4146
2020-11-23,3821
2020-11-30,3327
2020-12-07,2311
2020-12-14,1661
2020-12-21,1435
2020-12-28,1540
2021-01-04,1611
2021-01-11,1399
2021-01-18,1149
2021-01-25,876
2021-02-01,976
2021-02-08,1728
2021-02-15,1237
2021-02-22,949
2021-03-01,1343
2021-03-08,1991
2021-03-15,3656
2021-03-22,7702
2021-03-29,7160
2021-04-05,6358
2021-04-12,5163
2021-04-19,3777
2021-04-26,3104
2021-05-03,1430
2021-05-10,1357
2021-05-17,1610
2021-05-24,1164
2021-05-31,909
2021-06-07,840
2021-06-14,765
2021-06-21,675
2021-06-28,592
2021-07-05,604
2021-07-12,795
2021-07-19,1049
2021-07-26,1340
2021-08-02,1637
2021-08-09,1743
2021-08-16,1921
2021-08-23,2067
2021-08-30,1339
2021-09-06,1112
2021-09-13,1454
2021-09-20,1518
2021-09-27,1851
2021-10-04,2002
2021-10-11,2292
2021-10-18,2552
2021-10-25,2212
2021-11-01,2681
2021-11-08,3271
2021-11-15,3834
2021-11-22,3646
2021-11-29,4686
2021-12-06,3861
2021-12-13,4235
2021-12-20,6641
2021-12-27,11355
2022-01-03,13920
2022-01-10,9491
2022-01-17,6189
2022-01-24,3699
2022-01-31,2412
2022-02-07,1571
2022-02-14,1108
2022-02-21,797
2022-02-28,663
2022-03-07,614
2022-03-14,738
2022-03-21,728
2022-03-28,857
2022-04-04,912
2022-04-11,1216
2022-04-18,1588
2022-04-25,2026
2022-05-02,2632
2022-05-09,2824
2022-05-16,2440
2022-05-23,1935
2022-05-30,1587
2022-06-06,1394
2022-06-13,1340
2022-06-20,1271
2022-06-27,1365
2022-07-04,1466
2022-07-11,1679
2022-07-18,1874
2022-07-25,1910
2022-08-01,1956
2022-08-08,1834
2022-08-15,1766
2022-08-22,1613
2022-08-29,1657
2022-09-05,1589
2022-09-12,1776
2022-09-19,1568
2022-09-26,1486
2022-10-03,1412
2022-10-10,1412
2022-10-17,1381
2022-10-24,1294
2022-10-31,1173
2022-11-07,937
2022-11-14,961
2022-11-21,1106
2022-11-28,1418
2022-12-05,1485
2022-12-12,1540
2022-12-19,1301
2022-12-26,1210
2023-01-02,928
2023-01-09,670
2023-01-16,552
2023-01-23,508
2023-01-30,507
2023-02-06,524
2023-02-13,631
2023-02-20,543
2023-02-27,611
2023-03-06,555
2023-03-13,574
2023-03-20,616
2023-03-27,513
2023-04-03,484
2023-04-10,371
2023-04-17,271
2023-04-24,223
2023-05-01,227
2023-05-08,196
2023-05-15,196
2023-05-22,175
2023-05-29,105
2023-06-05,82
2023-06-12,77
2023-06-19,86
2023-06-26,101
2023-07-03,102
2023-07-10,85
2023-07-17,99
2023-07-24,117
2023-07-31,161
2023-08-07,211
2023-08-14,222
2023-08-21,339
2023-08-28,373
2023-09-04,433
2023-09-11,531
2023-09-18,565
2023-09-25,455
2023-10-02,356
2023-10-09,319
2023-10-16,346
2023-10-23,390
2023-10-30,401
2023-11-06,457
2023-11-13,537
2023-11-20,531
2023-11-27,736
2023-12-04,800
2023-12-11,921
2023-12-18,1040
2023-12-25,1108
2024-01-01,993
2024-01-08,663
2024-01-15,523
2024-01-22,474
2024-01-29,469
2024-02-05,461
2024-02-12,422
2024-02-19,441
2024-02-26,375
2024-03-04,291
2024-03-11,40
