Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,1
2020-03-23,5
2020-03-30,7
2020-04-06,1
2020-04-13,0
2020-04-20,4
2020-04-27,5
2020-05-04,4
2020-05-11,8
2020-05-18,3
2020-05-25,4
2020-06-01,0
2020-06-08,12
2020-06-15,4
2020-06-22,21
2020-06-29,14
2020-07-06,14
2020-07-13,19
2020-07-20,22
2020-07-27,12
2020-08-03,14
2020-08-10,15
2020-08-17,28
2020-08-24,24
2020-08-31,24
2020-09-07,23
2020-09-14,16
2020-09-21,27
2020-09-28,7
2020-10-05,14
2020-10-12,18
2020-10-19,40
2020-10-26,29
2020-11-02,38
2020-11-09,54
2020-11-16,69
2020-11-23,49
2020-11-30,56
2020-12-07,48
2020-12-14,38
2020-12-21,33
2020-12-28,40
2021-01-04,45
2021-01-11,45
2021-01-18,21
2021-01-25,18
2021-02-01,27
2021-02-08,53
2021-02-15,13
2021-02-22,4
2021-03-01,13
2021-03-08,6
2021-03-15,25
2021-03-22,68
2021-03-29,54
2021-04-05,58
2021-04-12,75
2021-04-19,52
2021-04-26,45
2021-05-03,23
2021-05-10,25
2021-05-17,49
2021-05-24,16
2021-05-31,21
2021-06-07,14
2021-06-14,17
2021-06-21,12
2021-06-28,15
2021-07-05,23
2021-07-12,24
2021-07-19,15
2021-07-26,31
2021-08-02,51
2021-08-09,52
2021-08-16,82
2021-08-23,52
2021-08-30,37
2021-09-06,49
2021-09-13,35
2021-09-20,28
2021-09-27,44
2021-10-04,52
2021-10-11,51
2021-10-18,65
2021-10-25,52
2021-11-01,63
2021-11-08,59
2021-11-15,112
2021-11-22,55
2021-11-29,71
2021-12-06,83
2021-12-13,74
2021-12-20,60
2021-12-27,53
2022-01-03,116
2022-01-10,140
2022-01-17,157
2022-01-24,157
2022-01-31,110
2022-02-07,77
2022-02-14,44
2022-02-21,34
2022-02-28,14
2022-03-07,18
2022-03-14,16
2022-03-21,18
2022-03-28,9
2022-04-04,10
2022-04-11,10
2022-04-18,11
2022-04-25,13
2022-05-02,40
2022-05-09,45
2022-05-16,35
2022-05-23,32
2022-05-30,14
2022-06-06,23
2022-06-13,18
2022-06-20,20
2022-06-27,14
2022-07-04,22
2022-07-11,16
2022-07-18,38
2022-07-25,14
2022-08-01,33
2022-08-08,29
2022-08-15,26
2022-08-22,30
2022-08-29,13
2022-09-05,12
2022-09-12,21
2022-09-19,12
2022-09-26,9
2022-10-03,12
2022-10-10,16
2022-10-17,13
2022-10-24,70
2022-10-31,39
2022-11-07,56
2022-11-14,65
2022-11-21,12
2022-11-28,10
2022-12-05,6
2022-12-12,12
2022-12-19,12
2022-12-26,8
2023-01-02,8
2023-01-09,6
2023-01-16,7
2023-01-23,5
2023-01-30,9
2023-02-06,4
2023-02-13,6
2023-02-20,5
2023-02-27,8
2023-03-06,8
2023-03-13,5
2023-03-20,7
2023-03-27,5
2023-04-03,7
2023-04-10,2
2023-04-17,2
2023-04-24,3
2023-05-01,4
2023-05-08,5
2023-05-15,0
2023-05-22,3
2023-05-29,2
2023-06-05,0
2023-06-12,3
2023-06-19,4
2023-06-26,1
2023-07-03,0
2023-07-10,2
2023-07-17,1
2023-07-24,1
2023-07-31,2
2023-08-07,0
2023-08-14,5
2023-08-21,7
2023-08-28,4
2023-09-04,12
2023-09-11,4
2023-09-18,3
2023-09-25,4
2023-10-02,5
2023-10-09,4
2023-10-16,6
2023-10-23,4
2023-10-30,5
2023-11-06,8
2023-11-13,8
2023-11-20,3
2023-11-27,3
2023-12-04,10
2023-12-11,6
2023-12-18,11
2023-12-25,14
2024-01-01,6
2024-01-08,4
2024-01-15,5
2024-01-22,3
2024-01-29,3
2024-02-05,1
2024-02-12,1
2024-02-19,0
2024-02-26,17
2024-03-04,8
2024-03-11,0
