Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,1
2020-03-16,5
2020-03-23,8
2020-03-30,12
2020-04-06,10
2020-04-13,6
2020-04-20,11
2020-04-27,8
2020-05-04,5
2020-05-11,36
2020-05-18,25
2020-05-25,25
2020-06-01,23
2020-06-08,43
2020-06-15,20
2020-06-22,36
2020-06-29,44
2020-07-06,67
2020-07-13,74
2020-07-20,61
2020-07-27,80
2020-08-03,254
2020-08-10,204
2020-08-17,69
2020-08-24,74
2020-08-31,62
2020-09-07,83
2020-09-14,186
2020-09-21,144
2020-09-28,87
2020-10-05,162
2020-10-12,254
2020-10-19,242
2020-10-26,328
2020-11-02,435
2020-11-09,391
2020-11-16,275
2020-11-23,183
2020-11-30,185
2020-12-07,134
2020-12-14,92
2020-12-21,77
2020-12-28,80
2021-01-04,109
2021-01-11,81
2021-01-18,39
2021-01-25,36
2021-02-01,38
2021-02-08,209
2021-02-15,53
2021-02-22,21
2021-03-01,26
2021-03-08,52
2021-03-15,90
2021-03-22,227
2021-03-29,188
2021-04-05,193
2021-04-12,131
2021-04-19,133
2021-04-26,161
2021-05-03,50
2021-05-10,43
2021-05-17,103
2021-05-24,51
2021-05-31,28
2021-06-07,45
2021-06-14,44
2021-06-21,43
2021-06-28,24
2021-07-05,44
2021-07-12,36
2021-07-19,46
2021-07-26,55
2021-08-02,58
2021-08-09,80
2021-08-16,147
2021-08-23,180
2021-08-30,171
2021-09-06,177
2021-09-13,226
2021-09-20,193
2021-09-27,265
2021-10-04,212
2021-10-11,206
2021-10-18,264
2021-10-25,200
2021-11-01,199
2021-11-08,179
2021-11-15,159
2021-11-22,190
2021-11-29,259
2021-12-06,187
2021-12-13,145
2021-12-20,182
2021-12-27,497
2022-01-03,1004
2022-01-10,1004
2022-01-17,889
2022-01-24,544
2022-01-31,298
2022-02-07,173
2022-02-14,156
2022-02-21,76
2022-02-28,67
2022-03-07,43
2022-03-14,57
2022-03-21,35
2022-03-28,47
2022-04-04,38
2022-04-11,61
2022-04-18,85
2022-04-25,108
2022-05-02,200
2022-05-09,220
2022-05-16,202
2022-05-23,136
2022-05-30,138
2022-06-06,73
2022-06-13,74
2022-06-20,78
2022-06-27,69
2022-07-04,116
2022-07-11,137
2022-07-18,157
2022-07-25,123
2022-08-01,85
2022-08-08,94
2022-08-15,89
2022-08-22,94
2022-08-29,74
2022-09-05,66
2022-09-12,74
2022-09-19,66
2022-09-26,62
2022-10-03,73
2022-10-10,47
2022-10-17,45
2022-10-24,41
2022-10-31,43
2022-11-07,39
2022-11-14,50
2022-11-21,51
2022-11-28,65
2022-12-05,72
2022-12-12,68
2022-12-19,58
2022-12-26,36
2023-01-02,47
2023-01-09,54
2023-01-16,34
2023-01-23,39
2023-01-30,44
2023-02-06,64
2023-02-13,65
2023-02-20,85
2023-02-27,75
2023-03-06,90
2023-03-13,69
2023-03-20,40
2023-03-27,51
2023-04-03,32
2023-04-10,22
2023-04-17,13
2023-04-24,12
2023-05-01,9
2023-05-08,4
2023-05-15,8
2023-05-22,5
2023-05-29,7
2023-06-05,4
2023-06-12,4
2023-06-19,0
2023-06-26,3
2023-07-03,3
2023-07-10,6
2023-07-17,2
2023-07-24,7
2023-07-31,11
2023-08-07,11
2023-08-14,14
2023-08-21,18
2023-08-28,20
2023-09-04,17
2023-09-11,26
2023-09-18,33
2023-09-25,18
2023-10-02,24
2023-10-09,18
2023-10-16,49
2023-10-23,31
2023-10-30,38
2023-11-06,34
2023-11-13,57
2023-11-20,36
2023-11-27,44
2023-12-04,53
2023-12-11,42
2023-12-18,50
2023-12-25,23
2024-01-01,25
2024-01-08,22
2024-01-15,18
2024-01-22,18
2024-01-29,23
2024-02-05,16
2024-02-12,21
2024-02-19,28
2024-02-26,8
2024-03-04,43
2024-03-11,2
