Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,3
2020-03-30,6
2020-04-06,5
2020-04-13,4
2020-04-20,14
2020-04-27,20
2020-05-04,13
2020-05-11,20
2020-05-18,20
2020-05-25,30
2020-06-01,13
2020-06-08,20
2020-06-15,28
2020-06-22,40
2020-06-29,64
2020-07-06,60
2020-07-13,60
2020-07-20,35
2020-07-27,41
2020-08-03,54
2020-08-10,39
2020-08-17,61
2020-08-24,60
2020-08-31,47
2020-09-07,38
2020-09-14,29
2020-09-21,19
2020-09-28,14
2020-10-05,19
2020-10-12,38
2020-10-19,56
2020-10-26,62
2020-11-02,73
2020-11-09,81
2020-11-16,74
2020-11-23,61
2020-11-30,98
2020-12-07,98
2020-12-14,82
2020-12-21,51
2020-12-28,42
2021-01-04,54
2021-01-11,59
2021-01-18,27
2021-01-25,40
2021-02-01,27
2021-02-08,71
2021-02-15,54
2021-02-22,11
2021-03-01,13
2021-03-08,20
2021-03-15,37
2021-03-22,121
2021-03-29,150
2021-04-05,121
2021-04-12,134
2021-04-19,96
2021-04-26,106
2021-05-03,37
2021-05-10,28
2021-05-17,44
2021-05-24,33
2021-05-31,24
2021-06-07,31
2021-06-14,28
2021-06-21,26
2021-06-28,14
2021-07-05,28
2021-07-12,36
2021-07-19,44
2021-07-26,66
2021-08-02,61
2021-08-09,72
2021-08-16,102
2021-08-23,94
2021-08-30,63
2021-09-06,46
2021-09-13,78
2021-09-20,67
2021-09-27,91
2021-10-04,89
2021-10-11,104
2021-10-18,125
2021-10-25,127
2021-11-01,148
2021-11-08,161
2021-11-15,170
2021-11-22,129
2021-11-29,157
2021-12-06,154
2021-12-13,87
2021-12-20,66
2021-12-27,112
2022-01-03,187
2022-01-10,245
2022-01-17,245
2022-01-24,290
2022-01-31,149
2022-02-07,106
2022-02-14,80
2022-02-21,61
2022-02-28,44
2022-03-07,28
2022-03-14,40
2022-03-21,16
2022-03-28,16
2022-04-04,22
2022-04-11,22
2022-04-18,24
2022-04-25,34
2022-05-02,46
2022-05-09,46
2022-05-16,37
2022-05-23,43
2022-05-30,33
2022-06-06,44
2022-06-13,36
2022-06-20,36
2022-06-27,37
2022-07-04,44
2022-07-11,43
2022-07-18,59
2022-07-25,49
2022-08-01,54
2022-08-08,32
2022-08-15,47
2022-08-22,47
2022-08-29,39
2022-09-05,43
2022-09-12,30
2022-09-19,32
2022-09-26,28
2022-10-03,28
2022-10-10,15
2022-10-17,15
2022-10-24,18
2022-10-31,17
2022-11-07,16
2022-11-14,19
2022-11-21,19
2022-11-28,27
2022-12-05,24
2022-12-12,36
2022-12-19,16
2022-12-26,32
2023-01-02,21
2023-01-09,10
2023-01-16,5
2023-01-23,8
2023-01-30,11
2023-02-06,15
2023-02-13,19
2023-02-20,15
2023-02-27,19
2023-03-06,18
2023-03-13,15
2023-03-20,10
2023-03-27,16
2023-04-03,15
2023-04-10,6
2023-04-17,6
2023-04-24,9
2023-05-01,4
2023-05-08,3
2023-05-15,4
2023-05-22,3
2023-05-29,5
2023-06-05,4
2023-06-12,2
2023-06-19,4
2023-06-26,2
2023-07-03,2
2023-07-10,0
2023-07-17,5
2023-07-24,1
2023-07-31,4
2023-08-07,7
2023-08-14,6
2023-08-21,6
2023-08-28,5
2023-09-04,13
2023-09-11,23
2023-09-18,20
2023-09-25,10
2023-10-02,15
2023-10-09,12
2023-10-16,10
2023-10-23,15
2023-10-30,10
2023-11-06,17
2023-11-13,16
2023-11-20,17
2023-11-27,32
2023-12-04,28
2023-12-11,17
2023-12-18,38
2023-12-25,35
2024-01-01,21
2024-01-08,16
2024-01-15,9
2024-01-22,9
2024-01-29,14
2024-02-05,14
2024-02-12,12
2024-02-19,9
2024-02-26,9
2024-03-04,9
2024-03-11,2
