Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,2
2020-03-30,9
2020-04-06,7
2020-04-13,11
2020-04-20,15
2020-04-27,11
2020-05-04,12
2020-05-11,16
2020-05-18,23
2020-05-25,24
2020-06-01,29
2020-06-08,18
2020-06-15,41
2020-06-22,56
2020-06-29,48
2020-07-06,51
2020-07-13,64
2020-07-20,61
2020-07-27,53
2020-08-03,52
2020-08-10,41
2020-08-17,58
2020-08-24,96
2020-08-31,82
2020-09-07,112
2020-09-14,81
2020-09-21,79
2020-09-28,46
2020-10-05,72
2020-10-12,98
2020-10-19,119
2020-10-26,133
2020-11-02,151
2020-11-09,127
2020-11-16,120
2020-11-23,128
2020-11-30,115
2020-12-07,102
2020-12-14,55
2020-12-21,38
2020-12-28,39
2021-01-04,50
2021-01-11,46
2021-01-18,41
2021-01-25,34
2021-02-01,59
2021-02-08,96
2021-02-15,58
2021-02-22,21
2021-03-01,26
2021-03-08,24
2021-03-15,55
2021-03-22,150
2021-03-29,214
2021-04-05,167
2021-04-12,129
2021-04-19,97
2021-04-26,135
2021-05-03,79
2021-05-10,53
2021-05-17,71
2021-05-24,54
2021-05-31,39
2021-06-07,34
2021-06-14,25
2021-06-21,28
2021-06-28,25
2021-07-05,24
2021-07-12,15
2021-07-19,30
2021-07-26,36
2021-08-02,58
2021-08-09,61
2021-08-16,76
2021-08-23,80
2021-08-30,70
2021-09-06,116
2021-09-13,112
2021-09-20,126
2021-09-27,141
2021-10-04,146
2021-10-11,187
2021-10-18,160
2021-10-25,125
2021-11-01,138
2021-11-08,186
2021-11-15,175
2021-11-22,156
2021-11-29,188
2021-12-06,118
2021-12-13,92
2021-12-20,87
2021-12-27,164
2022-01-03,279
2022-01-10,321
2022-01-17,359
2022-01-24,281
2022-01-31,170
2022-02-07,134
2022-02-14,63
2022-02-21,45
2022-02-28,37
2022-03-07,11
2022-03-14,24
2022-03-21,23
2022-03-28,13
2022-04-04,24
2022-04-11,16
2022-04-18,33
2022-04-25,37
2022-05-02,48
2022-05-09,59
2022-05-16,63
2022-05-23,54
2022-05-30,46
2022-06-06,30
2022-06-13,27
2022-06-20,35
2022-06-27,50
2022-07-04,33
2022-07-11,47
2022-07-18,41
2022-07-25,47
2022-08-01,37
2022-08-08,49
2022-08-15,50
2022-08-22,45
2022-08-29,45
2022-09-05,34
2022-09-12,41
2022-09-19,21
2022-09-26,23
2022-10-03,19
2022-10-10,28
2022-10-17,21
2022-10-24,21
2022-10-31,16
2022-11-07,16
2022-11-14,19
2022-11-21,12
2022-11-28,19
2022-12-05,24
2022-12-12,37
2022-12-19,38
2022-12-26,30
2023-01-02,20
2023-01-09,15
2023-01-16,19
2023-01-23,27
2023-01-30,34
2023-02-06,30
2023-02-13,15
2023-02-20,22
2023-02-27,16
2023-03-06,13
2023-03-13,10
2023-03-20,17
2023-03-27,18
2023-04-03,16
2023-04-10,6
2023-04-17,6
2023-04-24,12
2023-05-01,8
2023-05-08,9
2023-05-15,5
2023-05-22,5
2023-05-29,9
2023-06-05,3
2023-06-12,1
2023-06-19,5
2023-06-26,6
2023-07-03,4
2023-07-10,2
2023-07-17,5
2023-07-24,2
2023-07-31,3
2023-08-07,5
2023-08-14,5
2023-08-21,10
2023-08-28,8
2023-09-04,23
2023-09-11,13
2023-09-18,16
2023-09-25,16
2023-10-02,13
2023-10-09,10
2023-10-16,11
2023-10-23,12
2023-10-30,8
2023-11-06,20
2023-11-13,32
2023-11-20,32
2023-11-27,42
2023-12-04,30
2023-12-11,46
2023-12-18,53
2023-12-25,44
2024-01-01,30
2024-01-08,22
2024-01-15,13
2024-01-22,11
2024-01-29,8
2024-02-05,12
2024-02-12,19
2024-02-19,15
2024-02-26,18
2024-03-04,9
2024-03-11,2
