Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,0
2020-03-23,0
2020-03-30,0
2020-04-06,1
2020-04-13,1
2020-04-20,4
2020-04-27,1
2020-05-04,6
2020-05-11,1
2020-05-18,2
2020-05-25,1
2020-06-01,2
2020-06-08,6
2020-06-15,23
2020-06-22,24
2020-06-29,36
2020-07-06,35
2020-07-13,20
2020-07-20,26
2020-07-27,51
2020-08-03,43
2020-08-10,52
2020-08-17,34
2020-08-24,22
2020-08-31,15
2020-09-07,45
2020-09-14,89
2020-09-21,91
2020-09-28,91
2020-10-05,99
2020-10-12,83
2020-10-19,102
2020-10-26,122
2020-11-02,152
2020-11-09,126
2020-11-16,117
2020-11-23,102
2020-11-30,72
2020-12-07,60
2020-12-14,63
2020-12-21,64
2020-12-28,68
2021-01-04,41
2021-01-11,27
2021-01-18,23
2021-01-25,12
2021-02-01,16
2021-02-08,32
2021-02-15,16
2021-02-22,2
2021-03-01,9
2021-03-08,19
2021-03-15,28
2021-03-22,30
2021-03-29,31
2021-04-05,29
2021-04-12,33
2021-04-19,26
2021-04-26,44
2021-05-03,15
2021-05-10,21
2021-05-17,25
2021-05-24,20
2021-05-31,13
2021-06-07,15
2021-06-14,11
2021-06-21,15
2021-06-28,15
2021-07-05,10
2021-07-12,8
2021-07-19,14
2021-07-26,29
2021-08-02,70
2021-08-09,74
2021-08-16,81
2021-08-23,96
2021-08-30,82
2021-09-06,88
2021-09-13,113
2021-09-20,123
2021-09-27,141
2021-10-04,113
2021-10-11,119
2021-10-18,96
2021-10-25,76
2021-11-01,89
2021-11-08,96
2021-11-15,96
2021-11-22,85
2021-11-29,96
2021-12-06,87
2021-12-13,70
2021-12-20,54
2021-12-27,94
2022-01-03,199
2022-01-10,209
2022-01-17,213
2022-01-24,171
2022-01-31,102
2022-02-07,69
2022-02-14,44
2022-02-21,37
2022-02-28,23
2022-03-07,23
2022-03-14,21
2022-03-21,16
2022-03-28,13
2022-04-04,10
2022-04-11,10
2022-04-18,14
2022-04-25,21
2022-05-02,34
2022-05-09,39
2022-05-16,33
2022-05-23,23
2022-05-30,41
2022-06-06,36
2022-06-13,28
2022-06-20,29
2022-06-27,21
2022-07-04,40
2022-07-11,36
2022-07-18,43
2022-07-25,49
2022-08-01,47
2022-08-08,42
2022-08-15,43
2022-08-22,45
2022-08-29,42
2022-09-05,34
2022-09-12,26
2022-09-19,27
2022-09-26,38
2022-10-03,38
2022-10-10,24
2022-10-17,34
2022-10-24,36
2022-10-31,34
2022-11-07,36
2022-11-14,33
2022-11-21,37
2022-11-28,42
2022-12-05,26
2022-12-12,27
2022-12-19,35
2022-12-26,44
2023-01-02,35
2023-01-09,29
2023-01-16,19
2023-01-23,15
2023-01-30,12
2023-02-06,11
2023-02-13,39
2023-02-20,26
2023-02-27,15
2023-03-06,20
2023-03-13,18
2023-03-20,5
2023-03-27,9
2023-04-03,11
2023-04-10,6
2023-04-17,4
2023-04-24,9
2023-05-01,5
2023-05-08,7
2023-05-15,14
2023-05-22,6
2023-05-29,2
2023-06-05,2
2023-06-12,2
2023-06-19,1
2023-06-26,0
2023-07-03,2
2023-07-10,4
2023-07-17,2
2023-07-24,1
2023-07-31,4
2023-08-07,36
2023-08-14,7
2023-08-21,5
2023-08-28,11
2023-09-04,7
2023-09-11,8
2023-09-18,12
2023-09-25,8
2023-10-02,4
2023-10-09,10
2023-10-16,8
2023-10-23,8
2023-10-30,19
2023-11-06,28
2023-11-13,31
2023-11-20,38
2023-11-27,30
2023-12-04,26
2023-12-11,19
2023-12-18,18
2023-12-25,26
2024-01-01,11
2024-01-08,11
2024-01-15,3
2024-01-22,2
2024-01-29,8
2024-02-05,5
2024-02-12,3
2024-02-19,1
2024-02-26,3
2024-03-04,4
2024-03-11,0
