Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,8
2020-03-16,9
2020-03-23,8
2020-03-30,11
2020-04-06,25
2020-04-13,19
2020-04-20,17
2020-04-27,14
2020-05-04,24
2020-05-11,20
2020-05-18,23
2020-05-25,39
2020-06-01,37
2020-06-08,21
2020-06-15,17
2020-06-22,41
2020-06-29,47
2020-07-06,70
2020-07-13,72
2020-07-20,69
2020-07-27,52
2020-08-03,61
2020-08-10,57
2020-08-17,68
2020-08-24,67
2020-08-31,81
2020-09-07,65
2020-09-14,79
2020-09-21,87
2020-09-28,51
2020-10-05,100
2020-10-12,128
2020-10-19,207
2020-10-26,307
2020-11-02,482
2020-11-09,552
2020-11-16,360
2020-11-23,293
2020-11-30,255
2020-12-07,168
2020-12-14,200
2020-12-21,205
2020-12-28,189
2021-01-04,186
2021-01-11,162
2021-01-18,130
2021-01-25,93
2021-02-01,104
2021-02-08,151
2021-02-15,91
2021-02-22,105
2021-03-01,142
2021-03-08,151
2021-03-15,167
2021-03-22,300
2021-03-29,387
2021-04-05,382
2021-04-12,262
2021-04-19,295
2021-04-26,271
2021-05-03,157
2021-05-10,158
2021-05-17,130
2021-05-24,96
2021-05-31,60
2021-06-07,82
2021-06-14,54
2021-06-21,48
2021-06-28,49
2021-07-05,57
2021-07-12,51
2021-07-19,59
2021-07-26,82
2021-08-02,127
2021-08-09,156
2021-08-16,142
2021-08-23,195
2021-08-30,251
2021-09-06,248
2021-09-13,292
2021-09-20,286
2021-09-27,310
2021-10-04,360
2021-10-11,327
2021-10-18,321
2021-10-25,268
2021-11-01,355
2021-11-08,372
2021-11-15,324
2021-11-22,283
2021-11-29,358
2021-12-06,305
2021-12-13,257
2021-12-20,262
2021-12-27,465
2022-01-03,848
2022-01-10,1076
2022-01-17,865
2022-01-24,506
2022-01-31,376
2022-02-07,213
2022-02-14,132
2022-02-21,67
2022-02-28,55
2022-03-07,23
2022-03-14,31
2022-03-21,18
2022-03-28,23
2022-04-04,25
2022-04-11,37
2022-04-18,70
2022-04-25,97
2022-05-02,172
2022-05-09,172
2022-05-16,160
2022-05-23,143
2022-05-30,74
2022-06-06,93
2022-06-13,95
2022-06-20,74
2022-06-27,70
2022-07-04,75
2022-07-11,86
2022-07-18,96
2022-07-25,113
2022-08-01,102
2022-08-08,97
2022-08-15,135
2022-08-22,187
2022-08-29,184
2022-09-05,143
2022-09-12,96
2022-09-19,67
2022-09-26,63
2022-10-03,79
2022-10-10,102
2022-10-17,67
2022-10-24,79
2022-10-31,71
2022-11-07,67
2022-11-14,58
2022-11-21,49
2022-11-28,50
2022-12-05,50
2022-12-12,77
2022-12-19,73
2022-12-26,53
2023-01-02,38
2023-01-09,37
2023-01-16,36
2023-01-23,38
2023-01-30,33
2023-02-06,43
2023-02-13,47
2023-02-20,43
2023-02-27,48
2023-03-06,40
2023-03-13,36
2023-03-20,24
2023-03-27,24
2023-04-03,20
2023-04-10,27
2023-04-17,23
2023-04-24,27
2023-05-01,27
2023-05-08,14
2023-05-15,15
2023-05-22,6
2023-05-29,6
2023-06-05,5
2023-06-12,6
2023-06-19,4
2023-06-26,4
2023-07-03,5
2023-07-10,2
2023-07-17,7
2023-07-24,11
2023-07-31,28
2023-08-07,46
2023-08-14,42
2023-08-21,26
2023-08-28,39
2023-09-04,45
2023-09-11,49
2023-09-18,35
2023-09-25,39
2023-10-02,27
2023-10-09,32
2023-10-16,28
2023-10-23,47
2023-10-30,31
2023-11-06,59
2023-11-13,73
2023-11-20,59
2023-11-27,87
2023-12-04,66
2023-12-11,101
2023-12-18,106
2023-12-25,90
2024-01-01,90
2024-01-08,51
2024-01-15,38
2024-01-22,43
2024-01-29,40
2024-02-05,44
2024-02-12,39
2024-02-19,38
2024-02-26,26
2024-03-04,27
2024-03-11,9
