Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,1
2020-03-30,1
2020-04-06,4
2020-04-13,14
2020-04-20,4
2020-04-27,6
2020-05-04,4
2020-05-11,4
2020-05-18,3
2020-05-25,7
2020-06-01,6
2020-06-08,7
2020-06-15,23
2020-06-22,8
2020-06-29,17
2020-07-06,10
2020-07-13,13
2020-07-20,10
2020-07-27,12
2020-08-03,8
2020-08-10,15
2020-08-17,8
2020-08-24,15
2020-08-31,21
2020-09-07,18
2020-09-14,8
2020-09-21,10
2020-09-28,3
2020-10-05,8
2020-10-12,4
2020-10-19,14
2020-10-26,40
2020-11-02,44
2020-11-09,57
2020-11-16,41
2020-11-23,29
2020-11-30,37
2020-12-07,34
2020-12-14,32
2020-12-21,36
2020-12-28,46
2021-01-04,63
2021-01-11,49
2021-01-18,28
2021-01-25,28
2021-02-01,27
2021-02-08,31
2021-02-15,36
2021-02-22,31
2021-03-01,44
2021-03-08,77
2021-03-15,75
2021-03-22,116
2021-03-29,86
2021-04-05,74
2021-04-12,68
2021-04-19,46
2021-04-26,37
2021-05-03,28
2021-05-10,18
2021-05-17,31
2021-05-24,12
2021-05-31,14
2021-06-07,6
2021-06-14,10
2021-06-21,5
2021-06-28,15
2021-07-05,13
2021-07-12,5
2021-07-19,9
2021-07-26,14
2021-08-02,13
2021-08-09,20
2021-08-16,16
2021-08-23,18
2021-08-30,22
2021-09-06,38
2021-09-13,32
2021-09-20,37
2021-09-27,36
2021-10-04,27
2021-10-11,34
2021-10-18,32
2021-10-25,38
2021-11-01,29
2021-11-08,47
2021-11-15,39
2021-11-22,45
2021-11-29,32
2021-12-06,32
2021-12-13,29
2021-12-20,27
2021-12-27,19
2022-01-03,83
2022-01-10,83
2022-01-17,114
2022-01-24,102
2022-01-31,75
2022-02-07,55
2022-02-14,22
2022-02-21,12
2022-02-28,7
2022-03-07,9
2022-03-14,9
2022-03-21,7
2022-03-28,7
2022-04-04,5
2022-04-11,8
2022-04-18,2
2022-04-25,12
2022-05-02,20
2022-05-09,26
2022-05-16,18
2022-05-23,15
2022-05-30,14
2022-06-06,22
2022-06-13,16
2022-06-20,10
2022-06-27,15
2022-07-04,14
2022-07-11,14
2022-07-18,14
2022-07-25,25
2022-08-01,22
2022-08-08,18
2022-08-15,15
2022-08-22,20
2022-08-29,20
2022-09-05,14
2022-09-12,24
2022-09-19,13
2022-09-26,12
2022-10-03,6
2022-10-10,27
2022-10-17,15
2022-10-24,10
2022-10-31,7
2022-11-07,7
2022-11-14,8
2022-11-21,1
2022-11-28,11
2022-12-05,9
2022-12-12,14
2022-12-19,13
2022-12-26,6
2023-01-02,5
2023-01-09,5
2023-01-16,4
2023-01-23,5
2023-01-30,10
2023-02-06,3
2023-02-13,1
2023-02-20,12
2023-02-27,4
2023-03-06,1
2023-03-13,4
2023-03-20,3
2023-03-27,3
2023-04-03,5
2023-04-10,9
2023-04-17,1
2023-04-24,1
2023-05-01,0
2023-05-08,1
2023-05-15,1
2023-05-22,0
2023-05-29,2
2023-06-05,2
2023-06-12,3
2023-06-19,1
2023-06-26,0
2023-07-03,1
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,0
2023-08-07,0
2023-08-14,2
2023-08-21,1
2023-08-28,4
2023-09-04,5
2023-09-11,5
2023-09-18,2
2023-09-25,7
2023-10-02,2
2023-10-09,3
2023-10-16,3
2023-10-23,3
2023-10-30,9
2023-11-06,5
2023-11-13,4
2023-11-20,8
2023-11-27,4
2023-12-04,6
2023-12-11,10
2023-12-18,12
2023-12-25,10
2024-01-01,9
2024-01-08,9
2024-01-15,2
2024-01-22,0
2024-01-29,2
2024-02-05,2
2024-02-12,2
2024-02-19,1
2024-02-26,4
2024-03-04,2
2024-03-11,0
