Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,10
2020-03-16,42
2020-03-23,52
2020-03-30,79
2020-04-06,61
2020-04-13,60
2020-04-20,76
2020-04-27,136
2020-05-04,163
2020-05-11,119
2020-05-18,167
2020-05-25,69
2020-06-01,76
2020-06-08,126
2020-06-15,80
2020-06-22,133
2020-06-29,136
2020-07-06,181
2020-07-13,199
2020-07-20,175
2020-07-27,209
2020-08-03,227
2020-08-10,251
2020-08-17,288
2020-08-24,237
2020-08-31,155
2020-09-07,133
2020-09-14,163
2020-09-21,152
2020-09-28,86
2020-10-05,118
2020-10-12,158
2020-10-19,222
2020-10-26,392
2020-11-02,603
2020-11-09,791
2020-11-16,847
2020-11-23,682
2020-11-30,664
2020-12-07,452
2020-12-14,383
2020-12-21,292
2020-12-28,405
2021-01-04,349
2021-01-11,323
2021-01-18,259
2021-01-25,205
2021-02-01,239
2021-02-08,386
2021-02-15,239
2021-02-22,177
2021-03-01,247
2021-03-08,293
2021-03-15,453
2021-03-22,827
2021-03-29,844
2021-04-05,683
2021-04-12,561
2021-04-19,448
2021-04-26,516
2021-05-03,245
2021-05-10,282
2021-05-17,283
2021-05-24,241
2021-05-31,215
2021-06-07,158
2021-06-14,135
2021-06-21,124
2021-06-28,103
2021-07-05,92
2021-07-12,132
2021-07-19,155
2021-07-26,195
2021-08-02,274
2021-08-09,313
2021-08-16,356
2021-08-23,361
2021-08-30,345
2021-09-06,344
2021-09-13,364
2021-09-20,507
2021-09-27,541
2021-10-04,587
2021-10-11,643
2021-10-18,566
2021-10-25,499
2021-11-01,561
2021-11-08,671
2021-11-15,618
2021-11-22,563
2021-11-29,725
2021-12-06,631
2021-12-13,637
2021-12-20,693
2021-12-27,1606
2022-01-03,1961
2022-01-10,1704
2022-01-17,1350
2022-01-24,840
2022-01-31,497
2022-02-07,308
2022-02-14,208
2022-02-21,142
2022-02-28,162
2022-03-07,128
2022-03-14,152
2022-03-21,123
2022-03-28,136
2022-04-04,128
2022-04-11,145
2022-04-18,176
2022-04-25,312
2022-05-02,381
2022-05-09,493
2022-05-16,385
2022-05-23,286
2022-05-30,239
2022-06-06,223
2022-06-13,175
2022-06-20,151
2022-06-27,148
2022-07-04,153
2022-07-11,222
2022-07-18,287
2022-07-25,254
2022-08-01,276
2022-08-08,245
2022-08-15,241
2022-08-22,253
2022-08-29,219
2022-09-05,218
2022-09-12,244
2022-09-19,234
2022-09-26,180
2022-10-03,177
2022-10-10,154
2022-10-17,174
2022-10-24,132
2022-10-31,118
2022-11-07,130
2022-11-14,143
2022-11-21,139
2022-11-28,160
2022-12-05,159
2022-12-12,191
2022-12-19,170
2022-12-26,214
2023-01-02,162
2023-01-09,114
2023-01-16,84
2023-01-23,64
2023-01-30,58
2023-02-06,65
2023-02-13,93
2023-02-20,83
2023-02-27,100
2023-03-06,112
2023-03-13,143
2023-03-20,99
2023-03-27,82
2023-04-03,56
2023-04-10,61
2023-04-17,44
2023-04-24,23
2023-05-01,39
2023-05-08,21
2023-05-15,17
2023-05-22,11
2023-05-29,10
2023-06-05,15
2023-06-12,10
2023-06-19,11
2023-06-26,9
2023-07-03,5
2023-07-10,9
2023-07-17,11
2023-07-24,18
2023-07-31,21
2023-08-07,19
2023-08-14,35
2023-08-21,38
2023-08-28,47
2023-09-04,43
2023-09-11,60
2023-09-18,78
2023-09-25,65
2023-10-02,45
2023-10-09,48
2023-10-16,34
2023-10-23,58
2023-10-30,47
2023-11-06,85
2023-11-13,110
2023-11-20,122
2023-11-27,156
2023-12-04,151
2023-12-11,172
2023-12-18,180
2023-12-25,185
2024-01-01,135
2024-01-08,214
2024-01-15,62
2024-01-22,51
2024-01-29,46
2024-02-05,77
2024-02-12,69
2024-02-19,78
2024-02-26,59
2024-03-04,70
2024-03-11,18
