Week,Cases
2020-02-24,0
2020-03-02,1
2020-03-09,2
2020-03-16,1
2020-03-23,10
2020-03-30,18
2020-04-06,9
2020-04-13,15
2020-04-20,31
2020-04-27,37
2020-05-04,37
2020-05-11,52
2020-05-18,68
2020-05-25,39
2020-06-01,65
2020-06-08,45
2020-06-15,44
2020-06-22,84
2020-06-29,153
2020-07-06,94
2020-07-13,100
2020-07-20,104
2020-07-27,73
2020-08-03,96
2020-08-10,111
2020-08-17,94
2020-08-24,109
2020-08-31,88
2020-09-07,105
2020-09-14,104
2020-09-21,129
2020-09-28,39
2020-10-05,72
2020-10-12,98
2020-10-19,116
2020-10-26,177
2020-11-02,243
2020-11-09,263
2020-11-16,252
2020-11-23,227
2020-11-30,272
2020-12-07,188
2020-12-14,145
2020-12-21,92
2020-12-28,124
2021-01-04,106
2021-01-11,95
2021-01-18,37
2021-01-25,40
2021-02-01,62
2021-02-08,163
2021-02-15,92
2021-02-22,49
2021-03-01,49
2021-03-08,41
2021-03-15,160
2021-03-22,296
2021-03-29,320
2021-04-05,378
2021-04-12,287
2021-04-19,239
2021-04-26,236
2021-05-03,166
2021-05-10,175
2021-05-17,143
2021-05-24,107
2021-05-31,77
2021-06-07,59
2021-06-14,36
2021-06-21,42
2021-06-28,42
2021-07-05,42
2021-07-12,35
2021-07-19,36
2021-07-26,64
2021-08-02,72
2021-08-09,106
2021-08-16,157
2021-08-23,139
2021-08-30,169
2021-09-06,151
2021-09-13,209
2021-09-20,192
2021-09-27,306
2021-10-04,338
2021-10-11,330
2021-10-18,291
2021-10-25,210
2021-11-01,267
2021-11-08,310
2021-11-15,352
2021-11-22,244
2021-11-29,285
2021-12-06,258
2021-12-13,183
2021-12-20,153
2021-12-27,218
2022-01-03,331
2022-01-10,416
2022-01-17,523
2022-01-24,485
2022-01-31,289
2022-02-07,148
2022-02-14,102
2022-02-21,61
2022-02-28,42
2022-03-07,25
2022-03-14,33
2022-03-21,18
2022-03-28,28
2022-04-04,30
2022-04-11,39
2022-04-18,38
2022-04-25,59
2022-05-02,80
2022-05-09,113
2022-05-16,101
2022-05-23,82
2022-05-30,60
2022-06-06,61
2022-06-13,43
2022-06-20,55
2022-06-27,57
2022-07-04,76
2022-07-11,74
2022-07-18,71
2022-07-25,91
2022-08-01,75
2022-08-08,77
2022-08-15,81
2022-08-22,81
2022-08-29,88
2022-09-05,81
2022-09-12,92
2022-09-19,89
2022-09-26,61
2022-10-03,47
2022-10-10,68
2022-10-17,64
2022-10-24,38
2022-10-31,46
2022-11-07,36
2022-11-14,31
2022-11-21,31
2022-11-28,51
2022-12-05,64
2022-12-12,79
2022-12-19,42
2022-12-26,41
2023-01-02,40
2023-01-09,36
2023-01-16,39
2023-01-23,23
2023-01-30,24
2023-02-06,20
2023-02-13,31
2023-02-20,25
2023-02-27,24
2023-03-06,25
2023-03-13,33
2023-03-20,33
2023-03-27,30
2023-04-03,21
2023-04-10,18
2023-04-17,8
2023-04-24,16
2023-05-01,5
2023-05-08,8
2023-05-15,5
2023-05-22,5
2023-05-29,3
2023-06-05,2
2023-06-12,1
2023-06-19,1
2023-06-26,1
2023-07-03,2
2023-07-10,5
2023-07-17,2
2023-07-24,5
2023-07-31,5
2023-08-07,13
2023-08-14,15
2023-08-21,13
2023-08-28,26
2023-09-04,27
2023-09-11,40
2023-09-18,41
2023-09-25,11
2023-10-02,21
2023-10-09,13
2023-10-16,13
2023-10-23,21
2023-10-30,14
2023-11-06,16
2023-11-13,23
2023-11-20,41
2023-11-27,44
2023-12-04,44
2023-12-11,72
2023-12-18,90
2023-12-25,66
2024-01-01,53
2024-01-08,36
2024-01-15,20
2024-01-22,20
2024-01-29,11
2024-02-05,21
2024-02-12,22
2024-02-19,27
2024-02-26,7
2024-03-04,15
2024-03-11,0
