Week,Cases
2020-02-24,0
2020-03-02,0
2020-03-09,0
2020-03-16,1
2020-03-23,0
2020-03-30,0
2020-04-06,1
2020-04-13,3
2020-04-20,0
2020-04-27,1
2020-05-04,0
2020-05-11,1
2020-05-18,4
2020-05-25,2
2020-06-01,0
2020-06-08,4
2020-06-15,4
2020-06-22,6
2020-06-29,5
2020-07-06,4
2020-07-13,2
2020-07-20,6
2020-07-27,5
2020-08-03,5
2020-08-10,7
2020-08-17,7
2020-08-24,6
2020-08-31,6
2020-09-07,5
2020-09-14,5
2020-09-21,4
2020-09-28,2
2020-10-05,2
2020-10-12,7
2020-10-19,11
2020-10-26,12
2020-11-02,21
2020-11-09,38
2020-11-16,44
2020-11-23,57
2020-11-30,20
2020-12-07,24
2020-12-14,23
2020-12-21,14
2020-12-28,13
2021-01-04,16
2021-01-11,6
2021-01-18,5
2021-01-25,3
2021-02-01,8
2021-02-08,15
2021-02-15,5
2021-02-22,3
2021-03-01,5
2021-03-08,9
2021-03-15,12
2021-03-22,28
2021-03-29,23
2021-04-05,40
2021-04-12,30
2021-04-19,32
2021-04-26,27
2021-05-03,18
2021-05-10,24
2021-05-17,19
2021-05-24,13
2021-05-31,11
2021-06-07,5
2021-06-14,3
2021-06-21,8
2021-06-28,5
2021-07-05,2
2021-07-12,3
2021-07-19,11
2021-07-26,16
2021-08-02,15
2021-08-09,20
2021-08-16,22
2021-08-23,12
2021-08-30,4
2021-09-06,8
2021-09-13,25
2021-09-20,15
2021-09-27,30
2021-10-04,27
2021-10-11,32
2021-10-18,47
2021-10-25,51
2021-11-01,72
2021-11-08,58
2021-11-15,39
2021-11-22,24
2021-11-29,39
2021-12-06,16
2021-12-13,19
2021-12-20,13
2021-12-27,27
2022-01-03,41
2022-01-10,67
2022-01-17,61
2022-01-24,44
2022-01-31,37
2022-02-07,18
2022-02-14,8
2022-02-21,15
2022-02-28,8
2022-03-07,13
2022-03-14,4
2022-03-21,6
2022-03-28,4
2022-04-04,3
2022-04-11,5
2022-04-18,10
2022-04-25,17
2022-05-02,4
2022-05-09,11
2022-05-16,8
2022-05-23,6
2022-05-30,7
2022-06-06,6
2022-06-13,7
2022-06-20,8
2022-06-27,7
2022-07-04,5
2022-07-11,8
2022-07-18,5
2022-07-25,6
2022-08-01,6
2022-08-08,4
2022-08-15,5
2022-08-22,7
2022-08-29,8
2022-09-05,11
2022-09-12,8
2022-09-19,5
2022-09-26,9
2022-10-03,5
2022-10-10,5
2022-10-17,7
2022-10-24,9
2022-10-31,2
2022-11-07,2
2022-11-14,3
2022-11-21,5
2022-11-28,9
2022-12-05,8
2022-12-12,9
2022-12-19,5
2022-12-26,2
2023-01-02,2
2023-01-09,1
2023-01-16,1
2023-01-23,2
2023-01-30,2
2023-02-06,6
2023-02-13,5
2023-02-20,7
2023-02-27,3
2023-03-06,2
2023-03-13,3
2023-03-20,1
2023-03-27,4
2023-04-03,2
2023-04-10,2
2023-04-17,0
2023-04-24,2
2023-05-01,3
2023-05-08,1
2023-05-15,1
2023-05-22,0
2023-05-29,0
2023-06-05,0
2023-06-12,0
2023-06-19,2
2023-06-26,0
2023-07-03,1
2023-07-10,0
2023-07-17,0
2023-07-24,0
2023-07-31,3
2023-08-07,0
2023-08-14,0
2023-08-21,3
2023-08-28,2
2023-09-04,4
2023-09-11,3
2023-09-18,4
2023-09-25,3
2023-10-02,1
2023-10-09,2
2023-10-16,3
2023-10-23,2
2023-10-30,3
2023-11-06,2
2023-11-13,1
2023-11-20,5
2023-11-27,7
2023-12-04,4
2023-12-11,10
2023-12-18,7
2023-12-25,5
2024-01-01,6
2024-01-08,4
2024-01-15,4
2024-01-22,2
2024-01-29,3
2024-02-05,2
2024-02-12,0
2024-02-19,3
2024-02-26,3
2024-03-04,0
2024-03-11,0
